DATUM;WAARDE
1-1-2010;103680
2-1-2010;60480
3-1-2010;8640
4-1-2010;95040
5-1-2010;86400
6-1-2010;60480
7-1-2010;17280
8-1-2010;-103680
9-1-2010;-267840
10-1-2010;-129600
11-1-2010;-69120
12-1-2010;-43200
13-1-2010;-120960
14-1-2010;0
15-1-2010;34560
16-1-2010;-34560
17-1-2010;112320
18-1-2010;181440
19-1-2010;146880
20-1-2010;138240
21-1-2010;77760
22-1-2010;95040
23-1-2010;77760
24-1-2010;77760
25-1-2010;77760
26-1-2010;17280
27-1-2010;43200
28-1-2010;-43200
29-1-2010;17280
30-1-2010;86400
31-1-2010;25920
1-2-2010;0
2-2-2010;25920
3-2-2010;423360
4-2-2010;328320
5-2-2010;190080
6-2-2010;129600
7-2-2010;112320
8-2-2010;95040
9-2-2010;34560
10-2-2010;8640
11-2-2010;17280
12-2-2010;-34560
13-2-2010;-17280
14-2-2010;25920
15-2-2010;0
16-2-2010;8640
17-2-2010;-34560
18-2-2010;51840
19-2-2010;69120
20-2-2010;43200
21-2-2010;69120
22-2-2010;17280
23-2-2010;155520
24-2-2010;138240
25-2-2010;233280
26-2-2010;95040
27-2-2010;146880
28-2-2010;17280
1-3-2010;388800
2-3-2010;259200
3-3-2010;190080
4-3-2010;34560
5-3-2010;-43200
6-3-2010;34560
7-3-2010;60480
8-3-2010;8640
9-3-2010;34560
10-3-2010;0
11-3-2010;8640
12-3-2010;0
13-3-2010;-77760
14-3-2010;-77760
15-3-2010;-112320
16-3-2010;-17280
17-3-2010;51840
18-3-2010;95040
19-3-2010;-8640
20-3-2010;8640
21-3-2010;250560
22-3-2010;216000
23-3-2010;146880
24-3-2010;146880
25-3-2010;120960
26-3-2010;95040
27-3-2010;8640
28-3-2010;0
29-3-2010;129600
30-3-2010;129600
31-3-2010;120960
1-4-2010;34560
2-4-2010;103680
3-4-2010;103680
4-4-2010;103680
5-4-2010;129600
6-4-2010;129600
7-4-2010;51840
8-4-2010;-8640
9-4-2010;34560
10-4-2010;-8640
11-4-2010;17280
12-4-2010;25920
13-4-2010;0
14-4-2010;25920
15-4-2010;8640
