DATUM;WAARDE
1-1-2010;1498674.195
2-1-2010;19922.4
3-1-2010;1258483.844
4-1-2010;558288.6
5-1-2010;208662
6-1-2010;142001.4
7-1-2010;93776.4
8-1-2010;58591.2
9-1-2010;1952495.273
10-1-2010;58896
11-1-2010;68376
12-1-2010;29101.8
13-1-2010;1937219.195
14-1-2010;21378
15-1-2010;64338
16-1-2010;1529329.842
17-1-2010;178731.36
18-1-2010;206448
19-1-2010;125322
20-1-2010;2400
21-1-2010;18222
22-1-2010;35352
23-1-2010;31764
24-1-2010;29844
25-1-2010;1948165.488
26-1-2010;1810036.227
27-1-2010;117864.6
28-1-2010;117948
29-1-2010;89148
30-1-2010;74880
31-1-2010;76650
1-2-2010;54465
2-2-2010;138408
3-2-2010;62838
4-2-2010;16525.8
5-2-2010;831004.5127
6-2-2010;731463.2147
7-2-2010;1203727.459
8-2-2010;1644628.875
9-2-2010;1705046.931
10-2-2010;1642177.746
11-2-2010;1889428.04
12-2-2010;1908965.774
13-2-2010;1837995.945
14-2-2010;1648159.87
15-2-2010;1055592
16-2-2010;25791.6
17-2-2010;1906612.331
18-2-2010;19014
19-2-2010;153810
20-2-2010;135240.6
21-2-2010;68598
22-2-2010;795980.1197
23-2-2010;475790.7487
24-2-2010;742498.0632
25-2-2010;40200
26-2-2010;186900
27-2-2010;100044
28-2-2010;72108
1-3-2010;239732.4
2-3-2010;55140
3-3-2010;1665107.584
4-3-2010;1871673.626
5-3-2010;24804
6-3-2010;1553658.489
7-3-2010;1923570.285
8-3-2010;1844818.879
9-3-2010;1942678.655
10-3-2010;1790410.262
11-3-2010;1798055.836
12-3-2010;1826761.359
13-3-2010;1512030.588
14-3-2010;1449444.417
15-3-2010;28812
16-3-2010;1241227.045
17-3-2010;1604797.548
18-3-2010;1545517.6
19-3-2010;287563.2
20-3-2010;949993.2
21-3-2010;754636.1252
22-3-2010;20505
23-3-2010;1356257.061
24-3-2010;866769
25-3-2010;705573.0142
26-3-2010;157470.7886
27-3-2010;210405.6
28-3-2010;218286
29-3-2010;887539.556
30-3-2010;97326
31-3-2010;139890
1-4-2010;237390
2-4-2010;33960
3-4-2010;1295201.304
4-4-2010;995994
5-4-2010;1532443.856
6-4-2010;481763.4
7-4-2010;776855.4
8-4-2010;2053824
9-4-2010;2481310.248
10-4-2010;3802758
11-4-2010;4419678
12-4-2010;4194420
13-4-2010;4347846
14-4-2010;4146426
15-4-2010;1476888
16-4-2010;3641352
17-4-2010;4825182
18-4-2010;4731270
19-4-2010;3565530
20-4-2010;2738917.2
21-4-2010;1154818.8
22-4-2010;1933344
23-4-2010;1723422
24-4-2010;1560426
25-4-2010;3051315
26-4-2010;5779488
27-4-2010;5489076.6
28-4-2010;4984497.391
29-4-2010;4311231.6
30-4-2010;2444289.809
1-5-2010;3370122
2-5-2010;1886922
3-5-2010;1382202
4-5-2010;2190372
5-5-2010;3061170
6-5-2010;3136950
7-5-2010;3468840
8-5-2010;3573552
9-5-2010;3852396
10-5-2010;3324222
11-5-2010;2521296
12-5-2010;3007860
13-5-2010;3072438
14-5-2010;4245786
15-5-2010;2034606
16-5-2010;4131648
17-5-2010;1933215
18-5-2010;610947.3925
19-5-2010;502476
20-5-2010;535338.6
21-5-2010;494840.0126
22-5-2010;576832.5818
23-5-2010;531402.0531
24-5-2010;515904.3
25-5-2010;645784.782
26-5-2010;591061.7693
27-5-2010;2088329.623
28-5-2010;4673893.74
29-5-2010;3857229
30-5-2010;287694.72
31-5-2010;1626078
1-6-2010;558332.5714
2-6-2010;1591248.221
3-6-2010;1697102.365
4-6-2010;1884655.592
5-6-2010;1952967.544
6-6-2010;46671.91579
7-6-2010;75360
8-6-2010;708469.8
9-6-2010;61045.8
10-6-2010;1675985.265
11-6-2010;1056012
12-6-2010;528027.137
13-6-2010;158801.8176
14-6-2010;1326676.956
15-6-2010;1548138.139
16-6-2010;1467384
17-6-2010;1736748
18-6-2010;2451116.16
19-6-2010;1308134.674
20-6-2010;1281391.347
21-6-2010;2206929.468
22-6-2010;2555530.8
23-6-2010;2643654
24-6-2010;2666049
25-6-2010;2556474
26-6-2010;2749308
27-6-2010;1973118
28-6-2010;2479692
29-6-2010;1699392
30-6-2010;3976342.2
1-7-2010;4323822
2-7-2010;3650215.218
3-7-2010;1369826.566
4-7-2010;2494784.492
5-7-2010;667654.0657
6-7-2010;768571.92
7-7-2010;248040.9
8-7-2010;146488.2545
9-7-2010;279108
10-7-2010;158816.5714
11-7-2010;260576.5091
12-7-2010;1945210.255
13-7-2010;2065558.812
14-7-2010;2543190
15-7-2010;2391523.684
16-7-2010;1976404.5
17-7-2010;2205048.96
18-7-2010;970603.2
19-7-2010;1823382
20-7-2010;1784056.2
21-7-2010;1914764.4
22-7-2010;2791340.229
23-7-2010;1721427.664
24-7-2010;2370304.121
25-7-2010;2463201.824
26-7-2010;3138312.325
27-7-2010;516906.1895
28-7-2010;1311250.73
29-7-2010;953577.0144
30-7-2010;876159.8038
31-7-2010;1160024.414
1-8-2010;1118511.958
2-8-2010;1224609.838
3-8-2010;910706.2326
4-8-2010;711722.4686
5-8-2010;1144456.2
6-8-2010;1310252.598
7-8-2010;2099890.2
8-8-2010;2644455
9-8-2010;2676960
10-8-2010;1666004.4
11-8-2010;960498
12-8-2010;1951904.4
13-8-2010;1975662
14-8-2010;4102104
15-8-2010;3396288
16-8-2010;434474.3504
17-8-2010;1312338
18-8-2010;893850
19-8-2010;1352052
20-8-2010;1666679.4
21-8-2010;1585206
22-8-2010;2245569.6
23-8-2010;2019114
24-8-2010;3077167.2
25-8-2010;1396657.8
26-8-2010;596364
27-8-2010;1612338
28-8-2010;2175996
29-8-2010;2234232
30-8-2010;674424
31-8-2010;66997.02857
1-9-2010;658113.5318
2-9-2010;1230761.256
3-9-2010;1610404.766
4-9-2010;894348
5-9-2010;2630352
6-9-2010;2695746
7-9-2010;2413914
8-9-2010;2006070
9-9-2010;2058883.2
10-9-2010;609527.1367
11-9-2010;94194
12-9-2010;868440
13-9-2010;2463042
14-9-2010;177282
15-9-2010;1924248
16-9-2010;1079723.4
17-9-2010;780160.6957
18-9-2010;3363978
19-9-2010;1707183.154
20-9-2010;928266
21-9-2010;111162.9913
22-9-2010;22943.01176
23-9-2010;230777.4
24-9-2010;209509.1092
25-9-2010;312388.5984
26-9-2010;319016.2437
27-9-2010;152275.2
28-9-2010;234744
29-9-2010;1048102.699
30-9-2010;1617659.222
1-10-2010;302490
2-10-2010;1116563.441
3-10-2010;214662
4-10-2010;112108.8
5-10-2010;170298
6-10-2010;779589.6
7-10-2010;1108554
8-10-2010;2331594
9-10-2010;1314468
10-10-2010;1132707.793
11-10-2010;3444
12-10-2010;1490029.348
13-10-2010;1408506
14-10-2010;247374
15-10-2010;1673608.049
16-10-2010;1429122.553
17-10-2010;27534
18-10-2010;84444
19-10-2010;81360
20-10-2010;397435.1408
21-10-2010;773616.5471
22-10-2010;771380.2589
23-10-2010;1163069.462
24-10-2010;362351.251
25-10-2010;447815.2891
26-10-2010;1253243.02
27-10-2010;1844499.773
28-10-2010;91362.16216
29-10-2010;35556
30-10-2010;65460
31-10-2010;968619.5813
1-11-2010;291600
2-11-2010;100620
3-11-2010;119586
4-11-2010;310170
5-11-2010;245618.4173
6-11-2010;39246
7-11-2010;841758.5328
8-11-2010;1535000.268
9-11-2010;1833315.507
10-11-2010;1222457.785
11-11-2010;180114
12-11-2010;359106
13-11-2010;109230
14-11-2010;96774
15-11-2010;55536
16-11-2010;1075957.977
17-11-2010;1690898.647
18-11-2010;1578146.841
19-11-2010;1297979.258
20-11-2010;1173436.096
21-11-2010;1212626.582
22-11-2010;1162460.305
23-11-2010;740329.0494
24-11-2010;56334
25-11-2010;484905.071
26-11-2010;760514.9419
27-11-2010;1509957.735
28-11-2010;1893464.005
29-11-2010;1843173.037
30-11-2010;16224
1-12-2010;1556094
2-12-2010;1940822.778
3-12-2010;33712.2
4-12-2010;174018
5-12-2010;105044.4
6-12-2010;442046.1764
7-12-2010;542293.6309
8-12-2010;807200.7817
9-12-2010;421091.4
10-12-2010;236736.6
11-12-2010;126042
12-12-2010;321948.884
13-12-2010;481284
14-12-2010;1705046.931
15-12-2010;1732091.606
16-12-2010;71712
17-12-2010;158208
18-12-2010;10002
19-12-2010;1541726.101
20-12-2010;1397697.415
21-12-2010;1104669.187
22-12-2010;1128473.959
23-12-2010;976612.7912
24-12-2010;917465.155
25-12-2010;1086097.654
26-12-2010;49993.2
27-12-2010;90493.2
28-12-2010;1799877.144
29-12-2010;1947875.518
30-12-2010;1362717.687
31-12-2010;68933.01493
1-1-2011;39267.6
2-1-2011;654846.9116
3-1-2011;112131.609
4-1-2011;148195.8
5-1-2011;117720
6-1-2011;1052529.41
7-1-2011;435504.4254
8-1-2011;87180
9-1-2011;168276
10-1-2011;68325.6
11-1-2011;89022
12-1-2011;130137
13-1-2011;316790.4
14-1-2011;248247.6
15-1-2011;161004
16-1-2011;140806.2
17-1-2011;107541
18-1-2011;527715.5791
19-1-2011;640010.585
20-1-2011;982341.3137
21-1-2011;1394636.35
22-1-2011;1482255.252
23-1-2011;1601703.83
24-1-2011;1609565.156
25-1-2011;82248
26-1-2011;1622657.856
27-1-2011;1953163.384
28-1-2011;1932278.308
29-1-2011;1696587.141
30-1-2011;1894491.791
31-1-2011;1808633.906
1-2-2011;119040
2-2-2011;129192
3-2-2011;167093.1464
4-2-2011;270621.6
5-2-2011;489138
6-2-2011;369586.8
7-2-2011;179809.5885
8-2-2011;113634
9-2-2011;1176488.913
10-2-2011;166980.6
11-2-2011;82314.6
12-2-2011;1434288.693
13-2-2011;1401980.17
14-2-2011;1508772.437
15-2-2011;1720196.4
16-2-2011;8445.757664
17-2-2011;1119718.115
18-2-2011;1285015.779
19-2-2011;1925798.636
20-2-2011;1860319.212
21-2-2011;1883241.246
22-2-2011;1945893.982
23-2-2011;10344
24-2-2011;26534.4
25-2-2011;80430
26-2-2011;120132
27-2-2011;51984
28-2-2011;779352.6844
1-3-2011;577150.2
2-3-2011;1952926.638
3-3-2011;1946603.824
4-3-2011;1953131.107
5-3-2011;1844877.661
6-3-2011;1819047.676
7-3-2011;232014.2098
8-3-2011;27974.4
9-3-2011;244686
10-3-2011;248520
11-3-2011;154128
12-3-2011;1395248.69
13-3-2011;72906
14-3-2011;1863263.104
15-3-2011;1646642.381
16-3-2011;1646642.381
17-3-2011;1602007.598
18-3-2011;67322.02314
19-3-2011;1889428.04
20-3-2011;52056
21-3-2011;37036.8
22-3-2011;1887904.607
23-3-2011;1945835.091
24-3-2011;1949846.667
25-3-2011;1898340.51
26-3-2011;1952292.412
27-3-2011;1884044.093
28-3-2011;1952921.171
29-3-2011;1897987.359
30-3-2011;1927352.501
31-3-2011;1837232.086
1-4-2011;1880059.227
2-4-2011;1946944.591
3-4-2011;1812625.949
4-4-2011;1754301.552
5-4-2011;1942829.242
6-4-2011;1854698.136
7-4-2011;1885746.06
8-4-2011;1844310.632
9-4-2011;1907008.307
10-4-2011;1788140.778
11-4-2011;1807016.354
12-4-2011;1756667.105
13-4-2011;1952683.659
14-4-2011;1942233.983
15-4-2011;1928743.006
16-4-2011;1894753.306
17-4-2011;1952067.585
18-4-2011;1952566.475
19-4-2011;1927469.938
20-4-2011;1951500.172
21-4-2011;1952884.008
22-4-2011;1953010.28
23-4-2011;1546258.909
24-4-2011;2111250.219
25-4-2011;531801.1915
26-4-2011;949400.2286
27-4-2011;1384090.971
28-4-2011;1517989.534
29-4-2011;1966184.471
30-4-2011;2137088.681
1-5-2011;2161114.626
2-5-2011;2412734.644
3-5-2011;2545263.252
4-5-2011;3138517.417
5-5-2011;2908772.672
6-5-2011;904415.2066
7-5-2011;1928166
8-5-2011;2153694.779
9-5-2011;2436118.468
10-5-2011;2326874.457
11-5-2011;2054760
12-5-2011;1827654.776
13-5-2011;1714278.047
14-5-2011;1304764.416
15-5-2011;1615605.165
16-5-2011;1877629.714
17-5-2011;2885133.176
18-5-2011;2268054.982
19-5-2011;2014285.981
20-5-2011;760825.2092
21-5-2011;831214.3765
22-5-2011;701360.3721
23-5-2011;625073.1429
24-5-2011;663267.9051
25-5-2011;783981.2571
26-5-2011;695288.7712
27-5-2011;1273794
28-5-2011;1013378.4
29-5-2011;1285177.013
30-5-2011;1436335.579
31-5-2011;1499904
1-6-2011;1266686.351
2-6-2011;1232076.613
3-6-2011;1295334
4-6-2011;1240590
5-6-2011;1340838
6-6-2011;1405548
7-6-2011;912048
8-6-2011;911915.7252
9-6-2011;1435889.455
10-6-2011;1385824.582
11-6-2011;1134422.4
12-6-2011;1163608.615
13-6-2011;1143497.354
14-6-2011;1326805.333
15-6-2011;1390941.257
16-6-2011;1437333.252
17-6-2011;668458.2857
18-6-2011;1597326.968
19-6-2011;2159848.421
20-6-2011;1557162.667
21-6-2011;1501541.581
22-6-2011;1355934.757
23-6-2011;1726560
24-6-2011;1898808.585
25-6-2011;3180033.73
26-6-2011;4144670.158
27-6-2011;3934164
28-6-2011;4730302.648
29-6-2011;4410941.538
30-6-2011;4023109.662
1-7-2011;4188574.648
2-7-2011;4225817.739
3-7-2011;4564968.192
4-7-2011;4506750.277
5-7-2011;3881442
6-7-2011;4008067.902
7-7-2011;4160958.545
8-7-2011;3427869.767
9-7-2011;3962739.021
10-7-2011;3987859.886
11-7-2011;4123854
12-7-2011;4732410
13-7-2011;4940670
14-7-2011;1824114
15-7-2011;218239.7538
16-7-2011;698569.4118
17-7-2011;2020508.22
18-7-2011;2997272.759
19-7-2011;4686783.105
20-7-2011;3580566.545
21-7-2011;3863010
22-7-2011;3240475.2
23-7-2011;5797368
24-7-2011;5910187.723
25-7-2011;6233346
26-7-2011;4167024
27-7-2011;3813582
28-7-2011;4200348
29-7-2011;4771479.273
30-7-2011;4596612
31-7-2011;4491792
1-8-2011;4232743.082
2-8-2011;1220914.944
3-8-2011;36040.23529
4-8-2011;118427.1781
5-8-2011;154455.6522
6-8-2011;93352.75472
7-8-2011;90270
8-8-2011;280782
9-8-2011;48096
10-8-2011;131148
11-8-2011;176532
12-8-2011;697758
13-8-2011;139079.3143
14-8-2011;162252
15-8-2011;211686.1714
16-8-2011;262084.0563
17-8-2011;76957.2766
18-8-2011;1415722.95
19-8-2011;113504.9143
20-8-2011;74754
21-8-2011;150798
22-8-2011;66066
23-8-2011;56761.344
24-8-2011;102715.0949
25-8-2011;132498
26-8-2011;1346286
27-8-2011;135012
