DATUM;WAARDE
1-1-2010;487
2-1-2010;479
3-1-2010;476
4-1-2010;478
5-1-2010;477
6-1-2010;476
7-1-2010;475
8-1-2010;473
9-1-2010;472
10-1-2010;471
11-1-2010;470
12-1-2010;469
13-1-2010;468
14-1-2010;467
15-1-2010;465
16-1-2010;464
17-1-2010;463
18-1-2010;462
19-1-2010;461
20-1-2010;460
21-1-2010;459
22-1-2010;458
23-1-2010;456
24-1-2010;455
25-1-2010;454
26-1-2010;453
27-1-2010;452
28-1-2010;451
29-1-2010;450
30-1-2010;449
31-1-2010;447
1-2-2010;446
2-2-2010;445
3-2-2010;452
4-2-2010;453
5-2-2010;437
6-2-2010;432
7-2-2010;441
8-2-2010;438
9-2-2010;435
10-2-2010;433
11-2-2010;430
12-2-2010;428
13-2-2010;426
14-2-2010;430
15-2-2010;434
16-2-2010;435
17-2-2010;438
18-2-2010;438
19-2-2010;445
20-2-2010;443
21-2-2010;429
22-2-2010;427
23-2-2010;429
24-2-2010;432
25-2-2010;431
26-2-2010;432
27-2-2010;432
28-2-2010;429
1-3-2010;430
2-3-2010;431
3-3-2010;439
4-3-2010;435
5-3-2010;433
6-3-2010;428
7-3-2010;428
8-3-2010;428
9-3-2010;428
10-3-2010;430
11-3-2010;429
12-3-2010;430
13-3-2010;430
14-3-2010;433
15-3-2010;432
16-3-2010;433
17-3-2010;433
18-3-2010;434
19-3-2010;436
20-3-2010;437
21-3-2010;435
22-3-2010;435
23-3-2010;433
24-3-2010;428
25-3-2010;427
26-3-2010;425
27-3-2010;428
28-3-2010;430
29-3-2010;431
30-3-2010;431
31-3-2010;433
1-4-2010;434
2-4-2010;437
3-4-2010;450
4-4-2010;462
5-4-2010;472
6-4-2010;477
7-4-2010;480
8-4-2010;489
9-4-2010;495
10-4-2010;497
11-4-2010;500
12-4-2010;505
13-4-2010;514
14-4-2010;521
15-4-2010;524
16-4-2010;522
17-4-2010;516
18-4-2010;505
19-4-2010;491
20-4-2010;472
21-4-2010;474
22-4-2010;474
23-4-2010;465
24-4-2010;464
25-4-2010;466
26-4-2010;460
27-4-2010;459
28-4-2010;454
29-4-2010;451
30-4-2010;457
1-5-2010;459
2-5-2010;459
3-5-2010;456
4-5-2010;455
5-5-2010;458
6-5-2010;461
7-5-2010;464
8-5-2010;464
9-5-2010;461
10-5-2010;456
11-5-2010;454
12-5-2010;449
13-5-2010;445
14-5-2010;445
15-5-2010;436
16-5-2010;433
17-5-2010;412
18-5-2010;414
19-5-2010;420
20-5-2010;427
21-5-2010;433
22-5-2010;444
23-5-2010;447
24-5-2010;440
25-5-2010;441
26-5-2010;449
27-5-2010;457
28-5-2010;446
29-5-2010;432
30-5-2010;413
31-5-2010;410
1-6-2010;410
2-6-2010;416
3-6-2010;426
4-6-2010;425
5-6-2010;424
6-6-2010;424
7-6-2010;428
8-6-2010;432
9-6-2010;433
10-6-2010;438
11-6-2010;448
12-6-2010;428
13-6-2010;431
14-6-2010;433
15-6-2010;450
16-6-2010;469
17-6-2010;443
18-6-2010;435
19-6-2010;439
20-6-2010;438
21-6-2010;434
22-6-2010;433
23-6-2010;434
24-6-2010;437
25-6-2010;442
26-6-2010;446
27-6-2010;447
28-6-2010;448
29-6-2010;447
30-6-2010;446
1-7-2010;439
2-7-2010;434
3-7-2010;431
4-7-2010;433
5-7-2010;432
6-7-2010;441
7-7-2010;444
8-7-2010;448
9-7-2010;454
10-7-2010;457
11-7-2010;458
12-7-2010;460
13-7-2010;479
14-7-2010;459
15-7-2010;449
16-7-2010;450
17-7-2010;452
18-7-2010;455
19-7-2010;455
20-7-2010;449
21-7-2010;451
22-7-2010;452
23-7-2010;455
24-7-2010;460
25-7-2010;460
26-7-2010;465
27-7-2010;471
28-7-2010;469
29-7-2010;472
30-7-2010;471
31-7-2010;474
1-8-2010;478
2-8-2010;480
3-8-2010;481
4-8-2010;481
5-8-2010;480
6-8-2010;477
7-8-2010;476
8-8-2010;473
9-8-2010;474
10-8-2010;474
11-8-2010;474
12-8-2010;472
13-8-2010;472
14-8-2010;470
15-8-2010;464
16-8-2010;455
17-8-2010;456
18-8-2010;459
19-8-2010;457
20-8-2010;459
21-8-2010;461
22-8-2010;465
23-8-2010;466
24-8-2010;459
25-8-2010;460
26-8-2010;467
27-8-2010;460
28-8-2010;466
29-8-2010;447
30-8-2010;432
31-8-2010;434
1-9-2010;430
2-9-2010;432
3-9-2010;436
4-9-2010;439
5-9-2010;442
6-9-2010;439
7-9-2010;440
8-9-2010;457
9-9-2010;463
10-9-2010;465
11-9-2010;462
12-9-2010;435
13-9-2010;431
14-9-2010;433
15-9-2010;427
16-9-2010;420
17-9-2010;422
18-9-2010;429
19-9-2010;425
20-9-2010;411
21-9-2010;410
22-9-2010;411
23-9-2010;415
24-9-2010;421
25-9-2010;449
26-9-2010;437
27-9-2010;419
28-9-2010;407
29-9-2010;409
30-9-2010;417
1-10-2010;424
2-10-2010;424
3-10-2010;426
4-10-2010;431
5-10-2010;434
6-10-2010;439
7-10-2010;441
8-10-2010;444
9-10-2010;447
10-10-2010;450
11-10-2010;460
12-10-2010;479
13-10-2010;491
14-10-2010;503
15-10-2010;500
16-10-2010;535
17-10-2010;579
18-10-2010;581
19-10-2010;594
20-10-2010;602
21-10-2010;482
22-10-2010;459
23-10-2010;469
24-10-2010;474
25-10-2010;484
26-10-2010;489
27-10-2010;494
28-10-2010;495
