DATUM;WAARDE
1-1-2010;518
2-1-2010;509
3-1-2010;506
4-1-2010;511
5-1-2010;507
6-1-2010;503
7-1-2010;499
8-1-2010;496
9-1-2010;492
10-1-2010;488
11-1-2010;484
12-1-2010;481
13-1-2010;477
14-1-2010;473
15-1-2010;469
16-1-2010;466
17-1-2010;462
18-1-2010;458
19-1-2010;454
20-1-2010;451
21-1-2010;447
22-1-2010;447
23-1-2010;452
24-1-2010;448
25-1-2010;452
26-1-2010;451
27-1-2010;461
28-1-2010;459
29-1-2010;459
30-1-2010;463
31-1-2010;468
1-2-2010;460
2-2-2010;450
3-2-2010;450
4-2-2010;450
5-2-2010;440
6-2-2010;434
7-2-2010;439
8-2-2010;441
9-2-2010;439
10-2-2010;437
11-2-2010;435
12-2-2010;431
13-2-2010;431
14-2-2010;437
15-2-2010;441
16-2-2010;443
17-2-2010;445
18-2-2010;447
19-2-2010;464
20-2-2010;452
21-2-2010;431
22-2-2010;433
23-2-2010;436
24-2-2010;439
25-2-2010;439
26-2-2010;441
27-2-2010;442
28-2-2010;439
1-3-2010;439
2-3-2010;441
3-3-2010;450
4-3-2010;446
5-3-2010;445
6-3-2010;440
7-3-2010;441
8-3-2010;440
9-3-2010;438
10-3-2010;439
11-3-2010;440
12-3-2010;440
13-3-2010;440
14-3-2010;443
15-3-2010;442
16-3-2010;442
17-3-2010;443
18-3-2010;445
19-3-2010;446
20-3-2010;447
21-3-2010;445
22-3-2010;444
23-3-2010;443
24-3-2010;438
25-3-2010;437
26-3-2010;436
27-3-2010;438
28-3-2010;440
29-3-2010;441
30-3-2010;442
31-3-2010;445
1-4-2010;444
2-4-2010;447
3-4-2010;461
4-4-2010;472
5-4-2010;483
6-4-2010;490
7-4-2010;492
8-4-2010;499
9-4-2010;504
10-4-2010;506
11-4-2010;509
12-4-2010;514
13-4-2010;523
14-4-2010;530
15-4-2010;533
16-4-2010;531
17-4-2010;526
18-4-2010;514
19-4-2010;500
20-4-2010;481
21-4-2010;484
22-4-2010;485
23-4-2010;477
24-4-2010;476
25-4-2010;476
26-4-2010;471
27-4-2010;470
28-4-2010;463
29-4-2010;459
30-4-2010;465
1-5-2010;467
2-5-2010;467
3-5-2010;464
4-5-2010;463
5-5-2010;466
6-5-2010;469
7-5-2010;472
8-5-2010;472
9-5-2010;470
10-5-2010;465
11-5-2010;464
12-5-2010;461
13-5-2010;457
14-5-2010;457
15-5-2010;447
16-5-2010;444
17-5-2010;423
18-5-2010;426
19-5-2010;433
20-5-2010;440
21-5-2010;445
22-5-2010;455
23-5-2010;461
24-5-2010;457
25-5-2010;452
26-5-2010;456
27-5-2010;467
28-5-2010;456
29-5-2010;442
30-5-2010;423
31-5-2010;420
1-6-2010;420
2-6-2010;426
3-6-2010;437
4-6-2010;436
5-6-2010;436
6-6-2010;436
7-6-2010;439
8-6-2010;443
9-6-2010;443
10-6-2010;453
11-6-2010;458
12-6-2010;438
13-6-2010;440
14-6-2010;446
15-6-2010;460
16-6-2010;482
17-6-2010;456
18-6-2010;447
19-6-2010;450
20-6-2010;449
21-6-2010;444
22-6-2010;443
23-6-2010;443
24-6-2010;448
25-6-2010;456
26-6-2010;465
27-6-2010;464
28-6-2010;465
29-6-2010;461
30-6-2010;457
1-7-2010;449
2-7-2010;446
3-7-2010;441
4-7-2010;443
5-7-2010;443
6-7-2010;449
7-7-2010;449
8-7-2010;452
9-7-2010;458
10-7-2010;459
11-7-2010;463
12-7-2010;470
13-7-2010;491
14-7-2010;472
15-7-2010;457
16-7-2010;461
17-7-2010;459
18-7-2010;462
19-7-2010;462
20-7-2010;459
21-7-2010;460
22-7-2010;462
23-7-2010;464
24-7-2010;470
25-7-2010;469
26-7-2010;475
27-7-2010;478
28-7-2010;477
29-7-2010;481
30-7-2010;480
31-7-2010;482
