DATUM;WAARDE
1-1-2010;500
2-1-2010;478
3-1-2010;470
4-1-2010;471
5-1-2010;469
6-1-2010;468
7-1-2010;467
8-1-2010;465
9-1-2010;464
10-1-2010;462
11-1-2010;461
12-1-2010;460
13-1-2010;458
14-1-2010;457
15-1-2010;455
16-1-2010;454
17-1-2010;453
18-1-2010;451
19-1-2010;450
20-1-2010;448
21-1-2010;447
22-1-2010;444
23-1-2010;442
24-1-2010;443
25-1-2010;444
26-1-2010;444
27-1-2010;443
28-1-2010;446
29-1-2010;446
30-1-2010;451
31-1-2010;451
1-2-2010;452
2-2-2010;453
3-2-2010;455
4-2-2010;450
5-2-2010;436
6-2-2010;438
7-2-2010;440
8-2-2010;439
9-2-2010;437
10-2-2010;434
11-2-2010;434
12-2-2010;431
13-2-2010;430
14-2-2010;429
15-2-2010;429
16-2-2010;426
17-2-2010;430
18-2-2010;433
19-2-2010;430
20-2-2010;428
21-2-2010;430
22-2-2010;433
23-2-2010;435
24-2-2010;437
25-2-2010;438
26-2-2010;440
27-2-2010;440
28-2-2010;438
1-3-2010;437
2-3-2010;438
3-3-2010;439
4-3-2010;440
5-3-2010;441
6-3-2010;438
7-3-2010;437
8-3-2010;436
9-3-2010;435
10-3-2010;437
11-3-2010;437
12-3-2010;437
13-3-2010;438
14-3-2010;439
15-3-2010;439
16-3-2010;439
17-3-2010;439
18-3-2010;440
19-3-2010;440
20-3-2010;440
21-3-2010;441
22-3-2010;440
23-3-2010;437
24-3-2010;440
25-3-2010;439
26-3-2010;442
27-3-2010;442
28-3-2010;443
29-3-2010;445
30-3-2010;444
31-3-2010;447
1-4-2010;454
2-4-2010;465
3-4-2010;475
4-4-2010;481
5-4-2010;493
6-4-2010;500
7-4-2010;502
8-4-2010;500
9-4-2010;502
10-4-2010;504
11-4-2010;508
12-4-2010;515
13-4-2010;526
14-4-2010;532
15-4-2010;534
16-4-2010;536
17-4-2010;525
18-4-2010;509
19-4-2010;494
20-4-2010;488
21-4-2010;485
22-4-2010;480
23-4-2010;480
24-4-2010;479
25-4-2010;479
26-4-2010;478
27-4-2010;472
28-4-2010;460
29-4-2010;462
30-4-2010;466
1-5-2010;466
2-5-2010;466
3-5-2010;461
4-5-2010;464
5-5-2010;466
6-5-2010;469
7-5-2010;472
8-5-2010;469
9-5-2010;467
10-5-2010;464
11-5-2010;463
12-5-2010;458
13-5-2010;457
14-5-2010;449
15-5-2010;440
16-5-2010;424
17-5-2010;422
18-5-2010;430
19-5-2010;430
20-5-2010;431
21-5-2010;437
22-5-2010;447
23-5-2010;453
24-5-2010;465
25-5-2010;463
26-5-2010;447
27-5-2010;447
28-5-2010;442
29-5-2010;429
30-5-2010;415
31-5-2010;420
1-6-2010;415
2-6-2010;420
3-6-2010;423
4-6-2010;425
5-6-2010;432
6-6-2010;432
7-6-2010;431
8-6-2010;435
9-6-2010;431
10-6-2010;448
11-6-2010;434
12-6-2010;437
13-6-2010;435
14-6-2010;436
15-6-2010;436
