DATUM;WAARDE
1-1-2010;431
2-1-2010;351
3-1-2010;323
4-1-2010;326
5-1-2010;331
6-1-2010;337
7-1-2010;342
8-1-2010;348
9-1-2010;353
10-1-2010;358
11-1-2010;364
12-1-2010;369
13-1-2010;375
14-1-2010;380
15-1-2010;386
16-1-2010;391
17-1-2010;396
18-1-2010;402
19-1-2010;407
20-1-2010;413
21-1-2010;418
22-1-2010;415
23-1-2010;419
24-1-2010;416
25-1-2010;433
26-1-2010;461
27-1-2010;472
28-1-2010;466
29-1-2010;440
30-1-2010;411
31-1-2010;390
1-2-2010;385
2-2-2010;385
3-2-2010;380
4-2-2010;364
5-2-2010;384
6-2-2010;394
7-2-2010;412
8-2-2010;423
9-2-2010;427
10-2-2010;447
11-2-2010;446
12-2-2010;422
13-2-2010;411
14-2-2010;402
15-2-2010;399
16-2-2010;401
17-2-2010;397
18-2-2010;398
19-2-2010;399
20-2-2010;378
21-2-2010;352
22-2-2010;384
23-2-2010;415
24-2-2010;433
25-2-2010;435
26-2-2010;443
27-2-2010;427
28-2-2010;402
1-3-2010;396
2-3-2010;419
3-3-2010;382
4-3-2010;382
5-3-2010;373
6-3-2010;373
7-3-2010;372
8-3-2010;365
9-3-2010;360
10-3-2010;355
11-3-2010;335
12-3-2010;338
13-3-2010;353
14-3-2010;366
15-3-2010;368
16-3-2010;365
17-3-2010;364
18-3-2010;369
19-3-2010;370
20-3-2010;376
21-3-2010;398
22-3-2010;434
23-3-2010;478
24-3-2010;475
25-3-2010;473
26-3-2010;484
27-3-2010;494
28-3-2010;518
29-3-2010;528
30-3-2010;548
31-3-2010;552
1-4-2010;520
2-4-2010;512
3-4-2010;529
4-4-2010;507
5-4-2010;551
6-4-2010;582
7-4-2010;598
8-4-2010;556
9-4-2010;541
10-4-2010;502
11-4-2010;429
12-4-2010;436
13-4-2010;449
14-4-2010;426
15-4-2010;387
16-4-2010;406
17-4-2010;411
18-4-2010;413
19-4-2010;439
20-4-2010;432
21-4-2010;424
22-4-2010;428
23-4-2010;469
24-4-2010;472
25-4-2010;453
26-4-2010;470
27-4-2010;493
28-4-2010;443
29-4-2010;418
30-4-2010;458
1-5-2010;464
2-5-2010;412
3-5-2010;441
4-5-2010;437
5-5-2010;423
6-5-2010;378
7-5-2010;363
8-5-2010;323
9-5-2010;334
10-5-2010;366
11-5-2010;364
12-5-2010;342
13-5-2010;333
14-5-2010;333
15-5-2010;344
16-5-2010;350
17-5-2010;355
18-5-2010;354
19-5-2010;355
20-5-2010;356
21-5-2010;358
22-5-2010;362
23-5-2010;362
24-5-2010;362
25-5-2010;362
26-5-2010;361
27-5-2010;361
28-5-2010;372
29-5-2010;396
30-5-2010;400
31-5-2010;397
1-6-2010;410
2-6-2010;414
3-6-2010;417
4-6-2010;421
5-6-2010;422
6-6-2010;424
7-6-2010;426
8-6-2010;425
9-6-2010;423
10-6-2010;425
11-6-2010;421
12-6-2010;418
13-6-2010;433
14-6-2010;435
15-6-2010;438
16-6-2010;447
17-6-2010;451
18-6-2010;437
19-6-2010;410
20-6-2010;389
21-6-2010;391
22-6-2010;409
23-6-2010;421
24-6-2010;420
25-6-2010;417
26-6-2010;422
27-6-2010;433
28-6-2010;436
29-6-2010;434
30-6-2010;426
1-7-2010;421
2-7-2010;412
3-7-2010;416
4-7-2010;440
5-7-2010;449
6-7-2010;445
7-7-2010;438
8-7-2010;438
9-7-2010;440
10-7-2010;440
11-7-2010;440
12-7-2010;436
13-7-2010;430
14-7-2010;442
15-7-2010;480
16-7-2010;477
17-7-2010;492
18-7-2010;509
19-7-2010;517
20-7-2010;503
21-7-2010;471
22-7-2010;465
23-7-2010;475
24-7-2010;482
25-7-2010;447
26-7-2010;423
27-7-2010;420
28-7-2010;418
29-7-2010;421
30-7-2010;418
31-7-2010;415
1-8-2010;412
2-8-2010;414
3-8-2010;421
4-8-2010;424
5-8-2010;425
6-8-2010;417
7-8-2010;408
8-8-2010;397
9-8-2010;408
10-8-2010;434
11-8-2010;443
12-8-2010;425
13-8-2010;422
14-8-2010;432
15-8-2010;405
16-8-2010;403
17-8-2010;362
18-8-2010;348
19-8-2010;353
20-8-2010;355
21-8-2010;349
22-8-2010;347
23-8-2010;371
24-8-2010;395
25-8-2010;368
26-8-2010;374
27-8-2010;334
28-8-2010;333
29-8-2010;309
30-8-2010;319
31-8-2010;316
1-9-2010;328
2-9-2010;328
3-9-2010;329
4-9-2010;336
5-9-2010;342
6-9-2010;339
7-9-2010;334
8-9-2010;364
9-9-2010;380
10-9-2010;398
11-9-2010;402
12-9-2010;381
13-9-2010;348
14-9-2010;348
15-9-2010;349
16-9-2010;351
17-9-2010;338
18-9-2010;327
19-9-2010;326
20-9-2010;326
21-9-2010;326
22-9-2010;325
23-9-2010;322
24-9-2010;329
25-9-2010;329
26-9-2010;329
27-9-2010;395
28-9-2010;381
29-9-2010;386
30-9-2010;402
1-10-2010;413
2-10-2010;412
3-10-2010;438
4-10-2010;468
5-10-2010;493
6-10-2010;507
7-10-2010;510
8-10-2010;515
9-10-2010;522
10-10-2010;528
11-10-2010;528
12-10-2010;527
13-10-2010;526
14-10-2010;526
15-10-2010;525
16-10-2010;528
17-10-2010;543
18-10-2010;546
19-10-2010;546
20-10-2010;542
21-10-2010;497
22-10-2010;368
23-10-2010;360
24-10-2010;362
25-10-2010;366
26-10-2010;360
27-10-2010;342
28-10-2010;350
29-10-2010;372
30-10-2010;386
31-10-2010;389
1-11-2010;398
2-11-2010;404
3-11-2010;412
4-11-2010;422
5-11-2010;438
6-11-2010;469
7-11-2010;433
8-11-2010;401
9-11-2010;392
10-11-2010;389
11-11-2010;396
12-11-2010;415
13-11-2010;374
14-11-2010;367
15-11-2010;360
16-11-2010;348
17-11-2010;388
18-11-2010;421
19-11-2010;425
20-11-2010;413
21-11-2010;411
22-11-2010;413
23-11-2010;412
24-11-2010;430
25-11-2010;427
26-11-2010;391
27-11-2010;384
28-11-2010;350
29-11-2010;327
30-11-2010;336
1-12-2010;352
2-12-2010;351
3-12-2010;346
4-12-2010;344
5-12-2010;389
6-12-2010;369
7-12-2010;346
8-12-2010;339
9-12-2010;345
10-12-2010;353
11-12-2010;358
12-12-2010;366
13-12-2010;353
14-12-2010;335
15-12-2010;331
16-12-2010;330
17-12-2010;331
18-12-2010;321
19-12-2010;305
20-12-2010;309
21-12-2010;318
22-12-2010;334
23-12-2010;364
24-12-2010;391
25-12-2010;400
26-12-2010;403
27-12-2010;377
28-12-2010;367
29-12-2010;352
30-12-2010;332
31-12-2010;348
1-1-2011;376
2-1-2011;417
3-1-2011;424
4-1-2011;420
5-1-2011;406
6-1-2011;378
7-1-2011;402
8-1-2011;432
9-1-2011;435
10-1-2011;422
11-1-2011;381
12-1-2011;402
