DATUM;WAARDE
1-1-2010;435
2-1-2010;360
3-1-2010;327
4-1-2010;329
5-1-2010;334
6-1-2010;339
7-1-2010;345
8-1-2010;350
9-1-2010;355
10-1-2010;361
11-1-2010;366
12-1-2010;371
13-1-2010;377
14-1-2010;382
15-1-2010;387
16-1-2010;393
17-1-2010;398
18-1-2010;403
19-1-2010;409
20-1-2010;414
21-1-2010;419
22-1-2010;418
23-1-2010;421
24-1-2010;416
25-1-2010;435
26-1-2010;470
27-1-2010;469
28-1-2010;462
29-1-2010;438
30-1-2010;406
31-1-2010;383
1-2-2010;375
2-2-2010;378
3-2-2010;376
4-2-2010;360
5-2-2010;378
6-2-2010;390
7-2-2010;413
8-2-2010;432
9-2-2010;437
10-2-2010;461
11-2-2010;452
12-2-2010;428
13-2-2010;419
14-2-2010;409
15-2-2010;406
16-2-2010;408
17-2-2010;403
18-2-2010;404
19-2-2010;405
20-2-2010;386
21-2-2010;360
22-2-2010;400
23-2-2010;424
24-2-2010;433
25-2-2010;435
26-2-2010;445
27-2-2010;432
28-2-2010;407
1-3-2010;400
2-3-2010;426
3-3-2010;387
4-3-2010;386
5-3-2010;376
6-3-2010;375
7-3-2010;375
8-3-2010;368
9-3-2010;363
10-3-2010;357
11-3-2010;334
12-3-2010;337
13-3-2010;352
14-3-2010;364
15-3-2010;364
16-3-2010;360
17-3-2010;359
18-3-2010;364
19-3-2010;365
20-3-2010;372
21-3-2010;395
22-3-2010;450
23-3-2010;493
24-3-2010;472
25-3-2010;464
26-3-2010;477
27-3-2010;487
28-3-2010;513
29-3-2010;538
30-3-2010;542
31-3-2010;546
1-4-2010;516
2-4-2010;508
3-4-2010;519
4-4-2010;499
5-4-2010;560
6-4-2010;597
7-4-2010;601
8-4-2010;557
9-4-2010;543
10-4-2010;504
11-4-2010;424
12-4-2010;430
13-4-2010;447
14-4-2010;423
15-4-2010;385
16-4-2010;404
17-4-2010;410
18-4-2010;408
19-4-2010;436
20-4-2010;427
21-4-2010;420
22-4-2010;424
23-4-2010;477
24-4-2010;471
25-4-2010;451
26-4-2010;470
27-4-2010;495
28-4-2010;440
29-4-2010;415
30-4-2010;456
1-5-2010;464
2-5-2010;413
3-5-2010;438
4-5-2010;435
5-5-2010;420
6-5-2010;376
7-5-2010;361
8-5-2010;323
9-5-2010;333
10-5-2010;366
11-5-2010;363
12-5-2010;341
13-5-2010;333
14-5-2010;332
15-5-2010;343
16-5-2010;349
17-5-2010;354
18-5-2010;354
19-5-2010;354
20-5-2010;354
21-5-2010;356
22-5-2010;357
23-5-2010;357
24-5-2010;358
25-5-2010;358
26-5-2010;359
27-5-2010;359
28-5-2010;369
29-5-2010;393
30-5-2010;399
31-5-2010;395
1-6-2010;409
2-6-2010;411
3-6-2010;416
4-6-2010;420
5-6-2010;420
6-6-2010;423
7-6-2010;423
8-6-2010;420
9-6-2010;418
10-6-2010;417
11-6-2010;412
12-6-2010;410
13-6-2010;425
14-6-2010;429
15-6-2010;431
16-6-2010;439
17-6-2010;442
18-6-2010;429
19-6-2010;402
20-6-2010;382
21-6-2010;382
22-6-2010;398
23-6-2010;410
24-6-2010;410
25-6-2010;410
26-6-2010;415
27-6-2010;425
28-6-2010;429
29-6-2010;428
30-6-2010;422
1-7-2010;416
2-7-2010;407
3-7-2010;412
4-7-2010;435
5-7-2010;444
6-7-2010;442
7-7-2010;432
8-7-2010;434
9-7-2010;438
10-7-2010;441
11-7-2010;439
12-7-2010;438
13-7-2010;436
14-7-2010;447
15-7-2010;479
16-7-2010;479
17-7-2010;492
18-7-2010;508
19-7-2010;518
20-7-2010;504
21-7-2010;473
22-7-2010;468
23-7-2010;477
24-7-2010;483
25-7-2010;450
26-7-2010;425
27-7-2010;423
28-7-2010;422
29-7-2010;424
30-7-2010;421
31-7-2010;418
1-8-2010;415
2-8-2010;417
3-8-2010;422
4-8-2010;426
5-8-2010;426
6-8-2010;417
7-8-2010;410
8-8-2010;397
9-8-2010;411
10-8-2010;435
11-8-2010;442
12-8-2010;429
13-8-2010;434
14-8-2010;442
15-8-2010;415
16-8-2010;412
17-8-2010;371
18-8-2010;356
19-8-2010;357
20-8-2010;358
21-8-2010;351
22-8-2010;350
23-8-2010;376
24-8-2010;396
25-8-2010;370
26-8-2010;376
27-8-2010;339
28-8-2010;337
29-8-2010;314
30-8-2010;322
31-8-2010;319
1-9-2010;329
2-9-2010;331
3-9-2010;332
4-9-2010;340
5-9-2010;346
6-9-2010;342
7-9-2010;338
8-9-2010;370
9-9-2010;385
10-9-2010;406
11-9-2010;407
12-9-2010;381
13-9-2010;350
14-9-2010;348
15-9-2010;349
16-9-2010;353
17-9-2010;341
18-9-2010;331
19-9-2010;327
20-9-2010;325
21-9-2010;326
22-9-2010;325
23-9-2010;323
24-9-2010;329
25-9-2010;328
26-9-2010;329
27-9-2010;402
28-9-2010;382
29-9-2010;388
30-9-2010;403
1-10-2010;410
2-10-2010;411
3-10-2010;446
4-10-2010;480
5-10-2010;499
6-10-2010;509
7-10-2010;514
8-10-2010;514
9-10-2010;522
10-10-2010;527
11-10-2010;527
12-10-2010;525
13-10-2010;525
14-10-2010;525
15-10-2010;524
16-10-2010;527
17-10-2010;541
18-10-2010;544
19-10-2010;544
20-10-2010;541
21-10-2010;498
22-10-2010;371
23-10-2010;360
24-10-2010;361
25-10-2010;365
26-10-2010;359
27-10-2010;342
28-10-2010;350
29-10-2010;370
30-10-2010;388
31-10-2010;395
1-11-2010;399
2-11-2010;402
3-11-2010;411
4-11-2010;421
5-11-2010;438
6-11-2010;471
7-11-2010;432
8-11-2010;402
9-11-2010;391
10-11-2010;388
11-11-2010;395
12-11-2010;415
13-11-2010;376
14-11-2010;367
15-11-2010;363
16-11-2010;348
17-11-2010;391
18-11-2010;425
19-11-2010;426
20-11-2010;413
21-11-2010;410
22-11-2010;412
23-11-2010;411
24-11-2010;429
25-11-2010;426
26-11-2010;394
27-11-2010;385
28-11-2010;351
29-11-2010;327
30-11-2010;336
1-12-2010;351
2-12-2010;351
3-12-2010;346
4-12-2010;346
5-12-2010;388
6-12-2010;370
7-12-2010;346
8-12-2010;339
9-12-2010;346
10-12-2010;353
11-12-2010;358
12-12-2010;367
13-12-2010;355
14-12-2010;336
15-12-2010;333
16-12-2010;330
17-12-2010;333
18-12-2010;323
19-12-2010;306
20-12-2010;308
21-12-2010;319
22-12-2010;336
23-12-2010;364
24-12-2010;390
25-12-2010;402
26-12-2010;403
27-12-2010;379
28-12-2010;367
29-12-2010;353
30-12-2010;334
31-12-2010;349
1-1-2011;383
2-1-2011;422
3-1-2011;424
4-1-2011;420
5-1-2011;406
6-1-2011;379
7-1-2011;404
8-1-2011;432
9-1-2011;434
10-1-2011;424
11-1-2011;381
12-1-2011;402
13-1-2011;440
14-1-2011;367
15-1-2011;331
16-1-2011;305
17-1-2011;303
18-1-2011;363
19-1-2011;409
20-1-2011;346
21-1-2011;299
22-1-2011;279
23-1-2011;282
24-1-2011;296
25-1-2011;290
26-1-2011;286
27-1-2011;277
28-1-2011;258
29-1-2011;256
30-1-2011;260
31-1-2011;268
1-2-2011;279
2-2-2011;298
3-2-2011;299
4-2-2011;296
5-2-2011;311
6-2-2011;323
7-2-2011;322
8-2-2011;319
9-2-2011;323
10-2-2011;322
11-2-2011;302
12-2-2011;331
13-2-2011;348
14-2-2011;367
15-2-2011;356
16-2-2011;370
17-2-2011;398
18-2-2011;423
19-2-2011;419
20-2-2011;434
21-2-2011;435
22-2-2011;448
