DATUM;WAARDE
1-1-2010;489
2-1-2010;379
3-1-2010;338
4-1-2010;318
5-1-2010;331
6-1-2010;355
7-1-2010;369
8-1-2010;383
9-1-2010;383
10-1-2010;383
11-1-2010;383
12-1-2010;362
13-1-2010;390
14-1-2010;369
15-1-2010;366
16-1-2010;366
17-1-2010;366
18-1-2010;355
19-1-2010;311
20-1-2010;373
21-1-2010;390
22-1-2010;349
23-1-2010;338
24-1-2010;331
25-1-2010;331
26-1-2010;325
27-1-2010;335
28-1-2010;345
29-1-2010;345
30-1-2010;362
31-1-2010;400
1-2-2010;441
2-2-2010;472
3-2-2010;441
4-2-2010;379
5-2-2010;325
6-2-2010;403
7-2-2010;403
8-2-2010;448
9-2-2010;407
10-2-2010;503
11-2-2010;469
12-2-2010;355
13-2-2010;499
14-2-2010;503
15-2-2010;496
16-2-2010;489
17-2-2010;427
18-2-2010;479
19-2-2010;475
20-2-2010;472
21-2-2010;482
22-2-2010;441
23-2-2010;489
24-2-2010;496
25-2-2010;486
26-2-2010;489
27-2-2010;486
28-2-2010;458
1-3-2010;355
2-3-2010;345
3-3-2010;379
4-3-2010;417
5-3-2010;424
6-3-2010;431
7-3-2010;445
8-3-2010;441
9-3-2010;448
10-3-2010;407
11-3-2010;414
12-3-2010;373
13-3-2010;445
14-3-2010;407
15-3-2010;194
16-3-2010;369
17-3-2010;537
18-3-2010;537
19-3-2010;715
20-3-2010;664
21-3-2010;667
22-3-2010;681
23-3-2010;640
24-3-2010;777
25-3-2010;705
26-3-2010;705
27-3-2010;938
28-3-2010;753
29-3-2010;757
30-3-2010;969
31-3-2010;808
1-4-2010;1055
2-4-2010;1017
3-4-2010;986
4-4-2010;870
5-4-2010;691
6-4-2010;739
7-4-2010;808
8-4-2010;637
9-4-2010;462
10-4-2010;421
11-4-2010;407
12-4-2010;373
13-4-2010;373
14-4-2010;359
15-4-2010;331
16-4-2010;321
17-4-2010;335
18-4-2010;331
19-4-2010;335
20-4-2010;349
21-4-2010;345
22-4-2010;345
23-4-2010;362
24-4-2010;383
25-4-2010;379
26-4-2010;359
27-4-2010;376
28-4-2010;366
29-4-2010;352
30-4-2010;342
1-5-2010;373
2-5-2010;359
3-5-2010;352
4-5-2010;355
5-5-2010;333
6-5-2010;311
7-5-2010;283
8-5-2010;283
9-5-2010;253
10-5-2010;256
11-5-2010;283
12-5-2010;277
13-5-2010;263
14-5-2010;249
15-5-2010;253
16-5-2010;259
17-5-2010;266
18-5-2010;270
19-5-2010;266
20-5-2010;259
21-5-2010;253
22-5-2010;239
23-5-2010;232
24-5-2010;225
25-5-2010;235
26-5-2010;249
27-5-2010;266
28-5-2010;266
29-5-2010;270
30-5-2010;301
31-5-2010;318
1-6-2010;321
2-6-2010;331
3-6-2010;335
4-6-2010;321
5-6-2010;318
6-6-2010;318
