DATUM;WAARDE
1-1-2010;6468
2-1-2010;6468
3-1-2010;6468
4-1-2010;6468
5-1-2010;6468
6-1-2010;6468
7-1-2010;6468
8-1-2010;6468
9-1-2010;6468
10-1-2010;6468
11-1-2010;6468
12-1-2010;6468
13-1-2010;6468
14-1-2010;6468
15-1-2010;6468
16-1-2010;6468
17-1-2010;6468
18-1-2010;6468
19-1-2010;6468
20-1-2010;6468
21-1-2010;6468
22-1-2010;6468
23-1-2010;6468
24-1-2010;6468
25-1-2010;6468
26-1-2010;6468
27-1-2010;6468
28-1-2010;6468
29-1-2010;6468
30-1-2010;6468
31-1-2010;6468
1-2-2010;6468
2-2-2010;6468
3-2-2010;6468
4-2-2010;6468
5-2-2010;6468
6-2-2010;6468
7-2-2010;6468
8-2-2010;6468
9-2-2010;6468
10-2-2010;6468
11-2-2010;6468
12-2-2010;6468
13-2-2010;6468
14-2-2010;6468
15-2-2010;6468
16-2-2010;6468
17-2-2010;6468
18-2-2010;6468
19-2-2010;6468
20-2-2010;6468
21-2-2010;6468
22-2-2010;6468
23-2-2010;6468
24-2-2010;6468
25-2-2010;6468
26-2-2010;6468
27-2-2010;5714
28-2-2010;6468
1-3-2010;4230
2-3-2010;6468
3-3-2010;6468
4-3-2010;6468
5-3-2010;6468
6-3-2010;6468
7-3-2010;6468
8-3-2010;6468
9-3-2010;6468
10-3-2010;6468
11-3-2010;6468
12-3-2010;6468
13-3-2010;6468
14-3-2010;6468
15-3-2010;6468
16-3-2010;5680
17-3-2010;6160
18-3-2010;5916
19-3-2010;5728
20-3-2010;5351
21-3-2010;4775
22-3-2010;4939
23-3-2010;5435
24-3-2010;5930
25-3-2010;5762
26-3-2010;5035
27-3-2010;4250
28-3-2010;4555
29-3-2010;4936
30-3-2010;5433
31-3-2010;5035
1-4-2010;664
2-4-2010;781
3-4-2010;664
4-4-2010;698
5-4-2010;650
6-4-2010;1075
7-4-2010;1501
8-4-2010;853
9-4-2010;2231
10-4-2010;2203
11-4-2010;3506
12-4-2010;4614
13-4-2010;3938
14-4-2010;3571
15-4-2010;3654
16-4-2010;3290
17-4-2010;3633
