DATUM;WAARDE
1-1-2010;400
2-1-2010;400
3-1-2010;400
4-1-2010;400
5-1-2010;400
6-1-2010;400
7-1-2010;400
8-1-2010;400
9-1-2010;400
10-1-2010;400
11-1-2010;400
12-1-2010;400
13-1-2010;400
14-1-2010;400
15-1-2010;400
16-1-2010;400
17-1-2010;400
18-1-2010;400
19-1-2010;400
20-1-2010;400
21-1-2010;400
22-1-2010;400
23-1-2010;400
24-1-2010;400
25-1-2010;400
26-1-2010;400
27-1-2010;400
28-1-2010;400
29-1-2010;400
30-1-2010;400
31-1-2010;400
1-2-2010;400
2-2-2010;400
3-2-2010;400
4-2-2010;400
5-2-2010;400
6-2-2010;400
7-2-2010;400
8-2-2010;400
9-2-2010;400
10-2-2010;400
11-2-2010;400
12-2-2010;400
13-2-2010;400
14-2-2010;400
15-2-2010;400
16-2-2010;400
17-2-2010;400
18-2-2010;400
19-2-2010;400
20-2-2010;400
21-2-2010;400
22-2-2010;400
23-2-2010;400
24-2-2010;400
25-2-2010;400
26-2-2010;400
27-2-2010;400
28-2-2010;400
1-3-2010;400
2-3-2010;400
3-3-2010;400
4-3-2010;400
5-3-2010;400
6-3-2010;400
7-3-2010;400
8-3-2010;400
9-3-2010;400
10-3-2010;400
11-3-2010;400
12-3-2010;400
13-3-2010;400
14-3-2010;400
15-3-2010;400
16-3-2010;400
17-3-2010;400
18-3-2010;400
19-3-2010;400
20-3-2010;400
21-3-2010;400
22-3-2010;400
23-3-2010;400
24-3-2010;400
25-3-2010;400
26-3-2010;400
27-3-2010;400
28-3-2010;400
29-3-2010;400
30-3-2010;400
31-3-2010;400
1-4-2010;400
2-4-2010;400
3-4-2010;400
4-4-2010;400
5-4-2010;400
6-4-2010;400
7-4-2010;400
8-4-2010;400
9-4-2010;400
10-4-2010;400
11-4-2010;400
12-4-2010;400
13-4-2010;400
14-4-2010;400
15-4-2010;400
16-4-2010;400
17-4-2010;400
18-4-2010;400
19-4-2010;400
20-4-2010;400
21-4-2010;400
22-4-2010;400
23-4-2010;400
24-4-2010;400
25-4-2010;400
26-4-2010;400
27-4-2010;400
28-4-2010;400
29-4-2010;400
30-4-2010;400
1-5-2010;400
2-5-2010;400
3-5-2010;400
4-5-2010;400
5-5-2010;400
6-5-2010;400
7-5-2010;400
8-5-2010;400
9-5-2010;400
10-5-2010;400
11-5-2010;400
12-5-2010;400
13-5-2010;400
14-5-2010;400
15-5-2010;400
16-5-2010;400
17-5-2010;400
18-5-2010;400
19-5-2010;400
20-5-2010;400
21-5-2010;400
22-5-2010;400
23-5-2010;400
24-5-2010;400
25-5-2010;400
26-5-2010;400
27-5-2010;400
28-5-2010;400
29-5-2010;400
30-5-2010;400
31-5-2010;400
1-6-2010;400
2-6-2010;400
3-6-2010;400
4-6-2010;400
5-6-2010;400
6-6-2010;400
7-6-2010;400
8-6-2010;400
9-6-2010;400
10-6-2010;400
11-6-2010;400
12-6-2010;400
13-6-2010;400
