DATUM;WAARDE
1-1-2010;190
2-1-2010;190
3-1-2010;190
4-1-2010;190
5-1-2010;190
6-1-2010;190
7-1-2010;190
8-1-2010;190
9-1-2010;190
10-1-2010;190
11-1-2010;190
12-1-2010;190
13-1-2010;190
14-1-2010;190
15-1-2010;190
16-1-2010;188
17-1-2010;186
18-1-2010;184
19-1-2010;181
20-1-2010;179
21-1-2010;177
22-1-2010;175
23-1-2010;173
24-1-2010;171
25-1-2010;169
26-1-2010;166
27-1-2010;164
28-1-2010;162
29-1-2010;160
30-1-2010;158
31-1-2010;156
1-2-2010;154
2-2-2010;151
3-2-2010;149
4-2-2010;147
5-2-2010;145
6-2-2010;143
7-2-2010;141
8-2-2010;139
9-2-2010;136
10-2-2010;134
11-2-2010;132
12-2-2010;130
13-2-2010;135
14-2-2010;139
15-2-2010;144
16-2-2010;148
17-2-2010;153
18-2-2010;157
19-2-2010;162
20-2-2010;166
21-2-2010;171
22-2-2010;175
23-2-2010;180
24-2-2010;184
25-2-2010;189
26-2-2010;193
27-2-2010;198
28-2-2010;202
1-3-2010;207
2-3-2010;211
3-3-2010;216
4-3-2010;220
5-3-2010;225
6-3-2010;229
7-3-2010;234
8-3-2010;238
9-3-2010;243
10-3-2010;247
11-3-2010;252
12-3-2010;256
13-3-2010;261
14-3-2010;265
15-3-2010;270
16-3-2010;274
17-3-2010;277
18-3-2010;281
19-3-2010;284
20-3-2010;288
21-3-2010;291
22-3-2010;295
23-3-2010;298
24-3-2010;302
25-3-2010;305
26-3-2010;309
27-3-2010;313
28-3-2010;316
29-3-2010;320
30-3-2010;323
31-3-2010;327
1-4-2010;330
2-4-2010;334
3-4-2010;337
4-4-2010;341
5-4-2010;345
6-4-2010;348
7-4-2010;352
8-4-2010;355
9-4-2010;359
10-4-2010;362
11-4-2010;366
12-4-2010;369
13-4-2010;373
14-4-2010;376
15-4-2010;380
16-4-2010;378
17-4-2010;377
18-4-2010;375
19-4-2010;373
20-4-2010;372
21-4-2010;370
22-4-2010;368
23-4-2010;367
24-4-2010;365
25-4-2010;363
26-4-2010;362
27-4-2010;360
28-4-2010;358
29-4-2010;357
30-4-2010;355
1-5-2010;353
2-5-2010;352
3-5-2010;350
4-5-2010;348
5-5-2010;347
6-5-2010;345
7-5-2010;343
8-5-2010;342
9-5-2010;340
10-5-2010;338
11-5-2010;337
12-5-2010;335
13-5-2010;333
14-5-2010;332
15-5-2010;330
16-5-2010;324
17-5-2010;318
18-5-2010;312
19-5-2010;305
20-5-2010;299
21-5-2010;293
22-5-2010;287
23-5-2010;281
24-5-2010;275
25-5-2010;268
26-5-2010;262
27-5-2010;256
28-5-2010;250
29-5-2010;244
30-5-2010;238
31-5-2010;232
1-6-2010;225
2-6-2010;219
3-6-2010;213
4-6-2010;207
5-6-2010;201
6-6-2010;195
7-6-2010;188
8-6-2010;182
9-6-2010;176
10-6-2010;170
11-6-2010;170
12-6-2010;170
13-6-2010;170
14-6-2010;170
15-6-2010;170
16-6-2010;170
17-6-2010;170
18-6-2010;170
19-6-2010;170
20-6-2010;170
21-6-2010;170
22-6-2010;170
23-6-2010;170
24-6-2010;170
25-6-2010;170
26-6-2010;170
27-6-2010;170
28-6-2010;170
29-6-2010;170
30-6-2010;170
1-7-2010;170
2-7-2010;170
3-7-2010;170
4-7-2010;170
5-7-2010;170
6-7-2010;170
7-7-2010;170
8-7-2010;170
9-7-2010;170
10-7-2010;170
11-7-2010;170
12-7-2010;170
13-7-2010;170
14-7-2010;170
15-7-2010;170
16-7-2010;172
17-7-2010;173
18-7-2010;175
19-7-2010;176
20-7-2010;178
21-7-2010;180
22-7-2010;181
23-7-2010;183
24-7-2010;185
25-7-2010;186
26-7-2010;188
27-7-2010;189
28-7-2010;191
29-7-2010;193
30-7-2010;194
31-7-2010;196
1-8-2010;197
2-8-2010;199
3-8-2010;201
4-8-2010;202
5-8-2010;204
6-8-2010;205
7-8-2010;207
8-8-2010;209
9-8-2010;210
10-8-2010;212
11-8-2010;214
12-8-2010;215
13-8-2010;217
14-8-2010;218
15-8-2010;220
16-8-2010;219
17-8-2010;218
18-8-2010;216
19-8-2010;215
20-8-2010;214
21-8-2010;213
22-8-2010;212
23-8-2010;210
24-8-2010;209
25-8-2010;208
26-8-2010;207
27-8-2010;205
28-8-2010;204
29-8-2010;203
30-8-2010;202
31-8-2010;201
1-9-2010;199
2-9-2010;198
3-9-2010;197
4-9-2010;196
5-9-2010;195
6-9-2010;193
7-9-2010;192
8-9-2010;191
9-9-2010;190
10-9-2010;188
11-9-2010;187
12-9-2010;186
13-9-2010;185
14-9-2010;184
15-9-2010;182
16-9-2010;181
17-9-2010;180
18-9-2010;184
19-9-2010;187
20-9-2010;191
21-9-2010;194
22-9-2010;198
23-9-2010;201
24-9-2010;205
25-9-2010;209
26-9-2010;212
27-9-2010;216
28-9-2010;219
29-9-2010;223
30-9-2010;226
1-10-2010;230
2-10-2010;234
3-10-2010;237
4-10-2010;241
5-10-2010;244
6-10-2010;248
7-10-2010;251
8-10-2010;255
9-10-2010;259
10-10-2010;262
11-10-2010;266
12-10-2010;269
13-10-2010;273
14-10-2010;276
15-10-2010;280
16-10-2010;274
17-10-2010;268
18-10-2010;263
19-10-2010;257
20-10-2010;251
21-10-2010;245
22-10-2010;240
23-10-2010;234
24-10-2010;228
25-10-2010;222
26-10-2010;217
27-10-2010;211
28-10-2010;205
29-10-2010;199
30-10-2010;193
