DATUM;WAARDE
1-1-2010;125
2-1-2010;125
3-1-2010;125
4-1-2010;125
5-1-2010;125
6-1-2010;125
7-1-2010;125
8-1-2010;125
9-1-2010;125
10-1-2010;125
11-1-2010;125
12-1-2010;125
13-1-2010;125
14-1-2010;125
15-1-2010;125
16-1-2010;125
17-1-2010;125
18-1-2010;125
19-1-2010;125
20-1-2010;125
21-1-2010;125
22-1-2010;125
23-1-2010;125
24-1-2010;125
25-1-2010;125
26-1-2010;125
27-1-2010;125
28-1-2010;125
29-1-2010;125
30-1-2010;125
31-1-2010;125
1-2-2010;125
2-2-2010;125
3-2-2010;125
4-2-2010;125
5-2-2010;125
6-2-2010;125
7-2-2010;125
8-2-2010;125
9-2-2010;125
10-2-2010;125
11-2-2010;125
12-2-2010;125
13-2-2010;125
14-2-2010;125
15-2-2010;125
16-2-2010;125
17-2-2010;125
18-2-2010;125
19-2-2010;125
20-2-2010;125
21-2-2010;125
22-2-2010;125
23-2-2010;125
24-2-2010;125
25-2-2010;125
26-2-2010;125
27-2-2010;125
28-2-2010;125
1-3-2010;125
2-3-2010;125
3-3-2010;125
4-3-2010;125
5-3-2010;125
6-3-2010;125
7-3-2010;125
8-3-2010;125
9-3-2010;125
10-3-2010;125
11-3-2010;125
12-3-2010;125
13-3-2010;125
14-3-2010;125
15-3-2010;125
16-3-2010;125
17-3-2010;125
18-3-2010;125
19-3-2010;125
20-3-2010;125
21-3-2010;125
22-3-2010;125
23-3-2010;125
24-3-2010;125
25-3-2010;125
26-3-2010;125
27-3-2010;125
28-3-2010;125
29-3-2010;125
30-3-2010;125
31-3-2010;125
1-4-2010;325
2-4-2010;325
3-4-2010;325
4-4-2010;325
5-4-2010;325
6-4-2010;325
7-4-2010;325
8-4-2010;325
9-4-2010;325
10-4-2010;325
11-4-2010;325
12-4-2010;325
13-4-2010;325
14-4-2010;325
15-4-2010;325
16-4-2010;325
17-4-2010;325
18-4-2010;325
19-4-2010;325
20-4-2010;325
21-4-2010;325
22-4-2010;325
23-4-2010;325
24-4-2010;325
25-4-2010;325
26-4-2010;325
27-4-2010;325
28-4-2010;325
29-4-2010;325
30-4-2010;325
1-5-2010;325
2-5-2010;325
3-5-2010;325
4-5-2010;325
5-5-2010;325
6-5-2010;325
7-5-2010;325
8-5-2010;325
9-5-2010;325
10-5-2010;325
11-5-2010;325
12-5-2010;325
13-5-2010;325
14-5-2010;325
15-5-2010;325
16-5-2010;325
17-5-2010;325
18-5-2010;325
19-5-2010;325
20-5-2010;325
21-5-2010;325
22-5-2010;325
23-5-2010;325
24-5-2010;325
25-5-2010;325
26-5-2010;325
27-5-2010;325
28-5-2010;325
29-5-2010;325
30-5-2010;325
31-5-2010;325
1-6-2010;325
2-6-2010;325
3-6-2010;325
4-6-2010;325
5-6-2010;325
6-6-2010;325
7-6-2010;325
8-6-2010;325
9-6-2010;325
10-6-2010;325
11-6-2010;325
12-6-2010;325
13-6-2010;325
14-6-2010;325
15-6-2010;325
16-6-2010;325
17-6-2010;325
18-6-2010;325
19-6-2010;325
20-6-2010;325
21-6-2010;325
22-6-2010;325
23-6-2010;325
24-6-2010;325
25-6-2010;325
26-6-2010;325
27-6-2010;325
28-6-2010;325
29-6-2010;325
30-6-2010;325
1-7-2010;325
2-7-2010;325
3-7-2010;325
4-7-2010;325
5-7-2010;325
6-7-2010;325
7-7-2010;325
8-7-2010;325
9-7-2010;325
10-7-2010;325
11-7-2010;325
12-7-2010;325
13-7-2010;325
14-7-2010;325
15-7-2010;325
16-7-2010;325
17-7-2010;325
18-7-2010;325
19-7-2010;325
20-7-2010;325
21-7-2010;325
22-7-2010;325
23-7-2010;325
24-7-2010;325
25-7-2010;325
26-7-2010;325
27-7-2010;325
28-7-2010;325
29-7-2010;325
30-7-2010;325
31-7-2010;325
1-8-2010;325
2-8-2010;325
3-8-2010;325
4-8-2010;325
5-8-2010;325
6-8-2010;325
7-8-2010;325
8-8-2010;325
9-8-2010;325
10-8-2010;325
11-8-2010;325
12-8-2010;325
13-8-2010;325
14-8-2010;325
15-8-2010;325
16-8-2010;325
17-8-2010;325
18-8-2010;325
19-8-2010;325
20-8-2010;325
21-8-2010;325
22-8-2010;325
23-8-2010;325
24-8-2010;325
25-8-2010;325
26-8-2010;325
27-8-2010;325
28-8-2010;325
29-8-2010;325
30-8-2010;325
31-8-2010;325
1-9-2010;325
2-9-2010;325
3-9-2010;325
4-9-2010;325
5-9-2010;325
6-9-2010;325
7-9-2010;325
8-9-2010;325
9-9-2010;325
10-9-2010;325
11-9-2010;325
12-9-2010;325
13-9-2010;325
14-9-2010;325
15-9-2010;325
16-9-2010;325
17-9-2010;325
18-9-2010;325
19-9-2010;325
20-9-2010;325
21-9-2010;325
22-9-2010;325
23-9-2010;325
24-9-2010;325
25-9-2010;325
26-9-2010;325
27-9-2010;325
28-9-2010;325
29-9-2010;325
30-9-2010;325
1-10-2010;125
2-10-2010;125
3-10-2010;125
4-10-2010;125
5-10-2010;125
6-10-2010;125
7-10-2010;125
8-10-2010;125
9-10-2010;125
10-10-2010;125
11-10-2010;125
12-10-2010;125
13-10-2010;125
14-10-2010;125
15-10-2010;125
16-10-2010;125
17-10-2010;125
18-10-2010;125
19-10-2010;125
20-10-2010;125
21-10-2010;125
22-10-2010;125
23-10-2010;125
24-10-2010;125
25-10-2010;125
26-10-2010;125
27-10-2010;125
28-10-2010;125
29-10-2010;125
30-10-2010;125
31-10-2010;125
1-11-2010;125
2-11-2010;125
3-11-2010;125
4-11-2010;125
5-11-2010;125
6-11-2010;125
7-11-2010;125
8-11-2010;125
9-11-2010;125
10-11-2010;125
11-11-2010;125
12-11-2010;125
13-11-2010;125
14-11-2010;125
15-11-2010;125
16-11-2010;125
17-11-2010;125
18-11-2010;125
19-11-2010;125
20-11-2010;125
21-11-2010;125
22-11-2010;125
23-11-2010;125
24-11-2010;125
25-11-2010;125
26-11-2010;125
27-11-2010;125
28-11-2010;125
29-11-2010;125
30-11-2010;125
1-12-2010;125
2-12-2010;125
3-12-2010;125
4-12-2010;125
5-12-2010;125
6-12-2010;125
7-12-2010;125
8-12-2010;125
9-12-2010;125
10-12-2010;125
11-12-2010;125
12-12-2010;125
13-12-2010;125
14-12-2010;125
15-12-2010;125
16-12-2010;125
17-12-2010;125
18-12-2010;125
19-12-2010;125
20-12-2010;125
21-12-2010;125
22-12-2010;125
23-12-2010;125
24-12-2010;125
25-12-2010;125
26-12-2010;125
27-12-2010;125
28-12-2010;125
29-12-2010;125
30-12-2010;125
31-12-2010;125
1-1-2011;125
2-1-2011;125
3-1-2011;125
4-1-2011;125
5-1-2011;125
6-1-2011;125
7-1-2011;125
8-1-2011;125
9-1-2011;125
10-1-2011;125
11-1-2011;125
12-1-2011;125
13-1-2011;125
14-1-2011;125
15-1-2011;125
16-1-2011;125
17-1-2011;125
18-1-2011;125
19-1-2011;125
20-1-2011;125
21-1-2011;125
22-1-2011;125
23-1-2011;125
24-1-2011;125
25-1-2011;125
26-1-2011;125
27-1-2011;125
28-1-2011;125
29-1-2011;125
30-1-2011;125
31-1-2011;125
1-2-2011;125
2-2-2011;125
3-2-2011;125
4-2-2011;125
5-2-2011;125
6-2-2011;125
7-2-2011;125
8-2-2011;125
9-2-2011;125
10-2-2011;125
11-2-2011;125
12-2-2011;125
13-2-2011;125
14-2-2011;125
15-2-2011;125
16-2-2011;125
17-2-2011;125
18-2-2011;125
19-2-2011;125
20-2-2011;125
21-2-2011;125
22-2-2011;125
23-2-2011;125
24-2-2011;125
25-2-2011;125
26-2-2011;125
27-2-2011;125
28-2-2011;125
1-3-2011;125
2-3-2011;125
3-3-2011;125
4-3-2011;125
5-3-2011;125
6-3-2011;125
7-3-2011;125
8-3-2011;125
9-3-2011;125
10-3-2011;125
11-3-2011;125
12-3-2011;125
13-3-2011;125
14-3-2011;125
15-3-2011;125
16-3-2011;125
17-3-2011;125
18-3-2011;125
19-3-2011;125
20-3-2011;125
21-3-2011;125
22-3-2011;125
23-3-2011;125
24-3-2011;125
25-3-2011;125
26-3-2011;125
27-3-2011;125
28-3-2011;125
29-3-2011;125
30-3-2011;125
31-3-2011;125
1-4-2011;292
2-4-2011;292
3-4-2011;292
4-4-2011;292
5-4-2011;292
6-4-2011;292
7-4-2011;292
8-4-2011;292
9-4-2011;292
10-4-2011;292
11-4-2011;292
12-4-2011;292
13-4-2011;292
14-4-2011;292
15-4-2011;292
16-4-2011;292
17-4-2011;292
18-4-2011;292
19-4-2011;292
20-4-2011;292
21-4-2011;292
22-4-2011;292
23-4-2011;292
24-4-2011;292
25-4-2011;292
26-4-2011;292
27-4-2011;292
28-4-2011;292
29-4-2011;292
30-4-2011;292
1-5-2011;292
2-5-2011;292
3-5-2011;292
4-5-2011;292
5-5-2011;292
6-5-2011;292
7-5-2011;292
8-5-2011;292
9-5-2011;292
10-5-2011;292
11-5-2011;292
12-5-2011;292
13-5-2011;292
14-5-2011;292
15-5-2011;292
16-5-2011;292
17-5-2011;292
18-5-2011;292
19-5-2011;292
20-5-2011;292
21-5-2011;292
22-5-2011;292
23-5-2011;292
24-5-2011;292
25-5-2011;292
26-5-2011;292
27-5-2011;292
28-5-2011;292
29-5-2011;292
30-5-2011;292
31-5-2011;292
1-6-2011;292
2-6-2011;292
3-6-2011;292
4-6-2011;292
5-6-2011;292
6-6-2011;292
7-6-2011;292
8-6-2011;292
9-6-2011;292
10-6-2011;292
11-6-2011;292
12-6-2011;292
13-6-2011;292
14-6-2011;292
15-6-2011;292
16-6-2011;292
17-6-2011;292
18-6-2011;292
19-6-2011;292
20-6-2011;292
21-6-2011;292
22-6-2011;292
23-6-2011;292
24-6-2011;292
25-6-2011;292
26-6-2011;292
27-6-2011;292
28-6-2011;292
29-6-2011;292
30-6-2011;292
1-7-2011;292
2-7-2011;292
3-7-2011;292
4-7-2011;292
5-7-2011;292
6-7-2011;292
7-7-2011;292
8-7-2011;292
9-7-2011;292
10-7-2011;292
11-7-2011;292
12-7-2011;292
13-7-2011;292
14-7-2011;292
15-7-2011;292
16-7-2011;292
17-7-2011;292
18-7-2011;292
19-7-2011;292
20-7-2011;292
21-7-2011;292
22-7-2011;292
23-7-2011;292
24-7-2011;292
25-7-2011;292
26-7-2011;292
27-7-2011;292
28-7-2011;292
29-7-2011;292
30-7-2011;292
31-7-2011;292
1-8-2011;292
2-8-2011;292
3-8-2011;292
4-8-2011;292
5-8-2011;292
6-8-2011;292
7-8-2011;292
8-8-2011;292
9-8-2011;292
10-8-2011;292
11-8-2011;292
12-8-2011;292
13-8-2011;292
14-8-2011;292
15-8-2011;292
16-8-2011;292
17-8-2011;292
18-8-2011;292
19-8-2011;292
20-8-2011;292
21-8-2011;292
22-8-2011;292
23-8-2011;292
24-8-2011;292
25-8-2011;292
26-8-2011;292
27-8-2011;292
28-8-2011;292
29-8-2011;292
30-8-2011;292
31-8-2011;292
1-9-2011;292
2-9-2011;292
3-9-2011;292
4-9-2011;292
5-9-2011;292
6-9-2011;292
7-9-2011;292
8-9-2011;292
9-9-2011;292
10-9-2011;292
11-9-2011;292
12-9-2011;292
13-9-2011;292
14-9-2011;292
15-9-2011;292
