DATUM;WAARDE
1-1-2010;285
2-1-2010;284
3-1-2010;282
4-1-2010;280
5-1-2010;279
6-1-2010;277
7-1-2010;276
8-1-2010;274
9-1-2010;272
10-1-2010;271
11-1-2010;269
12-1-2010;268
13-1-2010;266
14-1-2010;264
15-1-2010;263
16-1-2010;261
17-1-2010;259
18-1-2010;258
19-1-2010;256
20-1-2010;255
21-1-2010;253
22-1-2010;268
23-1-2010;273
24-1-2010;267
25-1-2010;282
26-1-2010;290
27-1-2010;299
28-1-2010;308
29-1-2010;301
30-1-2010;295
31-1-2010;288
1-2-2010;282
2-2-2010;278
3-2-2010;273
4-2-2010;274
5-2-2010;259
6-2-2010;239
7-2-2010;228
8-2-2010;262
9-2-2010;284
10-2-2010;273
11-2-2010;293
12-2-2010;295
13-2-2010;283
14-2-2010;268
15-2-2010;273
16-2-2010;281
17-2-2010;282
18-2-2010;278
19-2-2010;299
20-2-2010;289
21-2-2010;279
22-2-2010;285
23-2-2010;280
24-2-2010;280
25-2-2010;301
26-2-2010;282
27-2-2010;274
28-2-2010;275
1-3-2010;264
2-3-2010;263
3-3-2010;251
4-3-2010;232
5-3-2010;230
6-3-2010;248
7-3-2010;286
8-3-2010;259
9-3-2010;270
10-3-2010;307
11-3-2010;323
12-3-2010;316
13-3-2010;327
14-3-2010;319
15-3-2010;310
16-3-2010;304
17-3-2010;303
18-3-2010;310
19-3-2010;310
20-3-2010;300
21-3-2010;287
22-3-2010;284
23-3-2010;281
24-3-2010;285
25-3-2010;291
26-3-2010;301
27-3-2010;313
28-3-2010;293
29-3-2010;270
30-3-2010;297
31-3-2010;308
1-4-2010;281
2-4-2010;288
3-4-2010;289
4-4-2010;292
5-4-2010;285
6-4-2010;276
7-4-2010;275
8-4-2010;273
9-4-2010;279
10-4-2010;268
11-4-2010;263
12-4-2010;322
13-4-2010;361
14-4-2010;301
15-4-2010;329
16-4-2010;324
17-4-2010;306
18-4-2010;298
19-4-2010;265
20-4-2010;281
21-4-2010;286
22-4-2010;286
23-4-2010;260
24-4-2010;268
25-4-2010;304
26-4-2010;319
27-4-2010;296
28-4-2010;282
29-4-2010;264
30-4-2010;278
1-5-2010;245
2-5-2010;243
3-5-2010;264
4-5-2010;227
5-5-2010;273
6-5-2010;296
7-5-2010;282
8-5-2010;278
9-5-2010;269
10-5-2010;257
11-5-2010;278
12-5-2010;320
13-5-2010;260
14-5-2010;259
15-5-2010;262
16-5-2010;279
17-5-2010;254
18-5-2010;252
19-5-2010;251
20-5-2010;251
21-5-2010;243
22-5-2010;228
23-5-2010;227
24-5-2010;246
25-5-2010;249
26-5-2010;289
27-5-2010;294
28-5-2010;307
29-5-2010;310
30-5-2010;300
31-5-2010;282
1-6-2010;286
2-6-2010;282
3-6-2010;241
4-6-2010;267
5-6-2010;272
6-6-2010;277
7-6-2010;309
8-6-2010;318
9-6-2010;310
10-6-2010;279
11-6-2010;317
12-6-2010;318
13-6-2010;313
14-6-2010;301
15-6-2010;324
16-6-2010;354
17-6-2010;351
18-6-2010;340
19-6-2010;331
20-6-2010;324
21-6-2010;322
22-6-2010;293
23-6-2010;287
24-6-2010;280
25-6-2010;284
26-6-2010;244
27-6-2010;230
28-6-2010;248
29-6-2010;292
30-6-2010;310
1-7-2010;291
2-7-2010;273
3-7-2010;267
4-7-2010;279
5-7-2010;273
6-7-2010;278
7-7-2010;265
8-7-2010;251
9-7-2010;262
10-7-2010;271
11-7-2010;283
12-7-2010;292
13-7-2010;284
14-7-2010;278
15-7-2010;284
16-7-2010;272
17-7-2010;280
18-7-2010;243
19-7-2010;246
20-7-2010;247
21-7-2010;264
22-7-2010;282
23-7-2010;276
24-7-2010;279
25-7-2010;271
26-7-2010;266
27-7-2010;240
28-7-2010;241
29-7-2010;246
30-7-2010;226
31-7-2010;237
1-8-2010;246
2-8-2010;215
3-8-2010;213
4-8-2010;239
5-8-2010;207
6-8-2010;198
7-8-2010;203
8-8-2010;210
9-8-2010;205
10-8-2010;207
11-8-2010;212
12-8-2010;193
13-8-2010;196
14-8-2010;180
15-8-2010;175
16-8-2010;186
17-8-2010;251
18-8-2010;211
19-8-2010;205
20-8-2010;207
21-8-2010;218
22-8-2010;201
23-8-2010;200
24-8-2010;186
25-8-2010;186
26-8-2010;200
27-8-2010;203
28-8-2010;202
29-8-2010;194
30-8-2010;192
31-8-2010;198
1-9-2010;182
2-9-2010;171
3-9-2010;197
4-9-2010;201
5-9-2010;249
6-9-2010;270
7-9-2010;286
8-9-2010;277
9-9-2010;271
10-9-2010;268
11-9-2010;255
12-9-2010;252
13-9-2010;236
14-9-2010;231
15-9-2010;221
16-9-2010;221
17-9-2010;222
18-9-2010;229
19-9-2010;224
20-9-2010;223
21-9-2010;216
22-9-2010;208
23-9-2010;211
24-9-2010;208
25-9-2010;209
26-9-2010;214
27-9-2010;195
28-9-2010;203
29-9-2010;199
30-9-2010;215
1-10-2010;233
2-10-2010;211
3-10-2010;211
4-10-2010;210
5-10-2010;224
6-10-2010;233
7-10-2010;222
8-10-2010;218
9-10-2010;245
10-10-2010;254
11-10-2010;275
12-10-2010;293
13-10-2010;278
14-10-2010;285
15-10-2010;284
16-10-2010;277
17-10-2010;294
18-10-2010;287
19-10-2010;289
20-10-2010;281
21-10-2010;274
22-10-2010;274
23-10-2010;270
24-10-2010;262
25-10-2010;257
26-10-2010;256
27-10-2010;271
28-10-2010;249
29-10-2010;250
30-10-2010;248
31-10-2010;244
1-11-2010;239
2-11-2010;279
3-11-2010;266
4-11-2010;263
5-11-2010;264
6-11-2010;268
7-11-2010;269
8-11-2010;272
9-11-2010;284
10-11-2010;272
11-11-2010;291
12-11-2010;271
13-11-2010;272
14-11-2010;244
15-11-2010;187
16-11-2010;185
17-11-2010;189
18-11-2010;183
19-11-2010;195
20-11-2010;198
21-11-2010;195
22-11-2010;239
23-11-2010;231
24-11-2010;246
25-11-2010;239
26-11-2010;226
27-11-2010;222
28-11-2010;218
29-11-2010;233
30-11-2010;282
1-12-2010;280
2-12-2010;276
3-12-2010;259
4-12-2010;268
5-12-2010;248
6-12-2010;237
7-12-2010;240
8-12-2010;233
9-12-2010;243
10-12-2010;252
11-12-2010;243
12-12-2010;241
13-12-2010;222
14-12-2010;219
15-12-2010;225
16-12-2010;236
17-12-2010;233
18-12-2010;228
19-12-2010;218
20-12-2010;217
21-12-2010;237
22-12-2010;251
23-12-2010;263
24-12-2010;292
25-12-2010;261
26-12-2010;271
27-12-2010;278
28-12-2010;274
29-12-2010;269
30-12-2010;261
31-12-2010;273
1-1-2011;281
2-1-2011;268
3-1-2011;275
4-1-2011;287
5-1-2011;263
6-1-2011;248
7-1-2011;239
8-1-2011;249
9-1-2011;221
10-1-2011;227
11-1-2011;231
12-1-2011;227
13-1-2011;211
14-1-2011;210
15-1-2011;191
16-1-2011;181
17-1-2011;176
18-1-2011;169
19-1-2011;171
20-1-2011;155
21-1-2011;125
22-1-2011;156
23-1-2011;137
24-1-2011;143
25-1-2011;178
26-1-2011;173
27-1-2011;196
28-1-2011;235
29-1-2011;216
30-1-2011;222
31-1-2011;210
1-2-2011;220
2-2-2011;221
3-2-2011;213
4-2-2011;211
5-2-2011;214
6-2-2011;221
7-2-2011;228
8-2-2011;227
9-2-2011;227
10-2-2011;229
11-2-2011;226
12-2-2011;225
13-2-2011;228
14-2-2011;220
15-2-2011;212
16-2-2011;207
17-2-2011;204
18-2-2011;207
19-2-2011;236
20-2-2011;261
21-2-2011;266
22-2-2011;261
23-2-2011;246
24-2-2011;251
25-2-2011;250
26-2-2011;255
27-2-2011;238
28-2-2011;237
1-3-2011;222
2-3-2011;253
3-3-2011;248
4-3-2011;253
5-3-2011;229
6-3-2011;237
7-3-2011;264
8-3-2011;258
9-3-2011;264
10-3-2011;254
11-3-2011;256
12-3-2011;261
13-3-2011;262
14-3-2011;255
15-3-2011;252
16-3-2011;273
17-3-2011;303
18-3-2011;289
19-3-2011;271
20-3-2011;271
21-3-2011;276
22-3-2011;278
23-3-2011;271
24-3-2011;270
25-3-2011;275
26-3-2011;291
27-3-2011;315
28-3-2011;311
29-3-2011;314
30-3-2011;328
31-3-2011;336
1-4-2011;311
2-4-2011;313
3-4-2011;316
4-4-2011;311
5-4-2011;306
6-4-2011;311
7-4-2011;310
8-4-2011;310
9-4-2011;312
10-4-2011;303
11-4-2011;313
12-4-2011;358
13-4-2011;352
14-4-2011;352
15-4-2011;354
16-4-2011;349
17-4-2011;331
18-4-2011;335
19-4-2011;361
20-4-2011;373
21-4-2011;384
22-4-2011;392
23-4-2011;410
24-4-2011;410
25-4-2011;407
26-4-2011;411
27-4-2011;430
28-4-2011;435
29-4-2011;452
30-4-2011;474
1-5-2011;502
2-5-2011;496
3-5-2011;491
4-5-2011;476
5-5-2011;448
6-5-2011;453
7-5-2011;449
8-5-2011;448
9-5-2011;443
10-5-2011;414
11-5-2011;400
12-5-2011;424
13-5-2011;388
14-5-2011;394
15-5-2011;388
16-5-2011;383
17-5-2011;377
18-5-2011;372
19-5-2011;371
20-5-2011;378
21-5-2011;385
22-5-2011;389
23-5-2011;372
24-5-2011;360
25-5-2011;368
26-5-2011;381
27-5-2011;367
28-5-2011;385
29-5-2011;383
30-5-2011;378
31-5-2011;379
1-6-2011;374
2-6-2011;365
3-6-2011;399
4-6-2011;422
5-6-2011;449
6-6-2011;436
7-6-2011;436
8-6-2011;448
9-6-2011;428
10-6-2011;420
11-6-2011;421
12-6-2011;419
13-6-2011;428
14-6-2011;399
15-6-2011;403
16-6-2011;412
17-6-2011;392
18-6-2011;381
19-6-2011;362
20-6-2011;361
21-6-2011;372
22-6-2011;375
23-6-2011;363
24-6-2011;352
25-6-2011;354
26-6-2011;351
27-6-2011;349
28-6-2011;307
29-6-2011;355
30-6-2011;350
1-7-2011;349
2-7-2011;342
3-7-2011;322
4-7-2011;231
5-7-2011;268
6-7-2011;312
7-7-2011;333
8-7-2011;334
9-7-2011;312
10-7-2011;267
11-7-2011;269
12-7-2011;245
13-7-2011;230
14-7-2011;281
15-7-2011;276
16-7-2011;276
17-7-2011;283
18-7-2011;239
19-7-2011;221
20-7-2011;217
21-7-2011;201
22-7-2011;183
23-7-2011;206
24-7-2011;190
25-7-2011;199
26-7-2011;201
27-7-2011;194
28-7-2011;160
29-7-2011;149
30-7-2011;155
31-7-2011;164
1-8-2011;154
2-8-2011;147
3-8-2011;166
4-8-2011;184
5-8-2011;233
6-8-2011;235
7-8-2011;248
8-8-2011;224
9-8-2011;222
10-8-2011;228
11-8-2011;225
12-8-2011;220
13-8-2011;219
14-8-2011;225
15-8-2011;214
16-8-2011;217
17-8-2011;224
18-8-2011;210
19-8-2011;241
20-8-2011;269
21-8-2011;255
22-8-2011;251
23-8-2011;239
24-8-2011;260
25-8-2011;263
26-8-2011;262
27-8-2011;288
28-8-2011;255
29-8-2011;244
30-8-2011;245
31-8-2011;252
1-9-2011;247
2-9-2011;269
3-9-2011;269
4-9-2011;278
5-9-2011;300
6-9-2011;276
7-9-2011;269
8-9-2011;265
9-9-2011;270
10-9-2011;271
11-9-2011;273
12-9-2011;264
13-9-2011;252
14-9-2011;248
15-9-2011;245
16-9-2011;255
17-9-2011;271
18-9-2011;268
19-9-2011;252
20-9-2011;265
21-9-2011;275
22-9-2011;258
23-9-2011;244
24-9-2011;248
25-9-2011;263
26-9-2011;267
27-9-2011;276
28-9-2011;276
29-9-2011;286
30-9-2011;309
1-10-2011;314
2-10-2011;328
3-10-2011;347
4-10-2011;378
5-10-2011;371
6-10-2011;354
7-10-2011;354
8-10-2011;361
9-10-2011;366
10-10-2011;355
11-10-2011;354
12-10-2011;356
13-10-2011;360
14-10-2011;377
15-10-2011;392
16-10-2011;390
17-10-2011;387
18-10-2011;384
19-10-2011;382
20-10-2011;379
21-10-2011;376
22-10-2011;377
23-10-2011;371
24-10-2011;385
25-10-2011;413
26-10-2011;415
27-10-2011;420
28-10-2011;403
29-10-2011;408
30-10-2011;423
31-10-2011;428
1-11-2011;415
2-11-2011;411
3-11-2011;413
4-11-2011;440
5-11-2011;428
6-11-2011;418
7-11-2011;447
8-11-2011;493
9-11-2011;482
10-11-2011;477
11-11-2011;499
12-11-2011;487
13-11-2011;493
14-11-2011;498
15-11-2011;531
16-11-2011;533
17-11-2011;512
18-11-2011;513
19-11-2011;508
20-11-2011;508
21-11-2011;508
22-11-2011;513
23-11-2011;504
24-11-2011;522
25-11-2011;534
26-11-2011;493
27-11-2011;488
28-11-2011;482
29-11-2011;498
30-11-2011;483
1-12-2011;488
2-12-2011;473
3-12-2011;476
4-12-2011;457
5-12-2011;453
6-12-2011;455
7-12-2011;458
8-12-2011;463
9-12-2011;462
10-12-2011;463
11-12-2011;467
12-12-2011;467
13-12-2011;456
14-12-2011;460
15-12-2011;462
16-12-2011;445
17-12-2011;441
18-12-2011;387
19-12-2011;373
20-12-2011;338
21-12-2011;304
22-12-2011;306
23-12-2011;330
24-12-2011;287
25-12-2011;289
26-12-2011;287
27-12-2011;285
28-12-2011;287
29-12-2011;275
30-12-2011;279
31-12-2011;296
1-1-2012;304
2-1-2012;287
3-1-2012;283
4-1-2012;264
5-1-2012;266
6-1-2012;266
7-1-2012;260
8-1-2012;258
9-1-2012;266
10-1-2012;261
11-1-2012;273
12-1-2012;262
13-1-2012;240
14-1-2012;247
15-1-2012;250
16-1-2012;276
17-1-2012;279
18-1-2012;330
19-1-2012;298
20-1-2012;275
21-1-2012;280
22-1-2012;270
23-1-2012;269
24-1-2012;273
25-1-2012;274
26-1-2012;269
27-1-2012;277
28-1-2012;270
29-1-2012;259
30-1-2012;244
31-1-2012;306
1-2-2012;362
2-2-2012;352
3-2-2012;350
4-2-2012;348
5-2-2012;346
6-2-2012;344
7-2-2012;342
8-2-2012;340
9-2-2012;338
10-2-2012;336
11-2-2012;334
12-2-2012;333
13-2-2012;331
14-2-2012;329
15-2-2012;327
16-2-2012;325
17-2-2012;323
18-2-2012;321
19-2-2012;319
20-2-2012;317
21-2-2012;315
22-2-2012;313
23-2-2012;311
24-2-2012;309
25-2-2012;307
26-2-2012;305
27-2-2012;304
28-2-2012;302
29-2-2012;300
1-3-2012;303
2-3-2012;299
3-3-2012;306
4-3-2012;327
5-3-2012;325
6-3-2012;318
7-3-2012;361
8-3-2012;342
9-3-2012;344
10-3-2012;301
11-3-2012;292
12-3-2012;276
13-3-2012;253
14-3-2012;247
15-3-2012;261
16-3-2012;300
17-3-2012;304
18-3-2012;308
19-3-2012;263
20-3-2012;274
21-3-2012;267
22-3-2012;257
23-3-2012;243
24-3-2012;256
25-3-2012;263
26-3-2012;271
27-3-2012;280
28-3-2012;279
29-3-2012;286
30-3-2012;293
31-3-2012;291
1-4-2012;264
2-4-2012;281
3-4-2012;259
4-4-2012;244
5-4-2012;238
6-4-2012;271
7-4-2012;292
8-4-2012;254
9-4-2012;276
10-4-2012;234
11-4-2012;242
12-4-2012;236
13-4-2012;236
14-4-2012;233
15-4-2012;218
16-4-2012;249
17-4-2012;279
18-4-2012;279
19-4-2012;277
20-4-2012;282
21-4-2012;274
22-4-2012;272
23-4-2012;261
24-4-2012;243
25-4-2012;256
26-4-2012;273
27-4-2012;254
28-4-2012;239
29-4-2012;265
30-4-2012;280
1-5-2012;282
2-5-2012;281
3-5-2012;293
4-5-2012;286
5-5-2012;262
6-5-2012;276
7-5-2012;265
8-5-2012;290
9-5-2012;286
10-5-2012;304
11-5-2012;262
12-5-2012;228
13-5-2012;226
14-5-2012;241
15-5-2012;222
16-5-2012;213
17-5-2012;220
18-5-2012;212
19-5-2012;217
20-5-2012;202
21-5-2012;189
22-5-2012;192
23-5-2012;199
24-5-2012;197
25-5-2012;192
26-5-2012;232
27-5-2012;237
28-5-2012;226
29-5-2012;231
30-5-2012;215
31-5-2012;243
1-6-2012;228
2-6-2012;221
3-6-2012;249
4-6-2012;256
5-6-2012;270
6-6-2012;257
7-6-2012;231
8-6-2012;227
9-6-2012;203
10-6-2012;202
11-6-2012;204
12-6-2012;187
13-6-2012;181
14-6-2012;179
15-6-2012;208
16-6-2012;225
17-6-2012;205
18-6-2012;191
19-6-2012;191
20-6-2012;178
21-6-2012;174
22-6-2012;218
23-6-2012;185
24-6-2012;184
25-6-2012;170
26-6-2012;169
27-6-2012;175
28-6-2012;177
29-6-2012;174
30-6-2012;172
1-7-2012;167
2-7-2012;142
3-7-2012;138
4-7-2012;150
5-7-2012;147
6-7-2012;153
7-7-2012;159
8-7-2012;177
9-7-2012;203
10-7-2012;173
11-7-2012;170
12-7-2012;153
13-7-2012;162
14-7-2012;159
15-7-2012;151
16-7-2012;155
17-7-2012;146
18-7-2012;146
19-7-2012;145
20-7-2012;142
21-7-2012;148
22-7-2012;141
23-7-2012;149
24-7-2012;148
25-7-2012;155
26-7-2012;165
27-7-2012;185
28-7-2012;200
29-7-2012;226
30-7-2012;232
31-7-2012;221
1-8-2012;223
2-8-2012;229
3-8-2012;231
4-8-2012;252
5-8-2012;228
6-8-2012;237
7-8-2012;214
8-8-2012;205
9-8-2012;217
10-8-2012;211
11-8-2012;246
12-8-2012;284
13-8-2012;298
14-8-2012;300
15-8-2012;304
16-8-2012;328
17-8-2012;340
18-8-2012;319
19-8-2012;315
20-8-2012;323
21-8-2012;345
22-8-2012;315
23-8-2012;297
24-8-2012;306
25-8-2012;314
26-8-2012;300
27-8-2012;304
28-8-2012;312
29-8-2012;311
30-8-2012;318
31-8-2012;302
1-9-2012;310
2-9-2012;304
3-9-2012;290
4-9-2012;285
5-9-2012;286
6-9-2012;289
7-9-2012;330
8-9-2012;312
9-9-2012;311
10-9-2012;322
11-9-2012;330
12-9-2012;309
13-9-2012;312
14-9-2012;317
15-9-2012;301
16-9-2012;311
17-9-2012;328
18-9-2012;314
19-9-2012;292
20-9-2012;295
21-9-2012;295
22-9-2012;297
23-9-2012;333
24-9-2012;380
25-9-2012;352
26-9-2012;359
27-9-2012;365
28-9-2012;370
29-9-2012;358
30-9-2012;345
1-10-2012;378
2-10-2012;347
3-10-2012;352
4-10-2012;335
5-10-2012;334
6-10-2012;310
7-10-2012;317
8-10-2012;324
9-10-2012;309
10-10-2012;322
11-10-2012;409
12-10-2012;454
13-10-2012;456
14-10-2012;437
15-10-2012;418
16-10-2012;417
17-10-2012;405
18-10-2012;378
19-10-2012;386
20-10-2012;386
21-10-2012;346
22-10-2012;364
23-10-2012;423
24-10-2012;436
25-10-2012;455
26-10-2012;489
