DATUM;WAARDE
1-1-2010;509
2-1-2010;487
3-1-2010;481
4-1-2010;481
5-1-2010;479
6-1-2010;477
7-1-2010;475
8-1-2010;473
9-1-2010;471
10-1-2010;468
11-1-2010;466
12-1-2010;464
13-1-2010;462
14-1-2010;460
15-1-2010;458
16-1-2010;456
17-1-2010;454
18-1-2010;452
19-1-2010;450
20-1-2010;448
21-1-2010;445
22-1-2010;444
23-1-2010;444
24-1-2010;444
25-1-2010;444
26-1-2010;444
27-1-2010;443
28-1-2010;446
29-1-2010;446
30-1-2010;451
31-1-2010;452
1-2-2010;454
2-2-2010;455
3-2-2010;457
4-2-2010;451
5-2-2010;436
6-2-2010;440
7-2-2010;441
8-2-2010;440
9-2-2010;437
10-2-2010;434
11-2-2010;433
12-2-2010;431
13-2-2010;428
14-2-2010;428
15-2-2010;428
16-2-2010;426
17-2-2010;425
18-2-2010;429
19-2-2010;429
20-2-2010;429
21-2-2010;430
22-2-2010;433
23-2-2010;435
24-2-2010;436
25-2-2010;439
26-2-2010;440
27-2-2010;439
28-2-2010;437
1-3-2010;438
2-3-2010;442
3-3-2010;446
4-3-2010;438
5-3-2010;438
6-3-2010;438
7-3-2010;437
8-3-2010;436
9-3-2010;434
10-3-2010;436
11-3-2010;436
12-3-2010;435
13-3-2010;435
14-3-2010;435
15-3-2010;436
16-3-2010;441
17-3-2010;441
18-3-2010;440
19-3-2010;441
20-3-2010;440
21-3-2010;440
22-3-2010;440
23-3-2010;436
24-3-2010;437
25-3-2010;438
26-3-2010;442
27-3-2010;441
28-3-2010;442
29-3-2010;441
30-3-2010;443
31-3-2010;446
1-4-2010;456
2-4-2010;466
3-4-2010;476
4-4-2010;483
5-4-2010;494
6-4-2010;498
7-4-2010;501
8-4-2010;500
9-4-2010;503
10-4-2010;506
11-4-2010;511
12-4-2010;519
13-4-2010;526
14-4-2010;531
15-4-2010;534
16-4-2010;536
17-4-2010;524
18-4-2010;509
19-4-2010;495
20-4-2010;487
21-4-2010;487
22-4-2010;481
23-4-2010;480
24-4-2010;475
25-4-2010;479
26-4-2010;477
27-4-2010;472
28-4-2010;464
29-4-2010;465
30-4-2010;467
1-5-2010;466
2-5-2010;468
3-5-2010;464
4-5-2010;466
5-5-2010;467
6-5-2010;470
7-5-2010;473
8-5-2010;471
9-5-2010;468
10-5-2010;463
11-5-2010;463
12-5-2010;457
13-5-2010;456
14-5-2010;445
15-5-2010;435
16-5-2010;420
17-5-2010;419
18-5-2010;432
19-5-2010;427
20-5-2010;428
21-5-2010;429
22-5-2010;428
23-5-2010;429
24-5-2010;431
25-5-2010;443
26-5-2010;448
27-5-2010;446
28-5-2010;443
29-5-2010;429
30-5-2010;415
31-5-2010;421
1-6-2010;418
2-6-2010;421
3-6-2010;423
4-6-2010;423
5-6-2010;425
6-6-2010;425
7-6-2010;430
8-6-2010;433
9-6-2010;433
10-6-2010;435
11-6-2010;433
12-6-2010;436
13-6-2010;433
14-6-2010;434
15-6-2010;435
16-6-2010;441
17-6-2010;442
18-6-2010;444
19-6-2010;444
20-6-2010;445
21-6-2010;445
22-6-2010;446
23-6-2010;448
24-6-2010;450
25-6-2010;452
26-6-2010;454
27-6-2010;454
28-6-2010;454
29-6-2010;454
30-6-2010;451
1-7-2010;445
2-7-2010;440
3-7-2010;438
4-7-2010;437
5-7-2010;441
6-7-2010;446
7-7-2010;449
8-7-2010;452
9-7-2010;454
10-7-2010;456
11-7-2010;460
12-7-2010;462
13-7-2010;456
14-7-2010;456
15-7-2010;454
16-7-2010;453
17-7-2010;455
18-7-2010;458
19-7-2010;459
20-7-2010;459
21-7-2010;460
22-7-2010;463
23-7-2010;465
24-7-2010;468
25-7-2010;470
26-7-2010;472
27-7-2010;476
28-7-2010;479
29-7-2010;478
30-7-2010;482
31-7-2010;487
1-8-2010;488
2-8-2010;489
3-8-2010;489
4-8-2010;486
5-8-2010;485
6-8-2010;484
7-8-2010;481
8-8-2010;480
9-8-2010;479
10-8-2010;476
11-8-2010;476
12-8-2010;479
13-8-2010;478
14-8-2010;475
15-8-2010;470
16-8-2010;470
17-8-2010;469
18-8-2010;469
19-8-2010;470
20-8-2010;475
21-8-2010;477
22-8-2010;480
23-8-2010;475
24-8-2010;474
25-8-2010;480
26-8-2010;473
27-8-2010;476
28-8-2010;471
29-8-2010;438
30-8-2010;442
31-8-2010;435
1-9-2010;438
2-9-2010;443
3-9-2010;445
4-9-2010;446
5-9-2010;443
6-9-2010;444
7-9-2010;456
8-9-2010;467
9-9-2010;470
10-9-2010;462
11-9-2010;447
12-9-2010;436
13-9-2010;431
14-9-2010;425
15-9-2010;426
16-9-2010;427
17-9-2010;431
18-9-2010;434
19-9-2010;422
20-9-2010;408
21-9-2010;412
22-9-2010;415
23-9-2010;414
24-9-2010;417
25-9-2010;422
26-9-2010;419
27-9-2010;414
28-9-2010;417
29-9-2010;419
30-9-2010;417
1-10-2010;422
2-10-2010;424
3-10-2010;429
4-10-2010;431
5-10-2010;434
6-10-2010;438
7-10-2010;439
8-10-2010;443
9-10-2010;445
10-10-2010;446
11-10-2010;448
12-10-2010;451
13-10-2010;452
14-10-2010;454
15-10-2010;456
16-10-2010;463
17-10-2010;459
18-10-2010;459
19-10-2010;458
20-10-2010;456
21-10-2010;457
22-10-2010;466
23-10-2010;479
24-10-2010;480
25-10-2010;483
26-10-2010;492
27-10-2010;494
28-10-2010;493
29-10-2010;495
30-10-2010;492
31-10-2010;492
1-11-2010;493
2-11-2010;495
3-11-2010;495
4-11-2010;494
5-11-2010;491
6-11-2010;485
7-11-2010;475
8-11-2010;466
9-11-2010;470
10-11-2010;472
11-11-2010;473
12-11-2010;474
13-11-2010;466
14-11-2010;437
15-11-2010;412
16-11-2010;406
17-11-2010;415
18-11-2010;406
19-11-2010;407
20-11-2010;404
21-11-2010;406
22-11-2010;410
23-11-2010;408
24-11-2010;409
25-11-2010;409
26-11-2010;412
27-11-2010;415
28-11-2010;416
29-11-2010;419
30-11-2010;422
1-12-2010;422
2-12-2010;422
3-12-2010;422
4-12-2010;424
5-12-2010;423
6-12-2010;426
7-12-2010;431
8-12-2010;433
9-12-2010;433
10-12-2010;432
11-12-2010;450
12-12-2010;479
13-12-2010;479
14-12-2010;467
15-12-2010;486
16-12-2010;460
17-12-2010;452
18-12-2010;413
19-12-2010;410
20-12-2010;419
21-12-2010;427
22-12-2010;456
23-12-2010;475
24-12-2010;452
25-12-2010;451
26-12-2010;449
27-12-2010;431
28-12-2010;422
29-12-2010;430
30-12-2010;437
31-12-2010;430
1-1-2011;421
2-1-2011;412
3-1-2011;404
4-1-2011;403
5-1-2011;406
6-1-2011;411
7-1-2011;409
8-1-2011;411
9-1-2011;416
10-1-2011;415
11-1-2011;423
12-1-2011;424
13-1-2011;425
14-1-2011;419
15-1-2011;415
16-1-2011;390
17-1-2011;377
18-1-2011;379
19-1-2011;377
20-1-2011;370
21-1-2011;356
22-1-2011;348
23-1-2011;349
24-1-2011;355
25-1-2011;366
26-1-2011;363
27-1-2011;374
28-1-2011;379
29-1-2011;378
30-1-2011;376
31-1-2011;377
1-2-2011;377
2-2-2011;378
3-2-2011;373
4-2-2011;374
5-2-2011;373
6-2-2011;369
7-2-2011;366
8-2-2011;370
9-2-2011;369
10-2-2011;370
11-2-2011;367
12-2-2011;359
13-2-2011;349
14-2-2011;352
15-2-2011;355
16-2-2011;358
17-2-2011;364
18-2-2011;365
19-2-2011;366
20-2-2011;367
21-2-2011;367
22-2-2011;368
23-2-2011;367
24-2-2011;367
25-2-2011;370
26-2-2011;373
27-2-2011;376
28-2-2011;377
1-3-2011;381
2-3-2011;384
3-3-2011;387
4-3-2011;390
5-3-2011;393
6-3-2011;394
7-3-2011;396
8-3-2011;397
9-3-2011;400
10-3-2011;401
11-3-2011;402
12-3-2011;404
13-3-2011;404
14-3-2011;406
15-3-2011;407
16-3-2011;408
17-3-2011;409
18-3-2011;410
19-3-2011;409
20-3-2011;409
21-3-2011;410
22-3-2011;411
23-3-2011;415
24-3-2011;414
25-3-2011;418
26-3-2011;423
27-3-2011;423
28-3-2011;426
29-3-2011;431
30-3-2011;421
31-3-2011;415
1-4-2011;414
2-4-2011;412
3-4-2011;412
4-4-2011;412
5-4-2011;414
6-4-2011;414
7-4-2011;416
8-4-2011;418
9-4-2011;427
10-4-2011;430
11-4-2011;423
12-4-2011;420
13-4-2011;422
14-4-2011;422
15-4-2011;425
16-4-2011;425
17-4-2011;426
18-4-2011;428
19-4-2011;430
20-4-2011;433
21-4-2011;439
22-4-2011;442
23-4-2011;441
24-4-2011;439
25-4-2011;438
26-4-2011;444
27-4-2011;441
28-4-2011;440
29-4-2011;441
30-4-2011;440
1-5-2011;439
2-5-2011;440
3-5-2011;442
4-5-2011;445
5-5-2011;450
6-5-2011;455
7-5-2011;461
8-5-2011;464
9-5-2011;464
10-5-2011;466
11-5-2011;467
12-5-2011;471
13-5-2011;471
14-5-2011;475
15-5-2011;479
16-5-2011;488
17-5-2011;493
18-5-2011;497
19-5-2011;498
20-5-2011;499
21-5-2011;504
22-5-2011;516
23-5-2011;517
24-5-2011;519
25-5-2011;516
26-5-2011;520
27-5-2011;516
28-5-2011;521
29-5-2011;530
30-5-2011;534
31-5-2011;534
1-6-2011;536
2-6-2011;540
3-6-2011;542
4-6-2011;545
5-6-2011;550
6-6-2011;552
7-6-2011;551
8-6-2011;553
9-6-2011;555
10-6-2011;557
11-6-2011;558
12-6-2011;562
13-6-2011;563
14-6-2011;565
15-6-2011;567
16-6-2011;569
17-6-2011;570
18-6-2011;568
19-6-2011;572
20-6-2011;578
21-6-2011;580
22-6-2011;578
23-6-2011;576
24-6-2011;576
25-6-2011;580
26-6-2011;583
27-6-2011;590
28-6-2011;593
29-6-2011;589
30-6-2011;585
1-7-2011;578
2-7-2011;569
3-7-2011;570
4-7-2011;579
5-7-2011;576
6-7-2011;570
7-7-2011;565
8-7-2011;548
9-7-2011;533
10-7-2011;528
11-7-2011;524
12-7-2011;528
13-7-2011;529
14-7-2011;530
15-7-2011;528
16-7-2011;511
17-7-2011;496
18-7-2011;479
19-7-2011;489
20-7-2011;482
21-7-2011;488
22-7-2011;501
23-7-2011;493
24-7-2011;472
25-7-2011;454
26-7-2011;450
27-7-2011;419
28-7-2011;401
29-7-2011;400
30-7-2011;395
31-7-2011;395
1-8-2011;382
2-8-2011;388
3-8-2011;399
4-8-2011;403
5-8-2011;401
6-8-2011;393
7-8-2011;379
8-8-2011;376
9-8-2011;385
10-8-2011;386
11-8-2011;385
12-8-2011;390
13-8-2011;394
14-8-2011;395
15-8-2011;398
16-8-2011;399
17-8-2011;401
18-8-2011;404
19-8-2011;406
20-8-2011;405
21-8-2011;404
22-8-2011;404
23-8-2011;405
24-8-2011;407
25-8-2011;407
26-8-2011;409
27-8-2011;408
28-8-2011;410
29-8-2011;411
30-8-2011;412
31-8-2011;415
1-9-2011;418
2-9-2011;419
3-9-2011;422
4-9-2011;426
5-9-2011;432
6-9-2011;437
7-9-2011;445
8-9-2011;451
9-9-2011;457
10-9-2011;462
11-9-2011;472
12-9-2011;490
13-9-2011;493
14-9-2011;493
15-9-2011;490
16-9-2011;486
17-9-2011;486
18-9-2011;487
19-9-2011;489
20-9-2011;492
21-9-2011;498
22-9-2011;497
23-9-2011;497
24-9-2011;497
25-9-2011;501
26-9-2011;502
27-9-2011;508
28-9-2011;525
29-9-2011;527
30-9-2011;541
1-10-2011;552
2-10-2011;555
3-10-2011;572
4-10-2011;577
5-10-2011;565
6-10-2011;560
7-10-2011;545
8-10-2011;535
9-10-2011;527
10-10-2011;524
11-10-2011;526
12-10-2011;528
13-10-2011;528
14-10-2011;529
15-10-2011;531
16-10-2011;533
17-10-2011;535
18-10-2011;537
19-10-2011;537
20-10-2011;539
21-10-2011;542
22-10-2011;545
23-10-2011;548
24-10-2011;549
25-10-2011;548
26-10-2011;551
27-10-2011;554
28-10-2011;555
29-10-2011;557
30-10-2011;560
31-10-2011;564
1-11-2011;566
2-11-2011;566
3-11-2011;568
4-11-2011;571
5-11-2011;578
6-11-2011;607
7-11-2011;639
8-11-2011;654
9-11-2011;648
10-11-2011;645
11-11-2011;647
12-11-2011;639
13-11-2011;640
14-11-2011;651
15-11-2011;676
16-11-2011;680
17-11-2011;658
18-11-2011;647
19-11-2011;647
20-11-2011;662
21-11-2011;696
22-11-2011;708
23-11-2011;715
24-11-2011;712
25-11-2011;671
26-11-2011;666
27-11-2011;645
28-11-2011;641
29-11-2011;638
30-11-2011;635
1-12-2011;630
2-12-2011;627
3-12-2011;623
4-12-2011;624
5-12-2011;627
6-12-2011;631
7-12-2011;635
8-12-2011;642
9-12-2011;648
10-12-2011;652
11-12-2011;657
12-12-2011;664
13-12-2011;670
14-12-2011;672
15-12-2011;670
16-12-2011;669
17-12-2011;654
18-12-2011;640
19-12-2011;615
20-12-2011;611
21-12-2011;602
22-12-2011;597
23-12-2011;592
24-12-2011;616
25-12-2011;596
26-12-2011;606
27-12-2011;602
28-12-2011;606
29-12-2011;616
30-12-2011;641
31-12-2011;616
1-1-2012;611
2-1-2012;596
3-1-2012;596
4-1-2012;602
5-1-2012;599
6-1-2012;594
7-1-2012;559
8-1-2012;519
9-1-2012;506
10-1-2012;511
11-1-2012;502
12-1-2012;501
13-1-2012;528
14-1-2012;531
15-1-2012;523
16-1-2012;523
17-1-2012;514
18-1-2012;517
19-1-2012;523
20-1-2012;542
21-1-2012;522
22-1-2012;516
23-1-2012;497
24-1-2012;515
25-1-2012;504
26-1-2012;504
27-1-2012;506
28-1-2012;508
29-1-2012;508
30-1-2012;508
31-1-2012;507
1-2-2012;504
2-2-2012;499
3-2-2012;499
4-2-2012;499
5-2-2012;499
6-2-2012;499
7-2-2012;499
8-2-2012;500
9-2-2012;500
10-2-2012;500
11-2-2012;500
12-2-2012;500
13-2-2012;500
14-2-2012;500
15-2-2012;500
16-2-2012;500
17-2-2012;500
18-2-2012;500
19-2-2012;500
20-2-2012;500
21-2-2012;500
22-2-2012;500
23-2-2012;500
24-2-2012;500
25-2-2012;500
26-2-2012;500
27-2-2012;501
28-2-2012;501
29-2-2012;501
1-3-2012;501
2-3-2012;501
3-3-2012;501
4-3-2012;501
5-3-2012;501
6-3-2012;501
7-3-2012;501
8-3-2012;501
9-3-2012;501
10-3-2012;501
11-3-2012;501
12-3-2012;501
13-3-2012;501
14-3-2012;501
15-3-2012;501
16-3-2012;501
17-3-2012;502
18-3-2012;502
19-3-2012;502
20-3-2012;502
21-3-2012;502
22-3-2012;502
23-3-2012;502
24-3-2012;502
25-3-2012;502
26-3-2012;502
27-3-2012;496
28-3-2012;492
29-3-2012;491
30-3-2012;496
31-3-2012;487
1-4-2012;475
2-4-2012;464
3-4-2012;458
4-4-2012;448
5-4-2012;450
6-4-2012;446
7-4-2012;452
8-4-2012;430
9-4-2012;420
10-4-2012;420
11-4-2012;424
12-4-2012;425
13-4-2012;435
14-4-2012;442
15-4-2012;440
