DATUM;WAARDE
1-1-2010;100
2-1-2010;100
3-1-2010;100
4-1-2010;100
5-1-2010;100
6-1-2010;100
7-1-2010;100
8-1-2010;100
9-1-2010;100
10-1-2010;100
11-1-2010;100
12-1-2010;100
13-1-2010;100
14-1-2010;100
15-1-2010;100
16-1-2010;100
17-1-2010;100
18-1-2010;100
19-1-2010;100
20-1-2010;100
21-1-2010;100
22-1-2010;100
23-1-2010;100
24-1-2010;100
25-1-2010;100
26-1-2010;100
27-1-2010;100
28-1-2010;100
29-1-2010;100
30-1-2010;100
31-1-2010;100
1-2-2010;100
2-2-2010;100
3-2-2010;100
4-2-2010;100
5-2-2010;100
6-2-2010;100
7-2-2010;100
8-2-2010;100
9-2-2010;100
10-2-2010;100
11-2-2010;100
12-2-2010;100
13-2-2010;100
14-2-2010;100
15-2-2010;100
16-2-2010;100
17-2-2010;100
18-2-2010;100
19-2-2010;100
20-2-2010;100
21-2-2010;100
22-2-2010;100
23-2-2010;100
24-2-2010;100
25-2-2010;100
26-2-2010;100
27-2-2010;100
28-2-2010;100
1-3-2010;100
2-3-2010;100
3-3-2010;100
4-3-2010;100
5-3-2010;100
6-3-2010;100
7-3-2010;100
8-3-2010;100
9-3-2010;100
10-3-2010;100
11-3-2010;100
12-3-2010;100
13-3-2010;100
14-3-2010;100
15-3-2010;100
16-3-2010;100
17-3-2010;100
18-3-2010;100
19-3-2010;100
20-3-2010;100
21-3-2010;100
22-3-2010;100
23-3-2010;100
24-3-2010;100
25-3-2010;100
26-3-2010;100
27-3-2010;100
28-3-2010;100
29-3-2010;100
30-3-2010;100
31-3-2010;100
1-4-2010;195
2-4-2010;195
3-4-2010;195
4-4-2010;195
5-4-2010;195
6-4-2010;195
7-4-2010;195
8-4-2010;195
9-4-2010;195
10-4-2010;195
11-4-2010;195
12-4-2010;195
13-4-2010;195
14-4-2010;195
15-4-2010;195
16-4-2010;195
17-4-2010;195
18-4-2010;195
19-4-2010;195
20-4-2010;195
21-4-2010;195
22-4-2010;195
23-4-2010;195
24-4-2010;195
25-4-2010;195
26-4-2010;195
27-4-2010;195
28-4-2010;195
29-4-2010;195
30-4-2010;195
1-5-2010;195
2-5-2010;195
3-5-2010;195
4-5-2010;195
5-5-2010;195
6-5-2010;195
7-5-2010;195
8-5-2010;195
9-5-2010;195
10-5-2010;195
11-5-2010;195
12-5-2010;195
13-5-2010;195
14-5-2010;195
15-5-2010;195
16-5-2010;195
17-5-2010;195
18-5-2010;195
19-5-2010;195
20-5-2010;195
21-5-2010;195
22-5-2010;195
23-5-2010;195
24-5-2010;195
25-5-2010;195
26-5-2010;195
27-5-2010;195
28-5-2010;195
29-5-2010;195
30-5-2010;195
31-5-2010;195
1-6-2010;195
2-6-2010;195
3-6-2010;195
4-6-2010;195
5-6-2010;195
6-6-2010;195
7-6-2010;195
8-6-2010;195
9-6-2010;195
10-6-2010;195
11-6-2010;195
12-6-2010;195
13-6-2010;195
14-6-2010;195
15-6-2010;195
16-6-2010;195
17-6-2010;195
18-6-2010;195
19-6-2010;195
20-6-2010;195
21-6-2010;195
22-6-2010;195
23-6-2010;195
24-6-2010;195
25-6-2010;195
26-6-2010;195
27-6-2010;195
28-6-2010;195
29-6-2010;195
30-6-2010;195
1-7-2010;195
2-7-2010;195
3-7-2010;195
4-7-2010;195
5-7-2010;195
6-7-2010;195
7-7-2010;195
8-7-2010;195
9-7-2010;195
10-7-2010;195
11-7-2010;195
12-7-2010;195
13-7-2010;195
14-7-2010;195
