DATUM;WAARDE
1-1-2010;326.227211
2-1-2010;327.1301865
3-1-2010;328.7064806
4-1-2010;329.4951093
5-1-2010;327.1770626
6-1-2010;328.6247639
7-1-2010;329.3366377
8-1-2010;328.8555474
9-1-2010;327.1750824
10-1-2010;329.3756655
11-1-2010;331.0231261
12-1-2010;331.3473953
13-1-2010;331.9760698
14-1-2010;332.1227528
15-1-2010;331.625915
16-1-2010;331.8324392
17-1-2010;331.1495192
18-1-2010;327.1448182
19-1-2010;322.9741098
20-1-2010;322.5904211
21-1-2010;322.9990638
22-1-2010;321.9966576
23-1-2010;323.3099386
24-1-2010;324.347894
25-1-2010;325.4661321
26-1-2010;325.2281214
27-1-2010;324.7242772
28-1-2010;323.8847146
29-1-2010;322.7659837
30-1-2010;320.4948496
31-1-2010;319.4950257
1-2-2010;318.7694354
2-2-2010;317.3689771
3-2-2010;308.8196982
4-2-2010;301.2066879
5-2-2010;300.4760089
6-2-2010;301.9461711
7-2-2010;301.243014
8-2-2010;302.483985
9-2-2010;302.9156852
10-2-2010;303.0673416
11-2-2010;303.3836125
12-2-2010;304.9544474
13-2-2010;306.6937947
14-2-2010;308.6708271
15-2-2010;309.9949953
16-2-2010;310.6536828
17-2-2010;311.9166953
18-2-2010;312.574588
19-2-2010;311.9097028
20-2-2010;311.1839048
21-2-2010;312.9101284
22-2-2010;312.949284
23-2-2010;311.019757
24-2-2010;311.0390237
25-2-2010;308.763148
26-2-2010;304.7888966
27-2-2010;302.6610603
28-2-2010;301.4462317
1-3-2010;295.0377401
2-3-2010;288.4196865
3-3-2010;288.2548141
4-3-2010;289.5579498
5-3-2010;287.8768555
6-3-2010;287.9622231
7-3-2010;289.4651798
8-3-2010;289.1275474
9-3-2010;290.1988322
10-3-2010;290.2470768
11-3-2010;291.3591089
12-3-2010;291.1462746
13-3-2010;292.7722156
14-3-2010;292.6558761
15-3-2010;293.9197278
16-3-2010;293.5236952
17-3-2010;292.9845838
18-3-2010;294.8037988
19-3-2010;295.1124481
20-3-2010;294.094249
21-3-2010;293.8133005
22-3-2010;291.2112815
23-3-2010;290.6090241
24-3-2010;291.1261306
25-3-2010;288.5735306
26-3-2010;288.0041064
27-3-2010;287.8196952
28-3-2010;289.4645246
29-3-2010;290.3676381
30-3-2010;289.6380607
31-3-2010;287.9477077
1-4-2010;288.5250674
2-4-2010;287.5649228
3-4-2010;287.0273781
4-4-2010;285.9055927
5-4-2010;284.1541811
6-4-2010;283.2505529
7-4-2010;281.8389942
8-4-2010;278.6612726
9-4-2010;274.4731503
10-4-2010;270.6374817
11-4-2010;266.202373
12-4-2010;263.2605564
13-4-2010;258.9918902
14-4-2010;255.1981631
15-4-2010;251.3092628
16-4-2010;246.8945911
17-4-2010;243.4207218
18-4-2010;240.183074
19-4-2010;236.7336679
20-4-2010;234.9872959
21-4-2010;235.940995
22-4-2010;234.7365924
23-4-2010;233.3239762
24-4-2010;233.9154942
25-4-2010;232.0342479
26-4-2010;227.0871732
27-4-2010;224.8975724
28-4-2010;220.8255551
29-4-2010;217.1198708
30-4-2010;214.6452187
1-5-2010;211.0414921
2-5-2010;207.4021526
3-5-2010;208.0789938
4-5-2010;206.3106788
5-5-2010;204.3127065
6-5-2010;201.8909673
7-5-2010;199.111073
8-5-2010;196.7249291
9-5-2010;194.3766121
10-5-2010;191.754332
11-5-2010;189.1264339
12-5-2010;187.9319948
13-5-2010;186.0121358
14-5-2010;183.352449
15-5-2010;183.5614371
16-5-2010;182.2444902
17-5-2010;182.5343362
18-5-2010;183.6244972
19-5-2010;184.894682
20-5-2010;186.2205468
21-5-2010;187.4444878
22-5-2010;188.9518187
23-5-2010;190.6197826
24-5-2010;191.8758404
25-5-2010;192.8576125
26-5-2010;193.9478187
27-5-2010;192.5337112
28-5-2010;189.4651166
29-5-2010;186.5481049
30-5-2010;186.3490782
31-5-2010;186.9726455
1-6-2010;187.6604625
2-6-2010;189.0232202
3-6-2010;189.7061444
4-6-2010;191.5135935
5-6-2010;193.1496637
6-6-2010;194.748074
7-6-2010;195.8846786
8-6-2010;196.7401062
9-6-2010;197.5084661
10-6-2010;196.4968238
11-6-2010;196.8109956
12-6-2010;196.3720525
13-6-2010;198.4598812
14-6-2010;199.99614
15-6-2010;201.5253228
