DATUM;WAARDE
1-1-2010;3309120
2-1-2010;2021760
3-1-2010;1563840
4-1-2010;1010880
5-1-2010;1192320
6-1-2010;1054080
7-1-2010;829440
8-1-2010;993600
9-1-2010;1235520
10-1-2010;967680
11-1-2010;751680
12-1-2010;846720
13-1-2010;846720
14-1-2010;682560
15-1-2010;794880
16-1-2010;1287360
17-1-2010;3421440
18-1-2010;3248640
19-1-2010;2358720
20-1-2010;1909440
21-1-2010;1339200
22-1-2010;1183680
23-1-2010;1028160
24-1-2010;1667520
25-1-2010;1607040
26-1-2010;1252800
27-1-2010;881280
28-1-2010;1416960
29-1-2010;2056320
30-1-2010;2799360
31-1-2010;2047680
1-2-2010;1831680
2-2-2010;2695680
3-2-2010;6428160
4-2-2010;4501440
5-2-2010;2661120
6-2-2010;1961280
7-2-2010;1667520
8-2-2010;1460160
9-2-2010;1183680
10-2-2010;1235520
11-2-2010;959040
12-2-2010;1019520
13-2-2010;846720
14-2-2010;829440
15-2-2010;708480
16-2-2010;743040
17-2-2010;760320
18-2-2010;760320
19-2-2010;915840
20-2-2010;1149120
21-2-2010;898560
22-2-2010;1192320
23-2-2010;2756160
24-2-2010;1935360
25-2-2010;2289600
26-2-2010;2799360
27-2-2010;2661120
28-2-2010;2928960
1-3-2010;6635520
2-3-2010;3965760
3-3-2010;2350080
4-3-2010;1589760
5-3-2010;1304640
6-3-2010;2211840
7-3-2010;1468800
8-3-2010;1296000
9-3-2010;1114560
10-3-2010;1088640
11-3-2010;915840
12-3-2010;1062720
13-3-2010;907200
14-3-2010;1045440
15-3-2010;993600
16-3-2010;1071360
17-3-2010;984960
18-3-2010;734400
19-3-2010;734400
20-3-2010;959040
21-3-2010;3663360
22-3-2010;2617920
23-3-2010;1684800
24-3-2010;1200960
25-3-2010;1071360
26-3-2010;1088640
27-3-2010;1002240
28-3-2010;1028160
29-3-2010;1183680
30-3-2010;1321920
31-3-2010;1425600
1-4-2010;1874880
2-4-2010;1339200
3-4-2010;1486080
4-4-2010;2583360
5-4-2010;1909440
6-4-2010;1192320
7-4-2010;1019520
8-4-2010;1080000
9-4-2010;941760
10-4-2010;829440
11-4-2010;691200
12-4-2010;535680
13-4-2010;449280
14-4-2010;449280
15-4-2010;561600
16-4-2010;527040
17-4-2010;388800
18-4-2010;397440
19-4-2010;380160
20-4-2010;457920
21-4-2010;302400
22-4-2010;129600
23-4-2010;276480
24-4-2010;164160
25-4-2010;328320
26-4-2010;267840
27-4-2010;77760
28-4-2010;129600
29-4-2010;138240
30-4-2010;552960
1-5-2010;466560
2-5-2010;915840
3-5-2010;1010880
4-5-2010;578880
5-5-2010;518400
6-5-2010;492480
7-5-2010;501120
8-5-2010;457920
9-5-2010;388800
10-5-2010;285120
11-5-2010;414720
12-5-2010;596160
13-5-2010;509760
14-5-2010;345600
15-5-2010;414720
16-5-2010;362880
17-5-2010;388800
18-5-2010;302400
19-5-2010;250560
20-5-2010;241920
21-5-2010;181440
22-5-2010;336960
23-5-2010;267840
24-5-2010;233280
25-5-2010;406080
26-5-2010;397440
27-5-2010;414720
28-5-2010;570240
29-5-2010;380160
30-5-2010;829440
31-5-2010;976320
1-6-2010;561600
2-6-2010;501120
3-6-2010;466560
4-6-2010;336960
5-6-2010;345600
6-6-2010;276480
7-6-2010;440640
8-6-2010;241920
9-6-2010;604800
10-6-2010;578880
11-6-2010;639360
12-6-2010;743040
13-6-2010;682560
14-6-2010;432000
15-6-2010;371520
16-6-2010;276480
17-6-2010;216000
18-6-2010;250560
19-6-2010;501120
20-6-2010;587520
21-6-2010;371520
22-6-2010;207360
23-6-2010;172800
24-6-2010;250560
25-6-2010;25920
26-6-2010;17280
27-6-2010;8640
28-6-2010;0
29-6-2010;8640
30-6-2010;25920
1-7-2010;0
2-7-2010;0
3-7-2010;34560
4-7-2010;17280
5-7-2010;17280
6-7-2010;155520
7-7-2010;224640
8-7-2010;181440
9-7-2010;138240
10-7-2010;172800
11-7-2010;345600
