DATUM;WAARDE
1-1-2010;5696828.4
2-1-2010;2144741.4
3-1-2010;0
4-1-2010;0
5-1-2010;2122107
6-1-2010;1301515.2
7-1-2010;0
8-1-2010;1067109
9-1-2010;3192785.4
10-1-2010;957651.6
11-1-2010;0
12-1-2010;0
13-1-2010;0
14-1-2010;0
15-1-2010;778992
16-1-2010;2082785.4
17-1-2010;1867642.2
18-1-2010;3590133.6
19-1-2010;4673553.6
20-1-2010;2885650.8
21-1-2010;548768.4
22-1-2010;1120051.2
23-1-2010;76099.8
24-1-2010;1728090
25-1-2010;930900
26-1-2010;1978713.6
27-1-2010;1835831.4
28-1-2010;2167063.2
29-1-2010;3009574.8
30-1-2010;2970378.6
31-1-2010;2926831.8
1-2-2010;2417727.6
2-2-2010;2182632
3-2-2010;6639613.2
4-2-2010;9841693.8
5-2-2010;5041918.2
6-2-2010;823129.2
7-2-2010;1999820.4
8-2-2010;964182.6
9-2-2010;915282.6
10-2-2010;1794685.2
11-2-2010;1914598.2
12-2-2010;965866.8
13-2-2010;0
14-2-2010;0
15-2-2010;0
16-2-2010;0
17-2-2010;0
18-2-2010;0
19-2-2010;1089912
20-2-2010;2471318.4
21-2-2010;1584277.8
22-2-2010;1657254.6
23-2-2010;3348198.6
24-2-2010;1698660
25-2-2010;1928193.6
26-2-2010;4482733.8
27-2-2010;5045320.2
28-2-2010;4505631.6
1-3-2010;4777225.8
2-3-2010;6740308.8
3-3-2010;4341244.8
4-3-2010;1208878.8
5-3-2010;2180549.4
6-3-2010;1723380.6
7-3-2010;954801.6
8-3-2010;1932179.4
9-3-2010;1057107.6
10-3-2010;1059534.6
11-3-2010;1102230
12-3-2010;1900643.4
13-3-2010;0
14-3-2010;1565061
15-3-2010;954079.2
16-3-2010;692754
17-3-2010;1810384.2
18-3-2010;287388.6
19-3-2010;419028.6
20-3-2010;1516512
21-3-2010;1622110.8
22-3-2010;2795309.4
23-3-2010;2547365.4
24-3-2010;1844088.6
25-3-2010;2669517.6
26-3-2010;3441562.8
27-3-2010;1580556.6
28-3-2010;832708.2
29-3-2010;873758.4
30-3-2010;689386.8
31-3-2010;2084660.4
1-4-2010;1156752.6
2-4-2010;823276.2
3-4-2010;2205463.2
4-4-2010;2625049.2
5-4-2010;2463748.8
6-4-2010;814959.6
7-4-2010;823980
8-4-2010;2865643.2
9-4-2010;3925153.2
10-4-2010;3973371
11-4-2010;4007694
12-4-2010;3046662.6
13-4-2010;2732131.8
14-4-2010;2858295
15-4-2010;3233763.6
16-4-2010;5344476.6
17-4-2010;4039786.2
18-4-2010;3141598.8
19-4-2010;3558226.8
20-4-2010;2769777
21-4-2010;760102.2
22-4-2010;1956870.6
23-4-2010;2876954.4
24-4-2010;996460.2
25-4-2010;2594295
26-4-2010;5393522.4
27-4-2010;2830205.4
28-4-2010;3525659.842
29-4-2010;3390102.6
30-4-2010;3130231.8
1-5-2010;4472682
2-5-2010;4946633.4
3-5-2010;2540207.4
4-5-2010;2874040.2
5-5-2010;3637575.6
6-5-2010;3519982.8
7-5-2010;3724555.8
8-5-2010;3476044.2
9-5-2010;3630906.6
10-5-2010;3579973.2
11-5-2010;3676615.8
12-5-2010;2567719.183
13-5-2010;2607772.8
14-5-2010;3526108.2
15-5-2010;955272.6
16-5-2010;2987706.6
17-5-2010;681807
18-5-2010;0
19-5-2010;0
20-5-2010;0
21-5-2010;0
22-5-2010;0
23-5-2010;0
24-5-2010;0
25-5-2010;0
26-5-2010;0
27-5-2010;1697268
28-5-2010;3320039.4
29-5-2010;2812974.6
30-5-2010;2326816.8
31-5-2010;1413000
1-6-2010;546366
2-6-2010;0
3-6-2010;836207.4
4-6-2010;0
5-6-2010;0
6-6-2010;0
7-6-2010;0
8-6-2010;0
9-6-2010;0
10-6-2010;1780014
11-6-2010;1667294.4
12-6-2010;1607971.8
13-6-2010;56217
14-6-2010;0
15-6-2010;0
16-6-2010;1270707.6
17-6-2010;1708431.6
18-6-2010;1600437
19-6-2010;1436144.4
20-6-2010;1521281.4
21-6-2010;1846722
22-6-2010;1903296.6
23-6-2010;1857090
24-6-2010;1789812.6
25-6-2010;1781446.2
26-6-2010;1727592.6
27-6-2010;852367.2
28-6-2010;1688616
29-6-2010;1659064.8
30-6-2010;2810979.29
1-7-2010;3462589.8
2-7-2010;2348752.8
3-7-2010;1624527.6
4-7-2010;1669342.8
5-7-2010;922302
6-7-2010;861001.8
7-7-2010;997997.4
8-7-2010;0
9-7-2010;0
10-7-2010;0
11-7-2010;0
12-7-2010;674523.6
13-7-2010;1551067.8
14-7-2010;1840465.2
15-7-2010;2124256.8
16-7-2010;1769062.8
17-7-2010;1599903.6
18-7-2010;1687669.2
19-7-2010;1778700.6
20-7-2010;1778269.8
21-7-2010;1705800
22-7-2010;1694806.2
23-7-2010;877600.8
24-7-2010;2584400.4
25-7-2010;1580254.8
26-7-2010;781298.4
27-7-2010;828583.8
28-7-2010;1578958.2
29-7-2010;1551574.2
30-7-2010;1580655
31-7-2010;1599888.6
1-8-2010;1584181.2
2-8-2010;1618092
3-8-2010;1660540.2
4-8-2010;1553763.6
5-8-2010;1566274.2
6-8-2010;1771369.8
7-8-2010;1717699.8
8-8-2010;1670528.4
9-8-2010;1738905
10-8-2010;876403.2
11-8-2010;1386074.4
12-8-2010;1825167.978
13-8-2010;1513474.8
14-8-2010;2174449.2
15-8-2010;4076368.2
16-8-2010;4968892.2
17-8-2010;2165408.4
18-8-2010;1556859
19-8-2010;2443380
20-8-2010;1792673.4
21-8-2010;825066.6
22-8-2010;1626673.2
23-8-2010;2251558.2
24-8-2010;2570632.2
25-8-2010;1462873.8
26-8-2010;3933476.61
27-8-2010;2430764.4
28-8-2010;3682647.6
29-8-2010;3087667.2
30-8-2010;2155639.2
