DATUM;WAARDE
1-1-2010;578880
2-1-2010;475200
3-1-2010;596160
4-1-2010;751680
5-1-2010;812160
6-1-2010;803520
7-1-2010;855360
8-1-2010;777600
9-1-2010;743040
10-1-2010;717120
11-1-2010;743040
12-1-2010;768960
13-1-2010;743040
14-1-2010;855360
15-1-2010;751680
16-1-2010;725760
17-1-2010;673920
18-1-2010;751680
19-1-2010;751680
20-1-2010;794880
21-1-2010;587520
22-1-2010;440640
23-1-2010;440640
24-1-2010;388800
25-1-2010;440640
26-1-2010;457920
27-1-2010;570240
28-1-2010;760320
29-1-2010;846720
30-1-2010;751680
31-1-2010;691200
1-2-2010;751680
2-2-2010;786240
3-2-2010;803520
4-2-2010;794880
5-2-2010;751680
6-2-2010;665280
7-2-2010;648000
8-2-2010;743040
9-2-2010;777600
10-2-2010;803520
11-2-2010;665280
12-2-2010;794880
13-2-2010;768960
14-2-2010;691200
15-2-2010;665280
16-2-2010;881280
17-2-2010;725760
18-2-2010;855360
19-2-2010;864000
20-2-2010;829440
21-2-2010;717120
22-2-2010;768960
23-2-2010;768960
24-2-2010;803520
25-2-2010;708480
26-2-2010;760320
27-2-2010;596160
28-2-2010;673920
1-3-2010;682560
2-3-2010;760320
3-3-2010;751680
4-3-2010;777600
5-3-2010;855360
6-3-2010;725760
7-3-2010;622080
8-3-2010;855360
9-3-2010;648000
10-3-2010;881280
11-3-2010;777600
12-3-2010;846720
13-3-2010;846720
14-3-2010;665280
15-3-2010;820800
16-3-2010;794880
17-3-2010;717120
18-3-2010;872640
19-3-2010;794880
20-3-2010;777600
21-3-2010;725760
22-3-2010;751680
23-3-2010;881280
24-3-2010;725760
25-3-2010;803520
26-3-2010;794880
27-3-2010;794880
28-3-2010;665280
29-3-2010;734400
30-3-2010;794880
31-3-2010;812160
1-4-2010;794880
2-4-2010;820800
3-4-2010;768960
4-4-2010;786240
5-4-2010;760320
6-4-2010;743040
7-4-2010;889920
8-4-2010;630720
9-4-2010;864000
10-4-2010;959040
11-4-2010;838080
12-4-2010;587520
13-4-2010;466560
14-4-2010;492480
15-4-2010;449280
16-4-2010;432000
17-4-2010;518400
18-4-2010;552960
19-4-2010;475200
20-4-2010;509760
21-4-2010;501120
22-4-2010;440640
23-4-2010;639360
24-4-2010;959040
25-4-2010;881280
26-4-2010;751680
27-4-2010;768960
28-4-2010;838080
29-4-2010;976320
30-4-2010;803520
1-5-2010;820800
2-5-2010;864000
3-5-2010;864000
4-5-2010;950400
5-5-2010;855360
6-5-2010;794880
7-5-2010;933120
8-5-2010;838080
9-5-2010;648000
10-5-2010;760320
11-5-2010;907200
12-5-2010;855360
13-5-2010;838080
14-5-2010;725760
15-5-2010;855360
16-5-2010;734400
17-5-2010;864000
18-5-2010;924480
19-5-2010;915840
20-5-2010;872640
21-5-2010;881280
22-5-2010;803520
23-5-2010;838080
24-5-2010;898560
25-5-2010;829440
26-5-2010;864000
27-5-2010;915840
28-5-2010;872640
29-5-2010;889920
30-5-2010;743040
31-5-2010;544320
1-6-2010;648000
2-6-2010;682560
3-6-2010;743040
4-6-2010;829440
5-6-2010;881280
6-6-2010;829440
7-6-2010;639360
8-6-2010;691200
9-6-2010;622080
10-6-2010;699840
11-6-2010;838080
12-6-2010;777600
13-6-2010;786240
14-6-2010;708480
15-6-2010;760320
16-6-2010;846720
17-6-2010;829440
18-6-2010;872640
19-6-2010;768960
20-6-2010;717120
21-6-2010;924480
22-6-2010;924480
23-6-2010;794880
24-6-2010;872640
25-6-2010;959040
26-6-2010;829440
27-6-2010;803520
28-6-2010;855360
29-6-2010;898560
30-6-2010;829440
1-7-2010;898560
2-7-2010;959040
3-7-2010;915840
4-7-2010;872640
5-7-2010;872640
6-7-2010;743040
7-7-2010;794880
8-7-2010;915840
9-7-2010;915840
10-7-2010;898560
11-7-2010;786240
12-7-2010;786240
13-7-2010;881280
14-7-2010;881280
15-7-2010;881280
16-7-2010;959040
17-7-2010;864000
18-7-2010;812160
19-7-2010;907200
20-7-2010;864000
21-7-2010;872640
22-7-2010;950400
23-7-2010;838080
24-7-2010;812160
25-7-2010;760320
26-7-2010;734400
27-7-2010;820800
28-7-2010;829440
29-7-2010;846720
30-7-2010;1002240
31-7-2010;786240
1-8-2010;768960
2-8-2010;777600
3-8-2010;838080
4-8-2010;915840
5-8-2010;846720
6-8-2010;889920
7-8-2010;820800
8-8-2010;777600
9-8-2010;872640
10-8-2010;777600
