DATUM;WAARDE
1-1-2010;0.065383707
2-1-2010;0.063
3-1-2010;0.114
4-1-2010;0.137
5-1-2010;0.131
6-1-2010;0.125
7-1-2010;0.134
8-1-2010;0.124
9-1-2010;0.111
10-1-2010;0.101
11-1-2010;0.102
12-1-2010;0.104
13-1-2010;0.136
14-1-2010;0.135
15-1-2010;0.126
16-1-2010;0.128
17-1-2010;0.169
18-1-2010;0.163
19-1-2010;0.125
20-1-2010;0.104
21-1-2010;0.112
22-1-2010;0.11
23-1-2010;0.125
24-1-2010;0.141
25-1-2010;0.192
26-1-2010;0.213
27-1-2010;0.199
28-1-2010;0.195
29-1-2010;0.191
30-1-2010;0.203
31-1-2010;0.195
1-2-2010;0.186
2-2-2010;0.202
3-2-2010;0.226
4-2-2010;0.148
5-2-2010;0.126
6-2-2010;0.162
7-2-2010;0.178
8-2-2010;0.21
9-2-2010;0.236
10-2-2010;0.251
11-2-2010;0.262
12-2-2010;0.286
13-2-2010;0.322
14-2-2010;0.357
15-2-2010;0.381
16-2-2010;0.383
17-2-2010;0.421
18-2-2010;0.425
19-2-2010;0.417
20-2-2010;0.388
21-2-2010;0.373
22-2-2010;0.377
23-2-2010;0.394
24-2-2010;0.416
25-2-2010;0.438
26-2-2010;0.421
27-2-2010;0.389
28-2-2010;0.382
1-3-2010;0.451
2-3-2010;0.411
3-3-2010;0.406
4-3-2010;0.439
5-3-2010;0.417
6-3-2010;0.457
7-3-2010;0.495
8-3-2010;0.507
9-3-2010;0.531
10-3-2010;0.552
11-3-2010;0.571
12-3-2010;0.578
13-3-2010;0.608
14-3-2010;0.616
15-3-2010;0.604
16-3-2010;0.623
17-3-2010;0.627
18-3-2010;0.652
19-3-2010;0.654
20-3-2010;0.664
21-3-2010;0.727
22-3-2010;0.723
23-3-2010;0.724
24-3-2010;0.723
25-3-2010;0.701
26-3-2010;0.659
27-3-2010;0.645
28-3-2010;0.643
29-3-2010;0.657
30-3-2010;0.66
31-3-2010;0.643
1-4-2010;0.661
2-4-2010;0.659
3-4-2010;0.659
4-4-2010;0.683
5-4-2010;0.695
6-4-2010;0.699
7-4-2010;0.699
8-4-2010;0.693
9-4-2010;0.667
10-4-2010;0.658
11-4-2010;0.66
12-4-2010;0.676
13-4-2010;0.696
14-4-2010;0.712
15-4-2010;0.681
16-4-2010;0.655
17-4-2010;0.665
18-4-2010;0.684
19-4-2010;0.682
20-4-2010;0.677
21-4-2010;0.68
22-4-2010;0.671
23-4-2010;0.644
24-4-2010;0.636
25-4-2010;0.632
26-4-2010;0.628
27-4-2010;0.654
28-4-2010;0.657
29-4-2010;0.65
30-4-2010;0.643
1-5-2010;0.619
2-5-2010;0.585
3-5-2010;0.585
4-5-2010;0.576
5-5-2010;0.564
6-5-2010;0.552
7-5-2010;0.542
8-5-2010;0.544
9-5-2010;0.544
10-5-2010;0.53
11-5-2010;0.504
12-5-2010;0.521
13-5-2010;0.525
14-5-2010;0.528
15-5-2010;0.536
16-5-2010;0.547
17-5-2010;0.556
18-5-2010;0.551
19-5-2010;0.542
