DATUM;WAARDE
1-1-2010;0.5
2-1-2010;0.3
3-1-2010;0.5
4-1-2010;0.2
5-1-2010;0.3
6-1-2010;0.3
7-1-2010;0.4
8-1-2010;0.4
9-1-2010;0.2
10-1-2010;0.2
11-1-2010;0.1
12-1-2010;0.1
13-1-2010;0.2
14-1-2010;0.2
15-1-2010;0.1
16-1-2010;0.1
17-1-2010;0.6
18-1-2010;0.2
19-1-2010;0.2
20-1-2010;0.4
21-1-2010;0.2
22-1-2010;0.5
23-1-2010;0.1
24-1-2010;0.1
25-1-2010;0.1
26-1-2010;0.5
27-1-2010;0.2
28-1-2010;0.3
29-1-2010;0.2
30-1-2010;0.7
31-1-2010;0.6
1-2-2010;0.3
2-2-2010;0.1
3-2-2010;0.6
4-2-2010;0.2
5-2-2010;0.3
6-2-2010;0.5
7-2-2010;0.1
8-2-2010;0.2
9-2-2010;0.6
10-2-2010;0.8
11-2-2010;0.7
12-2-2010;0.9
13-2-2010;0.4
14-2-2010;0.3
15-2-2010;0.5
16-2-2010;0.8
17-2-2010;0.5
18-2-2010;0.4
19-2-2010;0.2
20-2-2010;1.1
21-2-2010;0.5
22-2-2010;0.2
23-2-2010;0.3
24-2-2010;0.7
25-2-2010;0.5
26-2-2010;0.7
27-2-2010;0.6
28-2-2010;0.2
1-3-2010;1.5
2-3-2010;1.5
3-3-2010;1.1
4-3-2010;1.5
5-3-2010;1
6-3-2010;1.4
7-3-2010;1.5
8-3-2010;0.5
9-3-2010;1.6
10-3-2010;1.7
11-3-2010;0.9
12-3-2010;0.7
13-3-2010;0.9
14-3-2010;0.9
15-3-2010;1.8
16-3-2010;1.9
17-3-2010;1.6
18-3-2010;1.7
19-3-2010;0.5
20-3-2010;0.8
21-3-2010;1.3
22-3-2010;1.5
23-3-2010;1.5
24-3-2010;1.8
25-3-2010;1.7
26-3-2010;1.1
27-3-2010;2
28-3-2010;1.5
29-3-2010;1
30-3-2010;0.8
31-3-2010;1.1
1-4-2010;2.1
2-4-2010;1.9
3-4-2010;1.5
4-4-2010;1.4
5-4-2010;1.2
6-4-2010;3
7-4-2010;2
8-4-2010;2.5
9-4-2010;2.9
10-4-2010;2.6
11-4-2010;1.5
12-4-2010;2.9
13-4-2010;2.8
14-4-2010;2.8
15-4-2010;3.1
16-4-2010;2.2
17-4-2010;3.2
18-4-2010;3.1
19-4-2010;3
20-4-2010;3.2
21-4-2010;2.9
22-4-2010;2.6
23-4-2010;3.4
24-4-2010;3.6
25-4-2010;2.6
26-4-2010;2.7
27-4-2010;3.7
28-4-2010;3.6
29-4-2010;3.3
30-4-2010;2.4
1-5-2010;1.9
2-5-2010;0.6
3-5-2010;1.1
4-5-2010;3
5-5-2010;2.2
6-5-2010;3.3
7-5-2010;1.9
8-5-2010;0.5
9-5-2010;1.7
10-5-2010;3.2
11-5-2010;1.4
12-5-2010;0.8
13-5-2010;1.8
14-5-2010;3.7
15-5-2010;2.9
16-5-2010;3
17-5-2010;4.1
18-5-2010;3.8
19-5-2010;4.1
20-5-2010;3.9
21-5-2010;4.2
22-5-2010;4.4
23-5-2010;4.8
24-5-2010;4.7
25-5-2010;3.1
26-5-2010;0.9
27-5-2010;1.7
28-5-2010;4.6
29-5-2010;2.6
30-5-2010;1.9
31-5-2010;1.4
1-6-2010;2.1
2-6-2010;4.6
3-6-2010;5.1
4-6-2010;5.1
5-6-2010;4.9
6-6-2010;1.4
7-6-2010;3.7
8-6-2010;2.8
9-6-2010;1.7
10-6-2010;1.1
11-6-2010;1.3
12-6-2010;4.4
13-6-2010;3
14-6-2010;3.6
15-6-2010;4.5
16-6-2010;4.7
17-6-2010;4.6
18-6-2010;1.5
19-6-2010;3.4
20-6-2010;1.7
21-6-2010;3.5
22-6-2010;4.5
23-6-2010;5.2
24-6-2010;5
25-6-2010;4.5
26-6-2010;5.3
27-6-2010;5.4
28-6-2010;5.3
29-6-2010;4.3
30-6-2010;4.7
1-7-2010;4.7
2-7-2010;4.9
3-7-2010;2.1
4-7-2010;5.2
5-7-2010;4.2
6-7-2010;4.3
7-7-2010;4.4
8-7-2010;5.1
9-7-2010;4.5
10-7-2010;4.2
11-7-2010;5
12-7-2010;2.4
13-7-2010;3.5
14-7-2010;2.9
15-7-2010;3.5
16-7-2010;2.2
17-7-2010;4
18-7-2010;4.9
19-7-2010;5
20-7-2010;3.9
21-7-2010;2.9
22-7-2010;3.8
23-7-2010;3.7
24-7-2010;4.6
25-7-2010;3
26-7-2010;2.8
27-7-2010;2.2
28-7-2010;4.1
29-7-2010;2.7
30-7-2010;4.3
31-7-2010;1.3
1-8-2010;2.8
2-8-2010;2.9
3-8-2010;4.4
4-8-2010;2.3
5-8-2010;3.7
6-8-2010;3.3
7-8-2010;1
8-8-2010;2.5
9-8-2010;3.5
10-8-2010;1.9
11-8-2010;4.3
12-8-2010;2.7
13-8-2010;3.2
14-8-2010;3.3
15-8-2010;1.4
16-8-2010;0.5
17-8-2010;1.2
18-8-2010;3.4
19-8-2010;2.3
20-8-2010;3.9
21-8-2010;2.3
22-8-2010;2.1
23-8-2010;2.1
24-8-2010;3.6
25-8-2010;2.1
26-8-2010;0.9
27-8-2010;1.1
28-8-2010;3.2
29-8-2010;1.1
30-8-2010;2.8
31-8-2010;2.5
1-9-2010;2.6
2-9-2010;2.2
3-9-2010;1.6
4-9-2010;3.3
5-9-2010;3.2
6-9-2010;2.7
7-9-2010;2.4
8-9-2010;0.7
9-9-2010;2.8
10-9-2010;1
11-9-2010;2.9
12-9-2010;2
13-9-2010;2.5
14-9-2010;0.6
15-9-2010;2.3
16-9-2010;1.4
17-9-2010;2.2
18-9-2010;2.5
19-9-2010;1.5
20-9-2010;1.5
21-9-2010;1.6
22-9-2010;2.6
23-9-2010;0.7
24-9-2010;2.1
25-9-2010;1.5
26-9-2010;1.6
27-9-2010;0.7
28-9-2010;0.4
29-9-2010;1.1
30-9-2010;1.4
1-10-2010;1.6
2-10-2010;1
3-10-2010;2
4-10-2010;1.3
5-10-2010;1.3
6-10-2010;0.6
7-10-2010;1
8-10-2010;1.9
9-10-2010;1.8
10-10-2010;2.1
11-10-2010;1.9
12-10-2010;1.6
13-10-2010;0.5
14-10-2010;0.4
15-10-2010;0.6
16-10-2010;1.3
17-10-2010;1.6
18-10-2010;1.1
19-10-2010;1.3
20-10-2010;0.5
21-10-2010;1.4
22-10-2010;1.1
23-10-2010;0.2
24-10-2010;0.8
25-10-2010;1.2
26-10-2010;0.6
27-10-2010;0.4
28-10-2010;0.9
29-10-2010;0.6
30-10-2010;1
31-10-2010;0.6
1-11-2010;0.8
2-11-2010;0.4
3-11-2010;0.7
4-11-2010;0.6
5-11-2010;0.3
6-11-2010;0.7
7-11-2010;0.2
8-11-2010;0.5
9-11-2010;0.3
10-11-2010;0.5
11-11-2010;0.1
12-11-2010;0.5
13-11-2010;0.2
14-11-2010;0.2
15-11-2010;0.7
16-11-2010;0.8
17-11-2010;0.3
18-11-2010;0.2
19-11-2010;0.2
20-11-2010;0.3
21-11-2010;0.3
22-11-2010;0.2
23-11-2010;0.2
24-11-2010;0.3
25-11-2010;0.2
26-11-2010;0.4
27-11-2010;0.4
28-11-2010;0.5
29-11-2010;0.1
30-11-2010;0.1
1-12-2010;0.2
2-12-2010;0.1
3-12-2010;0.4
4-12-2010;0.1
5-12-2010;0.2
6-12-2010;0.4
7-12-2010;0.2
8-12-2010;0.2
9-12-2010;0.4
10-12-2010;0.1
11-12-2010;0.2
12-12-2010;0.3
13-12-2010;0.4
14-12-2010;0.2
