DATUM;WAARDE
1-1-2010;0
2-1-2010;1.85
3-1-2010;4
4-1-2010;0
5-1-2010;5.3
6-1-2010;0
7-1-2010;0
8-1-2010;0
9-1-2010;0
10-1-2010;0.2
11-1-2010;0.05
12-1-2010;0
13-1-2010;0
14-1-2010;0.2
15-1-2010;0
16-1-2010;0
17-1-2010;12.4
18-1-2010;0.1
19-1-2010;2.35
20-1-2010;0
21-1-2010;0
22-1-2010;0.3
23-1-2010;0.15
24-1-2010;9
25-1-2010;0.45
26-1-2010;0
27-1-2010;0
28-1-2010;4.65
29-1-2010;5.95
30-1-2010;5.75
31-1-2010;1.9
1-2-2010;2.35
2-2-2010;3.65
3-2-2010;12.85
4-2-2010;1.15
5-2-2010;0.1
6-2-2010;2.05
7-2-2010;0
8-2-2010;0.75
9-2-2010;0
10-2-2010;2.05
11-2-2010;1.65
12-2-2010;0
13-2-2010;0.05
14-2-2010;0
15-2-2010;0.8
16-2-2010;0.5
17-2-2010;0
18-2-2010;0
19-2-2010;0
20-2-2010;0.55
21-2-2010;0
22-2-2010;2
23-2-2010;10.85
24-2-2010;2.5
25-2-2010;6.2
26-2-2010;3.95
27-2-2010;0.65
28-2-2010;8.85
1-3-2010;12.45
2-3-2010;0
3-3-2010;0
4-3-2010;0
5-3-2010;0
6-3-2010;6.8
7-3-2010;0
8-3-2010;0
9-3-2010;1.3
10-3-2010;0
11-3-2010;0
12-3-2010;0
13-3-2010;0
14-3-2010;0
15-3-2010;0.35
16-3-2010;3.9
17-3-2010;0
18-3-2010;0
19-3-2010;0
20-3-2010;6.9
21-3-2010;7.8
22-3-2010;0.05
23-3-2010;0.05
24-3-2010;0
25-3-2010;0
26-3-2010;1.1
27-3-2010;0.05
28-3-2010;2.05
29-3-2010;5.95
30-3-2010;3.5
31-3-2010;3.6
1-4-2010;9.2
2-4-2010;3.4
3-4-2010;1.8
4-4-2010;6.5
5-4-2010;0
6-4-2010;0
7-4-2010;0
8-4-2010;2.35
9-4-2010;0
10-4-2010;0
11-4-2010;0
12-4-2010;0
13-4-2010;0
14-4-2010;0
15-4-2010;0.05
16-4-2010;0
17-4-2010;0
18-4-2010;0
19-4-2010;0
20-4-2010;0
21-4-2010;0
22-4-2010;0
23-4-2010;0
24-4-2010;0
25-4-2010;0
26-4-2010;0
27-4-2010;0
28-4-2010;0
29-4-2010;0
30-4-2010;7.2
1-5-2010;2.7
2-5-2010;14.6
3-5-2010;5.05
4-5-2010;5.1
5-5-2010;0
6-5-2010;0
7-5-2010;0
8-5-2010;1.7
9-5-2010;0
10-5-2010;0
11-5-2010;0
12-5-2010;10.55
13-5-2010;0.65
14-5-2010;0
15-5-2010;0
16-5-2010;0
17-5-2010;1.3
18-5-2010;0
19-5-2010;0
20-5-2010;0
21-5-2010;0
22-5-2010;0
23-5-2010;0
24-5-2010;0
25-5-2010;0
26-5-2010;0
27-5-2010;2.3
28-5-2010;0.05
29-5-2010;0
30-5-2010;4.05
31-5-2010;2.85
1-6-2010;0.05
2-6-2010;0.05
3-6-2010;0
4-6-2010;0
5-6-2010;0
6-6-2010;0
7-6-2010;2.55
8-6-2010;0
9-6-2010;5.25
10-6-2010;5.2
11-6-2010;3.75
12-6-2010;0
13-6-2010;0
14-6-2010;0
15-6-2010;0
16-6-2010;0
17-6-2010;0
18-6-2010;0
19-6-2010;0.05
20-6-2010;1.55
21-6-2010;0.45
22-6-2010;0
23-6-2010;0
24-6-2010;0
25-6-2010;0
26-6-2010;0
27-6-2010;0
28-6-2010;0
29-6-2010;0
30-6-2010;0.45
1-7-2010;0
2-7-2010;0
3-7-2010;0.15
4-7-2010;2.35
5-7-2010;0
6-7-2010;0
7-7-2010;0
8-7-2010;0
9-7-2010;0
10-7-2010;0
11-7-2010;17.5
12-7-2010;0
13-7-2010;6.8
14-7-2010;0
15-7-2010;14.45
16-7-2010;0
17-7-2010;0.5
18-7-2010;1.15
19-7-2010;0
20-7-2010;0
21-7-2010;0
22-7-2010;0
23-7-2010;0
24-7-2010;0
25-7-2010;0
26-7-2010;8.35
27-7-2010;0.5
28-7-2010;8.75
29-7-2010;17.4
30-7-2010;0.95
31-7-2010;0.05
1-8-2010;0.1
2-8-2010;0
3-8-2010;1
4-8-2010;0
