DATUM;WAARDE
1-1-2010;0.02
2-1-2010;3.456
3-1-2010;7.034
4-1-2010;0
5-1-2010;5.996
6-1-2010;0
7-1-2010;0.002
8-1-2010;0
9-1-2010;0.019
10-1-2010;0.241
11-1-2010;0.134
12-1-2010;0.06
13-1-2010;0
14-1-2010;0.165
15-1-2010;0.019
16-1-2010;0.075
17-1-2010;10.93
18-1-2010;0.197
19-1-2010;1.714
20-1-2010;0.009
21-1-2010;0.007
22-1-2010;0.15
23-1-2010;0.535
24-1-2010;9.766
25-1-2010;0.61
26-1-2010;0.001
27-1-2010;0
28-1-2010;5.186
29-1-2010;6.644
30-1-2010;6.791
31-1-2010;2.309
1-2-2010;1.195
2-2-2010;3.359
3-2-2010;11.17
4-2-2010;1.256
5-2-2010;0.169
6-2-2010;1.814
7-2-2010;0.166
8-2-2010;0.592
9-2-2010;0
10-2-2010;2.408
11-2-2010;1.129
12-2-2010;0.008
13-2-2010;0.033
14-2-2010;0.227
15-2-2010;0.936
16-2-2010;0.168
17-2-2010;0.056
18-2-2010;0.108
19-2-2010;0.359
20-2-2010;0.722
21-2-2010;0.038
22-2-2010;2.488
23-2-2010;11.597
24-2-2010;2.848
25-2-2010;6.723
26-2-2010;4.174
27-2-2010;1.032
28-2-2010;10.25
1-3-2010;13.537
2-3-2010;0.038
3-3-2010;0.001
4-3-2010;0.002
5-3-2010;0.019
6-3-2010;6.776
7-3-2010;0.001
8-3-2010;0
9-3-2010;0.706
10-3-2010;0
11-3-2010;0
12-3-2010;0
13-3-2010;0.056
14-3-2010;0.096
15-3-2010;0.18
16-3-2010;4.721
17-3-2010;0.001
18-3-2010;0
19-3-2010;0.119
20-3-2010;7.344
21-3-2010;9.599
22-3-2010;0.156
23-3-2010;0.021
24-3-2010;0
25-3-2010;0
26-3-2010;0.879
27-3-2010;0.655
28-3-2010;1.258
29-3-2010;4.677
30-3-2010;3.067
31-3-2010;3.474
1-4-2010;10.866
2-4-2010;1.661
3-4-2010;1.911
4-4-2010;9.628
5-4-2010;0.587
6-4-2010;0.093
7-4-2010;0
8-4-2010;2.42
9-4-2010;0
10-4-2010;0
11-4-2010;0
12-4-2010;0
13-4-2010;0
14-4-2010;0
15-4-2010;0.013
16-4-2010;0
17-4-2010;0
18-4-2010;0
19-4-2010;0
20-4-2010;0
21-4-2010;0
22-4-2010;0
23-4-2010;0
24-4-2010;0
25-4-2010;0
26-4-2010;0.001
27-4-2010;0
28-4-2010;0
29-4-2010;0
30-4-2010;7.98
1-5-2010;2.508
2-5-2010;11.269
3-5-2010;7.86
4-5-2010;4.897
5-5-2010;0
6-5-2010;0
7-5-2010;0
8-5-2010;2.101
9-5-2010;0.102
10-5-2010;0
11-5-2010;0
12-5-2010;8.412
13-5-2010;0.342
14-5-2010;0.001
15-5-2010;0
16-5-2010;0
17-5-2010;1.284
18-5-2010;0
19-5-2010;0
20-5-2010;0
21-5-2010;0
22-5-2010;0
23-5-2010;0
24-5-2010;0
25-5-2010;0
26-5-2010;0
27-5-2010;1.716
28-5-2010;0.018
29-5-2010;0
30-5-2010;5.45
31-5-2010;3.167
1-6-2010;0.051
2-6-2010;0.013
3-6-2010;0
4-6-2010;0
5-6-2010;0
6-6-2010;0
7-6-2010;2.336
8-6-2010;0.003
9-6-2010;10.758
10-6-2010;7.887
11-6-2010;1.784
12-6-2010;0.001
13-6-2010;0
14-6-2010;0
15-6-2010;0
16-6-2010;0
17-6-2010;0
18-6-2010;0
19-6-2010;0.3
20-6-2010;2.611
21-6-2010;0.547
22-6-2010;0
23-6-2010;0
24-6-2010;0
25-6-2010;0
26-6-2010;0
27-6-2010;0
28-6-2010;0
29-6-2010;0
30-6-2010;0.2
1-7-2010;0
2-7-2010;0
3-7-2010;0.352
4-7-2010;2.061
5-7-2010;0.001
6-7-2010;0.059
7-7-2010;0
8-7-2010;0
9-7-2010;0
10-7-2010;0
11-7-2010;20.951
12-7-2010;0.056
13-7-2010;6.482
14-7-2010;0.037
15-7-2010;14.849
16-7-2010;0
17-7-2010;0.406
18-7-2010;0.511
19-7-2010;0
20-7-2010;0
21-7-2010;0
22-7-2010;0.037
23-7-2010;0.016
24-7-2010;0.042
25-7-2010;0
26-7-2010;14.816
27-7-2010;0.476
28-7-2010;12.313
29-7-2010;13.417
30-7-2010;1.032
31-7-2010;0.051
1-8-2010;0.161
2-8-2010;0.487
3-8-2010;3.017
4-8-2010;0
5-8-2010;10.781
6-8-2010;0.019
7-8-2010;0.075
8-8-2010;5.281
9-8-2010;1.181
10-8-2010;0
11-8-2010;3.384
12-8-2010;0.993
13-8-2010;1.271
14-8-2010;5.919
15-8-2010;0.019
16-8-2010;37.185
17-8-2010;7.096
18-8-2010;3.974
19-8-2010;0.513
20-8-2010;0
21-8-2010;0
22-8-2010;0
23-8-2010;10.079
24-8-2010;1.774
25-8-2010;0.154
26-8-2010;21.101
27-8-2010;12.946
28-8-2010;1.919
29-8-2010;8.463
30-8-2010;15.149
31-8-2010;0.78
1-9-2010;0.092
2-9-2010;0.019
3-9-2010;0
4-9-2010;0
5-9-2010;0
6-9-2010;0
7-9-2010;14.145
8-9-2010;16.119
9-9-2010;12.395
10-9-2010;0.101
11-9-2010;1.604
12-9-2010;4.828
13-9-2010;0.351
14-9-2010;0.042
15-9-2010;14.553
16-9-2010;4.099
17-9-2010;7.13
18-9-2010;0.597
19-9-2010;0.094
20-9-2010;0.037
21-9-2010;0.019
22-9-2010;0
23-9-2010;0
24-9-2010;5.973
25-9-2010;1.858
26-9-2010;20.127
27-9-2010;0.002
28-9-2010;5.668
29-9-2010;0.007
30-9-2010;2.34
1-10-2010;0.689
2-10-2010;13.318
3-10-2010;2.829
4-10-2010;0.045
5-10-2010;0
6-10-2010;1.255
7-10-2010;0.039
8-10-2010;0.001
9-10-2010;0
10-10-2010;0
11-10-2010;0
12-10-2010;0
13-10-2010;0
14-10-2010;0
15-10-2010;0.064
16-10-2010;12.353
17-10-2010;0
18-10-2010;0
19-10-2010;7.174
20-10-2010;13.501
21-10-2010;8.423
22-10-2010;0.001
23-10-2010;0.027
24-10-2010;14.233
25-10-2010;2.202
26-10-2010;0.057
27-10-2010;4.373
28-10-2010;3.487
29-10-2010;0.02
30-10-2010;0.119
31-10-2010;2.014
1-11-2010;0.139
2-11-2010;0.063
3-11-2010;1.069
4-11-2010;2.755
5-11-2010;0.165
6-11-2010;16.238
7-11-2010;0.083
8-11-2010;0.798
9-11-2010;1.945
10-11-2010;8.893
11-11-2010;1.936
12-11-2010;15.88
13-11-2010;29.937
14-11-2010;7.922
15-11-2010;3.49
16-11-2010;0.001
17-11-2010;0.007
18-11-2010;0
19-11-2010;0.191
20-11-2010;0.144
21-11-2010;0.001
22-11-2010;0
23-11-2010;0.509
24-11-2010;8.361
25-11-2010;9.439
26-11-2010;1.576
27-11-2010;0.867
28-11-2010;0
29-11-2010;0
