waterboard;long_desc;area_in_ha;summer_flush_6_months;winter_flush_6_months;flushing_days;water_area_in_ha;gem_streefpeil_in_m-MV;gemaal_capaciteit_in_m3/min;inlaatcapaciteit_in_m3/min;rel_met_wateraanvoer;inlaat_peil;oppervlak;stedelijk;landelijk;water;S_interceptie_cap;L_interceptie_cap;L_infiltrate_cap;L_bergingscap_bodem;L_drainageweerstand;L_inf_L_drawn_ratio;L_wegzijging_plus_kwel_min;neerslag station;
WB1-1;Bemalingsgebied Flakkee oost, Oude Land van Oude Tonge. Bemalen door gemaal De Haas van Dorsser;2311;100;0;183;23;1.4;0.38448;0.038448;0.08;0.05;2311;0.127217655;0.862829944;0.009952402;2;5;20;0.07;70;2;-0.25;Station 447 Neerslagstation Den Bommel;
WB1-2;Bemalingsgebied Flakkee oost, De Eendracht. Bemalen door gemaal De Eendracht;1579;100;0;183;16;1.4;0.2088;0.050112;0.76;0.05;1579;0.0569981;0.932868904;0.010132996;2;5;20;0.07;70;2;-0.25;Station 447 Neerslagstation Den Bommel;
WB1-3;Bemalingsgebied Flakkee oost, Galathee. Bemalen door gemaal Galathee;1316;100;0;183;13;1.35;0.1728;0.05184;1;0.05;1316;0.065349544;0.924772036;0.009878419;2;5;20;0.07;70;2;-0.25;Station 447 Neerslagstation Den Bommel;
WB1-4;Bemalingsgebied Flakkee oost, Oltgensplaat. Bemalen door gemaal Het Oude Land;749;100;0;183;15;1.5;0.11088;0.070848;1;0.05;749;0.098798398;0.8811749;0.020026702;2;5;20;0.08;70;2;-0.75;Station 447 Neerslagstation Den Bommel;
WB2-1;Bemalingsgebied Tholen, Kadijk. Bemalen door gemaal Kadijk (ca 70%) naar De Eendracht en gemaal Poortvlietsedijk (ca 30%) naar Loohoek;1755;0;0;183;86;0.6;0.2592;0.03888;1;0.05;1755;0.054700855;0.896296296;0.049002849;2;5;20;0.03;70;2;-0.75;gemiddelde van Neerslagstations Station 757 Tholen en Station 741 Stavenisse;
WB2-2;Bemalingsgebied Tholen, De Eendracht (+ aanvoer gemaal Kadijk). Bemalen door gemaal De Eendracht (75%) en Drie Grote Polders (25%);1579;401;0;183;10;1.2;0.65376;0.0432;1;0.05;1579;0.0569981;0.936668778;0.006333122;2;5;20;0.06;70;2;-0.5;gemiddelde van Neerslagstations Station 757 Tholen en Station 741 Stavenisse;
WB2-3;Bemalingsgebied Tholen, Drie Grote Polders. Bemalen door gemaal Drie Grote Polders;526;0;0;183;25;1.2;0.20016;0.01152;1;0.05;526;0.114068441;0.838403042;0.047528517;2;5;20;0.06;70;2;-0.25;gemiddelde van Neerslagstations Station 757 Tholen en Station 741 Stavenisse;
WB2-4;Bemalingsgebied Tholen, Van Haaften. Bemalen door gemaal Van Haaften;547;0;0;183;33;1.5;0.04608;0.012672;1;0.05;547;0.056672761;0.882998172;0.060329068;2;5;20;0.08;70;2;0.2;gemiddelde van Neerslagstations Station 757 Tholen en Station 741 Stavenisse;
WB2-5;Bemalingsgebied Tholen, Loohoek. Bemalen door gemaal Loohoek;1764;72;0;183;161;1.2;0.29664;0.0288;1;0.05;1764;0.10260771;0.806122449;0.091269841;2;5;20;0.06;70;2;-0.5;gemiddelde van Neerslagstations Station 757 Tholen en Station 741 Stavenisse;
WB2-6;Bemalingsgebied Tholen, De Noord-Stavenisse. Bemalen door gemaal De Noord-Stavenisse;2883;274;0;183;129;1.5;0.63072;0.064512;1;0.05;2883;0.090183836;0.865071106;0.044745057;2;5;20;0.08;70;2;-0.25;gemiddelde van Neerslagstations Station 757 Tholen en Station 741 Stavenisse;
WB2-7;Bemalingsgebied Tholen, De Noord-StMaartensdijk. Bemalen door gemaal De Noord-StMaartensdijk;1700;158;0;183;105;1.2;0.3168;0.038016;1;0.05;1700;0.112941176;0.825294118;0.061764706;2;5;20;0.06;70;2;-0.25;gemiddelde van Neerslagstations Station 757 Tholen en Station 741 Stavenisse;
WB3-1;Bemalingsgebied St. Philipsland. Bemalen door gemaal De Luyster, lozend op Oosterschelde;1930;200;0;183;71;1;0.281376;0.03168;1;0.05;1930;0.060103627;0.903108808;0.036787565;2;5;20;0.05;70;2;-0.25;Neerslagstation 744 Anna Jacobapolder;
WB4-1;Bemalingsgebied Reigersbergse polder: Gemaal ?, lozend op Westerschelde;1248;60;0;183;21;1;0.1747152;0.03888;1;0.05;1248;0.133012821;0.850160256;0.016826923;2;5;20;0.05;70;2;-0.25;Neerslagstation 750 Rilland;
WB5-1;Bemalingsgebied PAN polders, Prins Hendrik polder (oost). Bemalen door gemaal Prins Hendrik;130;85;0;183;5;1.2;0.01728;0.031968;1;0.05;130;0.046153846;0.915384615;0.038461538;2;5;20;0.06;70;2;0;gemiddelde van Neerslagstations 832 Bergen op Zoom en 837 Steenbergen;
WB5-2;Bemalingsgebied PAN polders, Polders van Nieuw Vossemeer. Bemalen door gemaal Zoute Sluis (en uitwateringssluis);1510;85;0;183;57;1.2;0.18432;0.136512;1;0.05;1510;0.039735099;0.922516556;0.037748344;2;5;20;0.06;70;2;-0.05;gemiddelde van Neerslagstations 832 Bergen op Zoom en 837 Steenbergen;
WB5-3;Bemalingsgebied PAN polders, Auvergnepolder. Bemalen door gemaal De Pals;1060;85;0;183;40;1.2;0.16128;0.068256;1;0.05;1060;0.039622642;0.922641509;0.037735849;2;5;20;0.06;70;2;-0.25;gemiddelde van Neerslagstations 832 Bergen op Zoom en 837 Steenbergen;
WB6-1;Buitendijkse gebied Volkerak: Niet bemalen, maar vrij afwaterend in- en uitlaat op Volkerak;1734;0;0;183;88;0.6;1440;1440;1;0;1734;0.014417532;0.934832757;0.050749712;2;5;20;0.03;50;2;0;gemiddelde omliggende Neerslagstations naar oppervlakte verdeeld (meteo kolom N);
WB6-2;Buitendijkse gebied Rijn-Schelde-kanaal: Niet bemalen, maar vrij afwaterend in- en uitlaat op Rijn-Schelde-kanaal;471;0;0;183;17;1;1440;1440;1;0.05;471;0.008492569;0.955414013;0.036093418;2;5;20;0.05;70;2;-0.05;gemiddelde omliggende Neerslagstations naar oppervlakte verdeeld (meteo kolom N);
WB6-3;Buitendijkse gebied Zoommeer: Niet bemalen, maar vrij afwaterend in- en uitlaat opZoommeer;181;0;0;183;11;0.6;1440;1440;1;0.05;181;0.027624309;0.91160221;0.060773481;2;5;20;0.03;50;2;0;gemiddelde omliggende Neerslagstations naar oppervlakte verdeeld (meteo kolom N);
