DATUM;WAARDE
1-1-2010;0
2-1-2010;0
3-1-2010;0
4-1-2010;5753
5-1-2010;5586
6-1-2010;9309
7-1-2010;0
8-1-2010;0
9-1-2010;346
10-1-2010;0
11-1-2010;0
12-1-2010;0
13-1-2010;0
14-1-2010;8575
15-1-2010;0
16-1-2010;16171
17-1-2010;0
18-1-2010;0
19-1-2010;0
20-1-2010;1806
21-1-2010;1969
22-1-2010;0
23-1-2010;0
24-1-2010;0
25-1-2010;0
26-1-2010;0
27-1-2010;0
28-1-2010;1025
29-1-2010;0
30-1-2010;0
31-1-2010;683
1-2-2010;0
2-2-2010;11015
3-2-2010;0
4-2-2010;2757
5-2-2010;3037
6-2-2010;1224
7-2-2010;0
8-2-2010;0
9-2-2010;0
10-2-2010;400
11-2-2010;1879
12-2-2010;2822
13-2-2010;350
14-2-2010;0
15-2-2010;54336
16-2-2010;49199
17-2-2010;43357
18-2-2010;33321
19-2-2010;32755
20-2-2010;16152
21-2-2010;16065
22-2-2010;17388
23-2-2010;41751
24-2-2010;142406
25-2-2010;65026
26-2-2010;40943
27-2-2010;26848
28-2-2010;73829
1-3-2010;16781
2-3-2010;3399
3-3-2010;0
4-3-2010;23935
5-3-2010;0
6-3-2010;49206
7-3-2010;72382
8-3-2010;22380
9-3-2010;29837
10-3-2010;21824
11-3-2010;61036
12-3-2010;79067
13-3-2010;35965
14-3-2010;10423
15-3-2010;39642
16-3-2010;22842
17-3-2010;24674
18-3-2010;89402
19-3-2010;70362
20-3-2010;33702
21-3-2010;19039
22-3-2010;19100
23-3-2010;18622
24-3-2010;19100
25-3-2010;16009
26-3-2010;15285
27-3-2010;19293
28-3-2010;15355
29-3-2010;19560
30-3-2010;16262
31-3-2010;59315
1-4-2010;48872
2-4-2010;61910
3-4-2010;38452
4-4-2010;29141
5-4-2010;28003
6-4-2010;28408
7-4-2010;129434
8-4-2010;293377
9-4-2010;245926
10-4-2010;86136
11-4-2010;40610
12-4-2010;42830
13-4-2010;102211
14-4-2010;354640
15-4-2010;287711
16-4-2010;311050
17-4-2010;124047
18-4-2010;38830
19-4-2010;174222
20-4-2010;45919
21-4-2010;64851
22-4-2010;38031
23-4-2010;51446
24-4-2010;17323
25-4-2010;28562
26-4-2010;23432
27-4-2010;39729
28-4-2010;19781
29-4-2010;18244
30-4-2010;2312
1-5-2010;14778
2-5-2010;15010
3-5-2010;0
4-5-2010;0
5-5-2010;0
6-5-2010;10996
7-5-2010;44122
8-5-2010;0
9-5-2010;28532
10-5-2010;35747
11-5-2010;0
12-5-2010;39531
13-5-2010;0
14-5-2010;0
15-5-2010;31465
16-5-2010;24650
17-5-2010;10787
18-5-2010;64570
19-5-2010;10512
20-5-2010;44490
21-5-2010;41467
22-5-2010;45110
23-5-2010;43707
24-5-2010;40388
25-5-2010;0
26-5-2010;10560
27-5-2010;43358
28-5-2010;56001
29-5-2010;82630
30-5-2010;0
31-5-2010;27653
1-6-2010;33330
2-6-2010;0
3-6-2010;0
4-6-2010;72228
5-6-2010;6120
6-6-2010;24650
7-6-2010;11066
8-6-2010;19188
9-6-2010;16364
10-6-2010;57543
11-6-2010;0
12-6-2010;0
13-6-2010;32293
14-6-2010;170
15-6-2010;0
16-6-2010;14110
17-6-2010;23744
18-6-2010;35406
19-6-2010;850
20-6-2010;0
21-6-2010;25357
22-6-2010;10316
23-6-2010;19556
24-6-2010;24790
25-6-2010;32428
26-6-2010;11390
27-6-2010;170
28-6-2010;17367
29-6-2010;26197
30-6-2010;51318
1-7-2010;14137
2-7-2010;61015
3-7-2010;52976
4-7-2010;26501
5-7-2010;21163
6-7-2010;10784
7-7-2010;41601
8-7-2010;37423
9-7-2010;66162
10-7-2010;68433
11-7-2010;24059
12-7-2010;26116
13-7-2010;11325
14-7-2010;71019
15-7-2010;31689
16-7-2010;33687
17-7-2010;0
18-7-2010;53873
19-7-2010;57967
20-7-2010;43785
21-7-2010;56104
22-7-2010;58563
23-7-2010;57944
24-7-2010;53047
25-7-2010;54428
26-7-2010;11598
27-7-2010;60118
28-7-2010;0
29-7-2010;50000
30-7-2010;50346
31-7-2010;48379
1-8-2010;48288
2-8-2010;11270
3-8-2010;49011
4-8-2010;40402
5-8-2010;10863
6-8-2010;35725
7-8-2010;37324
8-8-2010;12573
9-8-2010;10941
10-8-2010;42355
11-8-2010;10649
12-8-2010;39241
13-8-2010;50308
14-8-2010;0
15-8-2010;11550
16-8-2010;54460
17-8-2010;6925
18-8-2010;38928
19-8-2010;10391
20-8-2010;37009
21-8-2010;36855
22-8-2010;0
23-8-2010;38477
24-8-2010;11365
25-8-2010;27380
26-8-2010;38776
27-8-2010;33635
28-8-2010;50978
29-8-2010;0
30-8-2010;65990
31-8-2010;41084
1-9-2010;34303
2-9-2010;0
3-9-2010;34188
4-9-2010;34896
5-9-2010;49884
6-9-2010;19702
7-9-2010;23089
8-9-2010;38926
9-9-2010;122751
10-9-2010;100500
11-9-2010;34321
12-9-2010;33141
13-9-2010;43632
14-9-2010;44011
15-9-2010;41861
16-9-2010;117908
17-9-2010;48805
18-9-2010;49302
19-9-2010;17361
20-9-2010;50696
21-9-2010;0
22-9-2010;19963
23-9-2010;64852
24-9-2010;0
25-9-2010;66300
26-9-2010;0
27-9-2010;2964
28-9-2010;52505
29-9-2010;0
30-9-2010;69856
1-10-2010;0
2-10-2010;47105
3-10-2010;2463
4-10-2010;0
