DATUM;WAARDE
1-1-2010;67061
2-1-2010;43606
3-1-2010;32106
4-1-2010;28603
5-1-2010;30036
6-1-2010;22339
7-1-2010;17046
8-1-2010;13416
9-1-2010;13799
10-1-2010;11144
11-1-2010;9608
12-1-2010;12755
13-1-2010;9590
14-1-2010;12657
15-1-2010;4983
16-1-2010;19800
17-1-2010;161020
18-1-2010;96735
19-1-2010;54254
20-1-2010;38839
21-1-2010;28107
22-1-2010;21563
23-1-2010;21369
24-1-2010;54533
25-1-2010;42650
26-1-2010;27732
27-1-2010;22457
28-1-2010;25853
29-1-2010;63227
30-1-2010;69782
31-1-2010;45794
1-2-2010;36594
2-2-2010;46157
3-2-2010;90553
4-2-2010;54776
5-2-2010;42025
6-2-2010;32351
7-2-2010;24842
8-2-2010;20655
9-2-2010;17917
10-2-2010;16040
11-2-2010;11126
12-2-2010;11654
13-2-2010;14850
14-2-2010;14416
15-2-2010;4472
16-2-2010;13131
17-2-2010;14331
18-2-2010;9221
19-2-2010;11697
20-2-2010;16523
21-2-2010;11910
22-2-2010;34707
23-2-2010;80692
24-2-2010;46355
25-2-2010;68841
26-2-2010;70322
27-2-2010;44733
28-2-2010;93162
1-3-2010;157324
2-3-2010;71922
3-3-2010;42150
4-3-2010;50
5-3-2010;20421
6-3-2010;20118
7-3-2010;19529
8-3-2010;0
9-3-2010;10818
10-3-2010;13732
11-3-2010;9510
12-3-2010;9843
13-3-2010;8073
14-3-2010;8989
15-3-2010;8585
16-3-2010;5901
17-3-2010;9714
18-3-2010;9010
19-3-2010;8982
20-3-2010;14110
21-3-2010;23116
22-3-2010;13907
23-3-2010;11942
24-3-2010;8470
25-3-2010;9444
26-3-2010;9173
27-3-2010;8146
28-3-2010;0
29-3-2010;10131
30-3-2010;4776
31-3-2010;8603
1-4-2010;15959
2-4-2010;15631
3-4-2010;15537
4-4-2010;42053
5-4-2010;36875
6-4-2010;19868
7-4-2010;19349
8-4-2010;15294
9-4-2010;7883
10-4-2010;2778
11-4-2010;6552
12-4-2010;5843
13-4-2010;0
14-4-2010;0
15-4-2010;0
16-4-2010;0
17-4-2010;0
18-4-2010;6524
19-4-2010;1788
20-4-2010;0
21-4-2010;0
22-4-2010;0
23-4-2010;3145
24-4-2010;11805
25-4-2010;8632
26-4-2010;3655
27-4-2010;13527
28-4-2010;7438
29-4-2010;10577
30-4-2010;15932
1-5-2010;9143
2-5-2010;19642
3-5-2010;19791
4-5-2010;11310
5-5-2010;11262
6-5-2010;9380
7-5-2010;5126
8-5-2010;8338
9-5-2010;8927
10-5-2010;3576
11-5-2010;7149
12-5-2010;6873
13-5-2010;0
14-5-2010;13270
15-5-2010;10400
16-5-2010;11491
17-5-2010;3307
18-5-2010;6084
19-5-2010;1758
20-5-2010;3636
21-5-2010;8246
22-5-2010;8730
23-5-2010;9110
24-5-2010;8768
25-5-2010;3500
26-5-2010;7064
27-5-2010;9652
28-5-2010;9239
29-5-2010;8609
30-5-2010;8984
31-5-2010;3151
1-6-2010;2600
2-6-2010;0
3-6-2010;3298
4-6-2010;4660
5-6-2010;8718
6-6-2010;0
7-6-2010;9245
8-6-2010;3450
9-6-2010;8042
10-6-2010;0
11-6-2010;0
12-6-2010;0
13-6-2010;7592
14-6-2010;0
15-6-2010;3390
16-6-2010;7814
17-6-2010;3723
18-6-2010;9718
19-6-2010;8972
20-6-2010;7620
21-6-2010;10438
22-6-2010;8442
23-6-2010;4948
24-6-2010;7721
25-6-2010;3206
26-6-2010;7331
27-6-2010;8071
28-6-2010;8207
29-6-2010;7977
30-6-2010;8535
1-7-2010;0
2-7-2010;7942
3-7-2010;7942
4-7-2010;7114
5-7-2010;0
6-7-2010;7897
7-7-2010;0
8-7-2010;3282
9-7-2010;3089
10-7-2010;5932
11-7-2010;372
12-7-2010;0
13-7-2010;10789
14-7-2010;3569
15-7-2010;10100
16-7-2010;3289
17-7-2010;3234
18-7-2010;7839
19-7-2010;0
20-7-2010;3384
21-7-2010;3641
22-7-2010;7926
23-7-2010;3368
24-7-2010;2863
25-7-2010;0
26-7-2010;0
27-7-2010;12547
28-7-2010;10997
29-7-2010;5960
30-7-2010;5907
31-7-2010;2317
1-8-2010;7676
2-8-2010;8231
3-8-2010;8715
4-8-2010;7205
5-8-2010;7936
6-8-2010;8367
7-8-2010;7449
8-8-2010;7401
9-8-2010;0
10-8-2010;0
11-8-2010;0
12-8-2010;8183
13-8-2010;13246
14-8-2010;11391
15-8-2010;0
16-8-2010;46567
17-8-2010;25735
18-8-2010;14568
19-8-2010;11437
20-8-2010;8176
21-8-2010;8055
22-8-2010;0
23-8-2010;3571
24-8-2010;3844
25-8-2010;0
26-8-2010;17545
27-8-2010;27797
28-8-2010;14508
29-8-2010;14295
30-8-2010;54860
31-8-2010;30919
1-9-2010;15186
2-9-2010;12116
3-9-2010;4612
4-9-2010;8033
5-9-2010;4444
6-9-2010;4175
7-9-2010;6442
8-9-2010;56175
9-9-2010;92411
10-9-2010;59506
11-9-2010;31664
12-9-2010;25332
13-9-2010;21668
14-9-2010;14816
15-9-2010;54804
16-9-2010;35492
17-9-2010;40860
18-9-2010;35927
19-9-2010;21120
20-9-2010;10768
21-9-2010;10931
22-9-2010;7556
23-9-2010;11141
24-9-2010;14145
25-9-2010;9589
26-9-2010;60782
27-9-2010;44735
28-9-2010;36938
29-9-2010;31348
30-9-2010;21000
1-10-2010;18443
2-10-2010;55698
3-10-2010;48537
4-10-2010;30195
5-10-2010;19088
6-10-2010;17633
7-10-2010;9966
8-10-2010;7231
9-10-2010;13317
10-10-2010;12369
11-10-2010;7140
12-10-2010;75
13-10-2010;3793
14-10-2010;6927
15-10-2010;8394
16-10-2010;11814
17-10-2010;11154
18-10-2010;4561
19-10-2010;16590
20-10-2010;69826
21-10-2010;107881
22-10-2010;51813
23-10-2010;42329
24-10-2010;64233
25-10-2010;56593
26-10-2010;30758
27-10-2010;38578
28-10-2010;41311
29-10-2010;30211
30-10-2010;23653
31-10-2010;22490
1-11-2010;15149
2-11-2010;11322
3-11-2010;11976
4-11-2010;7521
5-11-2010;14837
6-11-2010;65478
7-11-2010;52250
8-11-2010;28725
9-11-2010;32015
10-11-2010;27948
11-11-2010;66762
12-11-2010;151330
13-11-2010;247403
14-11-2010;166313
15-11-2010;101667
16-11-2010;60471
17-11-2010;43549
18-11-2010;32817
19-11-2010;22873
20-11-2010;22068
21-11-2010;21182
22-11-2010;8261
