DATUM;WAARDE
1-1-2010;63115
2-1-2010;14228
3-1-2010;35309
4-1-2010;10789
5-1-2010;16741
6-1-2010;16739
7-1-2010;10788
8-1-2010;0
9-1-2010;0
10-1-2010;15066
11-1-2010;3288
12-1-2010;14663
13-1-2010;13951
14-1-2010;0
15-1-2010;14138
16-1-2010;17796
17-1-2010;67895
18-1-2010;37262
19-1-2010;40268
20-1-2010;34598
21-1-2010;7100
22-1-2010;23311
23-1-2010;16649
24-1-2010;27994
25-1-2010;18243
26-1-2010;30954
27-1-2010;6156
28-1-2010;33186
29-1-2010;48470
30-1-2010;56451
31-1-2010;32626
1-2-2010;16571
2-2-2010;62384
3-2-2010;28830
4-2-2010;52545
5-2-2010;36549
6-2-2010;26225
7-2-2010;25110
8-2-2010;3365
9-2-2010;31417
10-2-2010;7271
11-2-2010;22489
12-2-2010;3365
13-2-2010;15699
14-2-2010;12462
15-2-2010;0
16-2-2010;16385
17-2-2010;8167
18-2-2010;3365
19-2-2010;12726
20-2-2010;22318
21-2-2010;0
22-2-2010;30521
23-2-2010;72151
24-2-2010;34223
25-2-2010;8666
26-2-2010;92893
27-2-2010;36456
28-2-2010;75347
1-3-2010;35802
2-3-2010;47878
3-3-2010;0
4-3-2010;0
5-3-2010;21855
6-3-2010;14508
7-3-2010;14057
8-3-2010;0
9-3-2010;9396
10-3-2010;16650
11-3-2010;11794
12-3-2010;0
13-3-2010;16647
14-3-2010;0
15-3-2010;3364
16-3-2010;6121
17-3-2010;0
18-3-2010;3365
19-3-2010;9562
20-3-2010;0
21-3-2010;11625
22-3-2010;0
23-3-2010;0
24-3-2010;0
25-3-2010;14043
26-3-2010;0
27-3-2010;0
28-3-2010;0
29-3-2010;0
30-3-2010;3272
31-3-2010;10138
1-4-2010;23437
2-4-2010;3272
3-4-2010;7981
4-4-2010;19065
5-4-2010;20942
6-4-2010;2401
7-4-2010;0
8-4-2010;0
9-4-2010;0
10-4-2010;0
11-4-2010;0
12-4-2010;12369
13-4-2010;0
14-4-2010;0
15-4-2010;0
16-4-2010;0
17-4-2010;0
18-4-2010;0
19-4-2010;0
20-4-2010;0
21-4-2010;0
22-4-2010;0
23-4-2010;3273
24-4-2010;18025
25-4-2010;0
26-4-2010;0
27-4-2010;3270
28-4-2010;26210
29-4-2010;0
30-4-2010;0
1-5-2010;40920
2-5-2010;10340
3-5-2010;29371
4-5-2010;42966
5-5-2010;38037
6-5-2010;29498
7-5-2010;0
8-5-2010;0
9-5-2010;23064
10-5-2010;0
11-5-2010;22692
12-5-2010;0
13-5-2010;24366
14-5-2010;0
15-5-2010;0
16-5-2010;0
17-5-2010;0
18-5-2010;25389
19-5-2010;0
20-5-2010;0
21-5-2010;0
22-5-2010;0
23-5-2010;0
