DATUM;WAARDE
1-1-2010;
2-1-2010;
3-1-2010;
4-1-2010;
5-1-2010;
6-1-2010;
7-1-2010;
8-1-2010;
9-1-2010;
10-1-2010;
11-1-2010;
12-1-2010;
13-1-2010;
14-1-2010;
15-1-2010;
16-1-2010;
17-1-2010;
18-1-2010;
19-1-2010;
20-1-2010;
21-1-2010;
22-1-2010;
23-1-2010;
24-1-2010;
25-1-2010;
26-1-2010;
27-1-2010;
28-1-2010;
29-1-2010;
30-1-2010;
31-1-2010;
1-2-2010;
2-2-2010;
3-2-2010;
4-2-2010;
5-2-2010;
6-2-2010;
7-2-2010;
8-2-2010;
9-2-2010;
10-2-2010;
11-2-2010;
12-2-2010;
13-2-2010;
14-2-2010;
15-2-2010;
16-2-2010;
17-2-2010;
18-2-2010;
19-2-2010;
20-2-2010;
21-2-2010;
22-2-2010;
23-2-2010;
24-2-2010;
25-2-2010;
26-2-2010;
27-2-2010;
28-2-2010;
1-3-2010;
2-3-2010;
3-3-2010;
4-3-2010;
5-3-2010;
6-3-2010;
7-3-2010;
8-3-2010;
9-3-2010;
10-3-2010;
11-3-2010;
12-3-2010;
13-3-2010;
14-3-2010;
15-3-2010;
16-3-2010;
17-3-2010;
18-3-2010;
19-3-2010;
20-3-2010;
21-3-2010;
22-3-2010;
23-3-2010;
24-3-2010;
25-3-2010;
26-3-2010;
27-3-2010;
28-3-2010;
29-3-2010;
30-3-2010;
31-3-2010;
1-4-2010;
2-4-2010;
3-4-2010;
4-4-2010;
5-4-2010;
6-4-2010;
7-4-2010;
8-4-2010;
9-4-2010;
10-4-2010;
11-4-2010;
12-4-2010;
13-4-2010;
14-4-2010;
15-4-2010;
16-4-2010;
17-4-2010;
18-4-2010;
19-4-2010;
20-4-2010;
21-4-2010;
22-4-2010;
23-4-2010;
24-4-2010;
25-4-2010;
26-4-2010;
27-4-2010;
28-4-2010;
29-4-2010;
30-4-2010;
1-5-2010;
2-5-2010;
3-5-2010;
4-5-2010;
5-5-2010;
6-5-2010;
7-5-2010;
8-5-2010;
9-5-2010;
10-5-2010;
11-5-2010;
12-5-2010;
13-5-2010;
14-5-2010;
15-5-2010;
16-5-2010;
17-5-2010;
18-5-2010;
19-5-2010;
20-5-2010;
21-5-2010;
22-5-2010;
23-5-2010;
24-5-2010;
25-5-2010;
26-5-2010;
27-5-2010;0
28-5-2010;5100
29-5-2010;35870
30-5-2010;0
31-5-2010;17680
1-6-2010;0
2-6-2010;0
3-6-2010;0
4-6-2010;9860
5-6-2010;6120
6-6-2010;24650
7-6-2010;0
8-6-2010;0
9-6-2010;340
10-6-2010;41480
11-6-2010;
12-6-2010;
13-6-2010;0
14-6-2010;170
15-6-2010;0
16-6-2010;14110
17-6-2010;0
18-6-2010;12070
19-6-2010;850
20-6-2010;0
21-6-2010;850
22-6-2010;0
23-6-2010;5440
24-6-2010;0
25-6-2010;6970
26-6-2010;11390
27-6-2010;170
28-6-2010;6800
29-6-2010;0
30-6-2010;30090
1-7-2010;0
2-7-2010;4760
3-7-2010;510
4-7-2010;15470
5-7-2010;0
6-7-2010;0
7-7-2010;9690
8-7-2010;0
9-7-2010;10540
10-7-2010;8295
11-7-2010;0
12-7-2010;0
13-7-2010;0
14-7-2010;0
15-7-2010;0
16-7-2010;0
17-7-2010;0
18-7-2010;0
19-7-2010;0
20-7-2010;0
21-7-2010;0
22-7-2010;0
23-7-2010;0
24-7-2010;0
25-7-2010;0
26-7-2010;0
27-7-2010;0
28-7-2010;0
29-7-2010;0
30-7-2010;0
31-7-2010;0
1-8-2010;0
2-8-2010;0
3-8-2010;0
4-8-2010;0
5-8-2010;0
6-8-2010;0
7-8-2010;0
8-8-2010;0
9-8-2010;0
10-8-2010;0
11-8-2010;0
12-8-2010;0
13-8-2010;0
14-8-2010;0
15-8-2010;0
16-8-2010;0
17-8-2010;0
18-8-2010;0
19-8-2010;0
20-8-2010;0
21-8-2010;0
22-8-2010;0
23-8-2010;0
24-8-2010;0
25-8-2010;0
26-8-2010;0
27-8-2010;0
28-8-2010;17306
29-8-2010;0
30-8-2010;32710
31-8-2010;12290
1-9-2010;0
2-9-2010;0
3-9-2010;0
4-9-2010;0
5-9-2010;12920
6-9-2010;0
7-9-2010;1594
8-9-2010;11302
9-9-2010;85611
10-9-2010;63184
11-9-2010;0
12-9-2010;0
13-9-2010;0
14-9-2010;5731
15-9-2010;15
16-9-2010;46348
17-9-2010;10142
18-9-2010;0
19-9-2010;17361
20-9-2010;0
21-9-2010;0
22-9-2010;8126
23-9-2010;8286
24-9-2010;0
25-9-2010;19059
26-9-2010;0
27-9-2010;2964
28-9-2010;0
29-9-2010;0
30-9-2010;20158
1-10-2010;0
2-10-2010;0
3-10-2010;2463
4-10-2010;0
5-10-2010;0
6-10-2010;0
7-10-2010;0
8-10-2010;0
9-10-2010;5348
10-10-2010;0
11-10-2010;0
12-10-2010;0
13-10-2010;28417
14-10-2010;0
15-10-2010;0
16-10-2010;0
17-10-2010;1009
18-10-2010;10725
19-10-2010;0
20-10-2010;39004
21-10-2010;25275
22-10-2010;0
23-10-2010;35758
24-10-2010;756
25-10-2010;12156
26-10-2010;0
27-10-2010;0
28-10-2010;15187
29-10-2010;0
30-10-2010;0
31-10-2010;25018
1-11-2010;0
2-11-2010;0
3-11-2010;0
4-11-2010;5719
5-11-2010;0
6-11-2010;0
7-11-2010;1754
8-11-2010;30789
9-11-2010;0
10-11-2010;28277
11-11-2010;0
12-11-2010;0
13-11-2010;39235
14-11-2010;3897
15-11-2010;0
16-11-2010;3491
17-11-2010;60733
18-11-2010;35805
19-11-2010;39775
20-11-2010;19365
21-11-2010;36825
22-11-2010;5263
23-11-2010;22369
24-11-2010;34305
25-11-2010;55274
26-11-2010;55358
27-11-2010;40697
28-11-2010;13539
29-11-2010;0
30-11-2010;27487
1-12-2010;9647
2-12-2010;18618
3-12-2010;0
4-12-2010;21176
5-12-2010;69041
6-12-2010;20039
7-12-2010;52727
8-12-2010;18351
9-12-2010;20744
10-12-2010;35809
11-12-2010;44854
12-12-2010;72496
13-12-2010;7229
14-12-2010;9225
15-12-2010;15600
16-12-2010;84462
17-12-2010;74607
18-12-2010;45921
19-12-2010;39496
20-12-2010;21464
21-12-2010;20549
22-12-2010;24582
23-12-2010;20554
24-12-2010;17695
25-12-2010;18674
26-12-2010;18231
27-12-2010;11929
28-12-2010;10133
29-12-2010;23429
30-12-2010;42787
31-12-2010;73597
1-1-2011;94531
2-1-2011;46305
3-1-2011;24293
4-1-2011;37644
5-1-2011;35162
6-1-2011;0
7-1-2011;730
8-1-2011;10090
9-1-2011;102742
10-1-2011;43151
11-1-2011;53879
12-1-2011;51798
13-1-2011;354715
14-1-2011;287498
15-1-2011;64477
16-1-2011;60777
17-1-2011;46640
18-1-2011;61893
19-1-2011;129539
20-1-2011;40966
21-1-2011;55005
22-1-2011;43186
23-1-2011;40098
24-1-2011;18665
25-1-2011;15361
26-1-2011;44833
27-1-2011;17561
28-1-2011;0
29-1-2011;11911
30-1-2011;12672
31-1-2011;0
1-2-2011;0
2-2-2011;10214
3-2-2011;32756
4-2-2011;0
5-2-2011;0
6-2-2011;25582
7-2-2011;0
8-2-2011;0
9-2-2011;0
10-2-2011;0
11-2-2011;11023
12-2-2011;353658
13-2-2011;172836
14-2-2011;22632
15-2-2011;68441
16-2-2011;10049
17-2-2011;40056
18-2-2011;0
19-2-2011;0
20-2-2011;0
21-2-2011;0
22-2-2011;0
23-2-2011;9785
24-2-2011;31126
25-2-2011;39
26-2-2011;40917
27-2-2011;49135
28-2-2011;11238
1-3-2011;59365
2-3-2011;59
3-3-2011;35202
4-3-2011;0
5-3-2011;0
6-3-2011;0
7-3-2011;40857
8-3-2011;0
9-3-2011;17912
10-3-2011;16
11-3-2011;17204
12-3-2011;0
13-3-2011;27243
14-3-2011;0
15-3-2011;27308
16-3-2011;9735
17-3-2011;11030
18-3-2011;0
19-3-2011;26179
20-3-2011;0
21-3-2011;22245
22-3-2011;0
23-3-2011;0
24-3-2011;0
25-3-2011;0
26-3-2011;0
27-3-2011;22896
28-3-2011;11000
29-3-2011;18171
30-3-2011;0
31-3-2011;0
1-4-2011;0
2-4-2011;0
3-4-2011;0
4-4-2011;0
5-4-2011;0
6-4-2011;0
7-4-2011;0
8-4-2011;0
9-4-2011;0
10-4-2011;0
11-4-2011;0
12-4-2011;21353
13-4-2011;28433
14-4-2011;0
15-4-2011;0
16-4-2011;0
17-4-2011;0
18-4-2011;0
19-4-2011;0
20-4-2011;0
21-4-2011;0
22-4-2011;0
23-4-2011;0
24-4-2011;0
25-4-2011;0
26-4-2011;0
27-4-2011;0
28-4-2011;47227
29-4-2011;0
30-4-2011;0
1-5-2011;0
2-5-2011;0
3-5-2011;0
4-5-2011;0
5-5-2011;0
6-5-2011;0
7-5-2011;0
8-5-2011;46887
9-5-2011;11084
10-5-2011;44695
11-5-2011;10324
12-5-2011;33784
13-5-2011;10530
14-5-2011;35353
15-5-2011;49937
16-5-2011;0
17-5-2011;25
18-5-2011;45869
19-5-2011;10124
20-5-2011;28862
21-5-2011;0
22-5-2011;37437
23-5-2011;34197
24-5-2011;0
25-5-2011;34160
26-5-2011;12423
27-5-2011;35225
28-5-2011;34002
29-5-2011;30756
30-5-2011;34039
31-5-2011;11484
1-6-2011;30217
2-6-2011;31915
3-6-2011;31840
4-6-2011;29728
5-6-2011;31834
6-6-2011;0
7-6-2011;32172
8-6-2011;32230
9-6-2011;11832
10-6-2011;30738
11-6-2011;37616
12-6-2011;42527
13-6-2011;38698
14-6-2011;0
15-6-2011;32574
16-6-2011;45514
17-6-2011;65992
18-6-2011;24374
19-6-2011;15349
20-6-2011;53770
21-6-2011;0
22-6-2011;43941
23-6-2011;0
24-6-2011;0
25-6-2011;43416
26-6-2011;0
27-6-2011;11563
28-6-2011;49238
29-6-2011;0
30-6-2011;43952
1-7-2011;0
2-7-2011;43846
3-7-2011;0
4-7-2011;10729
5-7-2011;35846
6-7-2011;0
7-7-2011;11352
8-7-2011;45115
9-7-2011;0
10-7-2011;42089
11-7-2011;0
12-7-2011;6005
13-7-2011;48109
14-7-2011;28976
15-7-2011;14209
16-7-2011;52488
17-7-2011;45390
18-7-2011;13940
19-7-2011;0
20-7-2011;0
21-7-2011;0
22-7-2011;0
23-7-2011;0
24-7-2011;0
25-7-2011;0
26-7-2011;9917
27-7-2011;24936
28-7-2011;0
29-7-2011;0
30-7-2011;0
31-7-2011;0
1-8-2011;0
2-8-2011;0
3-8-2011;0
4-8-2011;0
5-8-2011;0
6-8-2011;0
7-8-2011;0
8-8-2011;0
9-8-2011;0
10-8-2011;0
11-8-2011;0
12-8-2011;0
13-8-2011;0
14-8-2011;43279
15-8-2011;0
16-8-2011;0
17-8-2011;0
18-8-2011;0
19-8-2011;0
20-8-2011;0
21-8-2011;0
22-8-2011;0
23-8-2011;29276
24-8-2011;0
25-8-2011;38487
26-8-2011;10465
27-8-2011;39095
28-8-2011;10463
29-8-2011;29001
30-8-2011;10212
31-8-2011;0
1-9-2011;25957
2-9-2011;0
3-9-2011;0
4-9-2011;28298
5-9-2011;0
6-9-2011;10222
7-9-2011;51912
8-9-2011;34758
9-9-2011;38249
10-9-2011;66843
11-9-2011;353386
12-9-2011;95426
13-9-2011;10524
14-9-2011;35003
15-9-2011;0
16-9-2011;50
17-9-2011;39383
18-9-2011;0
19-9-2011;24467
20-9-2011;9500
21-9-2011;10746
22-9-2011;21561
23-9-2011;10015
24-9-2011;13183
25-9-2011;21321
26-9-2011;0
27-9-2011;0
28-9-2011;33649
29-9-2011;0
30-9-2011;0
1-10-2011;23878
2-10-2011;0
3-10-2011;0
4-10-2011;0
5-10-2011;0
6-10-2011;9654
7-10-2011;19892
8-10-2011;30367
9-10-2011;31496
10-10-2011;19874
11-10-2011;17818
12-10-2011;0
13-10-2011;28595
14-10-2011;9714
15-10-2011;10762
16-10-2011;0
17-10-2011;9097
18-10-2011;14454
19-10-2011;0
20-10-2011;2093
21-10-2011;10002
22-10-2011;12745
23-10-2011;0
24-10-2011;9318
25-10-2011;18325
