DATUM;WAARDE
1-1-2010;12731
2-1-2010;29965
3-1-2010;9214
4-1-2010;17751
5-1-2010;12730
6-1-2010;10734
7-1-2010;8550
8-1-2010;0
9-1-2010;10545
10-1-2010;0
11-1-2010;0
12-1-2010;0
13-1-2010;0
14-1-2010;8930
15-1-2010;0
16-1-2010;9500
17-1-2010;32302
18-1-2010;45981
19-1-2010;32831
20-1-2010;3548
21-1-2010;19443
22-1-2010;3548
23-1-2010;12981
24-1-2010;37432
25-1-2010;6460
26-1-2010;3435
27-1-2010;15754
28-1-2010;3437
29-1-2010;22688
30-1-2010;22610
31-1-2010;13774
1-2-2010;20425
2-2-2010;48562
3-2-2010;125211
4-2-2010;29657
5-2-2010;14721
6-2-2010;34849
7-2-2010;5432
8-2-2010;7203
9-2-2010;14933
10-2-2010;9863
11-2-2010;69
12-2-2010;11141
13-2-2010;6
14-2-2010;9113
15-2-2010;0
16-2-2010;285
17-2-2010;3437
18-2-2010;3782
19-2-2010;3532
20-2-2010;14236
21-2-2010;13775
22-2-2010;0
23-2-2010;20728
24-2-2010;17765
25-2-2010;62113
26-2-2010;3528
27-2-2010;21363
28-2-2010;38665
1-3-2010;113984
2-3-2010;24235
3-3-2010;35815
4-3-2010;0
5-3-2010;3437
6-3-2010;8345
7-3-2010;14156
8-3-2010;0
9-3-2010;0
10-3-2010;1330
11-3-2010;3532
12-3-2010;9388
13-3-2010;0
14-3-2010;9691
15-3-2010;0
16-3-2010;8645
17-3-2010;11400
18-3-2010;0
19-3-2010;0
20-3-2010;14440
21-3-2010;5605
22-3-2010;3530
23-3-2010;12828
24-3-2010;4068
25-3-2010;0
26-3-2010;3437
27-3-2010;7014
28-3-2010;0
29-3-2010;3437
30-3-2010;5795
31-3-2010;8646
1-4-2010;4545
2-4-2010;6270
3-4-2010;6366
4-4-2010;12936
5-4-2010;8438
6-4-2010;0
7-4-2010;0
8-4-2010;12159
9-4-2010;0
10-4-2010;0
11-4-2010;0
12-4-2010;7411
13-4-2010;0
14-4-2010;0
15-4-2010;0
16-4-2010;0
17-4-2010;0
18-4-2010;0
19-4-2010;0
20-4-2010;21186
21-4-2010;0
22-4-2010;0
23-4-2010;0
24-4-2010;0
25-4-2010;0
26-4-2010;0
27-4-2010;0
28-4-2010;0
29-4-2010;0
30-4-2010;0
1-5-2010;0
2-5-2010;0
3-5-2010;0
4-5-2010;0
5-5-2010;0
6-5-2010;0
7-5-2010;0
