Volkerak_spuisluizen_gat2_gat3
* Q in miljoen m3 per dag
* period 2010 t/m 2018
*DATUM WAARDE
20100101 1.4987
20100102 0.0199
20100103 1.2585
20100104 0.5583
20100105 0.2087
20100106 0.142
20100107 0.0938
20100108 0.0586
20100109 1.9525
20100110 0.0589
20100111 0.0684
20100112 0.0291
20100113 1.9372
20100114 0.0214
20100115 0.0643
20100116 1.5293
20100117 0.1787
20100118 0.2064
20100119 0.1253
20100120 0.0024
20100121 0.0182
20100122 0.0354
20100123 0.0318
20100124 0.0298
20100125 1.9482
20100126 1.81
20100127 0.1179
20100128 0.1179
20100129 0.0891
20100130 0.0749
20100131 0.0766
20100201 0.0545
20100202 0.1384
20100203 0.0628
20100204 0.0165
20100205 0.831
20100206 0.7315
20100207 1.2037
20100208 1.6446
20100209 1.705
20100210 1.6422
20100211 1.8894
20100212 1.909
20100213 1.838
20100214 1.6482
20100215 1.0556
20100216 0.0258
20100217 1.9066
20100218 0.019
20100219 0.1538
20100220 0.1352
20100221 0.0686
20100222 0.796
20100223 0.4758
20100224 0.7425
20100225 0.0402
20100226 0.1869
20100227 0.1
20100228 0.0721
20100301 0.2397
20100302 0.0551
20100303 1.6651
20100304 1.8717
20100305 0.0248
20100306 1.5537
20100307 1.9236
20100308 1.8448
20100309 1.9427
20100310 1.7904
20100311 1.7981
20100312 1.8268
20100313 1.512
20100314 1.4494
20100315 0.0288
20100316 1.2412
20100317 1.6048
20100318 1.5455
20100319 0.2876
20100320 0.95
20100321 0.7546
20100322 0.0205
20100323 1.3563
20100324 0.8668
20100325 0.7056
20100326 0.1575
20100327 0.2104
20100328 0.2183
20100329 0.8875
20100330 0.0973
20100331 0.1399
20100401 0.2374
20100402 0.034
20100403 1.2952
20100404 0.996
20100405 1.5324
20100406 0.4818
20100407 0.7769
20100408 2.0538
20100409 2.4813
20100410 3.8028
20100411 4.4197
20100412 4.1944
20100413 4.3478
20100414 4.1464
20100415 1.4769
20100416 3.6414
20100417 4.8252
20100418 4.7313
20100419 3.5655
20100420 2.7389
20100421 1.1548
20100422 1.9333
20100423 1.7234
20100424 1.5604
20100425 3.0513
20100426 5.7795
20100427 5.4891
20100428 4.9845
20100429 4.3112
20100430 2.4443
20100501 3.3701
20100502 1.8869
20100503 1.3822
20100504 2.1904
20100505 3.0612
20100506 3.137
20100507 3.4688
20100508 3.5736
20100509 3.8524
20100510 3.3242
20100511 2.5213
20100512 3.0079
20100513 3.0724
20100514 4.2458
20100515 2.0346
20100516 4.1316
20100517 1.9332
20100518 0.6109
20100519 0.5025
20100520 0.5353
20100521 0.4948
20100522 0.5768
20100523 0.5314
20100524 0.5159
20100525 0.6458
20100526 0.5911
20100527 2.0883
20100528 4.6739
20100529 3.8572
20100530 0.2877
20100531 1.6261
20100601 0.5583
20100602 1.5912
20100603 1.6971
20100604 1.8847
20100605 1.953
20100606 0.0467
20100607 0.0754
20100608 0.7085
20100609 0.061
20100610 1.676
20100611 1.056
20100612 0.528
20100613 0.1588
20100614 1.3267
20100615 1.5481
20100616 1.4674
20100617 1.7367
20100618 2.4511
20100619 1.3081
20100620 1.2814
20100621 2.2069
20100622 2.5555
20100623 2.6437
20100624 2.666
20100625 2.5565
20100626 2.7493
20100627 1.9731
20100628 2.4797
20100629 1.6994
20100630 3.9763
20100701 4.3238
20100702 3.6502
20100703 1.3698
20100704 2.4948
20100705 0.6677
20100706 0.7686
20100707 0.248
20100708 0.1465
20100709 0.2791
20100710 0.1588
20100711 0.2606
20100712 1.9452
20100713 2.0656
20100714 2.5432
20100715 2.3915
20100716 1.9764
20100717 2.205
20100718 0.9706
20100719 1.8234
20100720 1.7841
